"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5,577.94","5,822.97","5,960.41","5,539.44","-","-4.21%"
"Apr 29, 2020","5,822.97","5,612.51","5,850.22","5,587.53","-","3.75%"
"Apr 28, 2020","5,612.51","5,519.24","5,649.13","5,519.24","-","1.69%"
"Apr 27, 2020","5,519.24","5,333.04","5,595.27","5,333.04","-","3.49%"
"Apr 24, 2020","5,333.04","5,274.54","5,375.89","5,153.60","-","1.11%"
"Apr 23, 2020","5,274.54","5,286.58","5,346.59","5,186.78","-","-0.23%"
"Apr 22, 2020","5,286.58","5,001.16","5,318.59","4,994.94","-","5.71%"
"Apr 21, 2020","5,001.16","5,109.62","5,136.79","4,987.13","-","-2.12%"
"Apr 20, 2020","5,109.62","5,159.01","5,234.18","5,048.15","-","-0.96%"
"Apr 17, 2020","5,159.01","5,011.05","5,272.58","5,011.05","-","2.95%"
"Apr 16, 2020","5,011.05","4,899.40","5,072.07","4,898.27","-","2.28%"
"Apr 15, 2020","4,899.40","5,230.64","5,230.64","4,853.52","-","-6.33%"
"Apr 14, 2020","5,230.64","5,529.26","5,549.73","5,227.32","-","-5.40%"
"Apr 09, 2020","5,529.26","5,173.20","5,555.09","5,173.20","-","6.88%"
"Apr 08, 2020","5,173.20","5,163.68","5,219.25","5,067.85","-","0.18%"
"Apr 07, 2020","5,163.68","5,098.90","5,424.97","5,098.90","-","1.27%"
"Apr 06, 2020","5,098.90","4,842.30","5,149.05","4,842.30","-","5.30%"
"Apr 03, 2020","4,842.30","4,896.33","4,917.09","4,803.77","-","-1.10%"
"Apr 02, 2020","4,896.33","4,887.17","4,989.44","4,793.40","-","0.19%"
"Apr 01, 2020","4,887.17","5,031.77","5,033.60","4,804.22","-","-2.87%"
"Mar 31, 2020","5,031.77","4,792.44","5,050.08","4,792.44","-","4.99%"
"Mar 30, 2020","4,792.44","4,776.17","4,863.54","4,609.87","-","0.34%"
"Mar 27, 2020","4,776.17","5,137.28","5,145.17","4,733.47","-","-7.03%"
"Mar 26, 2020","5,137.28","4,821.97","5,137.28","4,701.07","-","6.54%"
"Mar 25, 2020","4,821.97","4,673.85","4,914.28","4,482.16","-","3.17%"
"Mar 24, 2020","4,673.85","4,188.09","4,673.85","4,185.40","-","11.60%"
"Mar 23, 2020","4,188.09","4,281.30","4,281.30","3,905.37","-","-2.18%"
"Mar 20, 2020","4,281.30","3,919.51","4,416.04","3,919.51","-","9.23%"
"Mar 19, 2020","3,919.51","3,959.95","4,125.44","3,835.26","-","-1.02%"
"Mar 18, 2020","3,959.95","4,483.50","4,484.77","3,783.42","-","-11.68%"
"Mar 17, 2020","4,483.50","4,632.32","4,868.40","4,272.97","-","-3.21%"
"Mar 16, 2020","4,632.32","5,011.98","5,011.98","4,359.77","-","-7.58%"
"Mar 13, 2020","5,011.98","4,865.23","5,303.69","4,865.23","-","3.02%"
"Mar 12, 2020","4,865.23","5,522.48","5,522.48","4,863.08","-","-11.90%"
