"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,262.51","3,371.26","3,394.39","3,260.51","271.32M","-3.23%"
"Apr 29, 2020","3,371.26","3,281.88","3,377.43","3,278.32","196.75M","2.72%"
"Apr 28, 2020","3,281.88","3,220.29","3,294.27","3,218.32","179.18M","1.91%"
"Apr 27, 2020","3,220.29","3,168.88","3,226.69","3,168.88","128.39M","1.62%"
"Apr 24, 2020","3,168.88","3,205.67","3,205.95","3,157.71","132.31M","-1.15%"
"Apr 23, 2020","3,205.67","3,173.49","3,215.63","3,158.72","149.49M","1.01%"
"Apr 22, 2020","3,173.49","3,108.44","3,176.46","3,108.33","145.15M","2.09%"
"Apr 21, 2020","3,108.44","3,200.72","3,200.72","3,108.44","146.56M","-2.88%"
"Apr 20, 2020","3,200.72","3,190.20","3,210.48","3,150.29","140.53M","0.33%"
"Apr 17, 2020","3,190.20","3,102.13","3,218.48","3,102.13","187.34M","2.84%"
"Apr 16, 2020","3,102.13","3,087.44","3,119.35","3,078.61","167.38M","0.48%"
"Apr 15, 2020","3,087.44","3,200.14","3,200.20","3,077.13","207.27M","-3.52%"
"Apr 14, 2020","3,200.14","3,233.24","3,260.09","3,194.05","183.79M","-1.02%"
"Apr 09, 2020","3,233.24","3,140.10","3,233.24","3,140.10","210.79M","2.97%"
"Apr 08, 2020","3,140.10","3,141.28","3,141.28","3,087.69","182.66M","-0.04%"
"Apr 07, 2020","3,141.28","3,058.85","3,184.04","3,058.85","251.94M","2.69%"
"Apr 06, 2020","3,058.85","2,958.40","3,060.32","2,958.40","198.97M","3.40%"
"Apr 03, 2020","2,958.40","2,998.54","3,001.38","2,949.43","187.41M","-1.34%"
"Apr 02, 2020","2,998.54","2,991.12","3,034.34","2,961.28","214.51M","0.25%"
"Apr 01, 2020","2,991.12","3,107.42","3,107.42","2,974.43","233.07M","-3.74%"
"Mar 31, 2020","3,107.42","3,041.16","3,119.49","3,041.15","238.00M","2.18%"
"Mar 30, 2020","3,041.16","3,021.89","3,042.87","2,932.67","170.08M","0.64%"
"Mar 27, 2020","3,021.89","3,179.75","3,179.75","2,970.79","216.64M","-4.96%"
"Mar 26, 2020","3,179.75","3,102.98","3,179.75","3,011.61","225.09M","2.47%"
"Mar 25, 2020","3,102.98","2,969.58","3,129.67","2,959.80","271.87M","4.49%"
"Mar 24, 2020","2,969.58","2,727.86","2,969.58","2,727.86","240.17M","8.86%"
"Mar 23, 2020","2,727.86","2,837.05","2,837.05","2,688.43","242.80M","-3.85%"
"Mar 20, 2020","2,837.05","2,788.06","2,928.90","2,788.06","421.58M","1.75%"
"Mar 19, 2020","2,788.37","2,764.48","2,800.48","2,680.37","304.07M","0.86%"
"Mar 18, 2020","2,764.48","2,894.45","2,894.45","2,738.49","293.66M","-4.49%"
"Mar 17, 2020","2,894.32","2,848.87","2,934.45","2,749.45","300.74M","1.60%"
"Mar 16, 2020","2,848.87","2,994.40","2,994.41","2,713.71","337.38M","-4.86%"
"Mar 13, 2020","2,994.40","2,942.21","3,173.11","2,942.21","321.41M","1.77%"
"Mar 12, 2020","2,942.21","3,287.07","3,287.07","2,938.56","342.32M","-10.49%"
"Mar 11, 2020","3,287.07","3,332.98","3,398.75","3,280.42","241.15M","-1.38%"
"Mar 10, 2020","3,332.98","3,334.86","3,475.12","3,317.83","280.48M","-0.06%"
"Mar 09, 2020","3,334.86","3,600.95","3,600.95","3,302.51","321.18M","-7.39%"
"Mar 06, 2020","3,600.95","3,731.49","3,731.49","3,582.72","253.13M","-3.50%"
"Mar 05, 2020","3,731.49","3,795.38","3,807.61","3,710.60","206.22M","-1.68%"
"Mar 04, 2020","3,795.38","3,749.09","3,819.60","3,738.95","289.52M","1.23%"
"Mar 03, 2020","3,749.09","3,706.83","3,813.90","3,706.83","208.24M","1.14%"
"Mar 02, 2020","3,706.83","3,673.61","3,777.82","3,627.12","254.67M","0.90%"
"Feb 28, 2020","3,673.61","3,787.97","3,787.97","3,611.16","311.50M","-3.02%"
"Feb 27, 2020","3,787.97","3,928.00","3,928.00","3,754.16","197.92M","-3.56%"
"Feb 26, 2020","3,928.00","3,921.63","3,929.19","3,838.70","162.38M","0.16%"
"Feb 25, 2020","3,921.63","3,998.13","4,021.23","3,915.67","149.37M","-1.91%"
"Feb 24, 2020","3,998.13","4,132.71","4,132.71","3,976.44","158.76M","-3.26%"
"Feb 21, 2020","4,132.71","4,150.19","4,150.21","4,116.39","141.84M","-0.42%"
"Feb 20, 2020","4,150.19","4,158.30","4,172.24","4,150.19","125.37M","-0.20%"
"Feb 19, 2020","4,158.30","4,118.84","4,160.29","4,118.84","105.50M","0.96%"
"Feb 18, 2020","4,118.84","4,147.10","4,147.10","4,107.35","122.30M","-0.68%"
"Feb 17, 2020","4,147.10","4,135.07","4,156.05","4,135.07","82.23M","0.29%"
"Feb 14, 2020","4,135.07","4,150.02","4,161.43","4,129.51","109.82M","-0.36%"
"Feb 13, 2020","4,150.02","4,191.17","4,191.17","4,127.13","129.37M","-0.98%"
"Feb 12, 2020","4,191.17","4,170.07","4,196.60","4,170.07","105.19M","0.51%"
"Feb 11, 2020","4,170.07","4,141.62","4,183.90","4,141.62","118.52M","0.69%"
"Feb 10, 2020","4,141.62","4,151.15","4,151.18","4,131.70","111.51M","-0.23%"
"Feb 07, 2020","4,151.15","4,170.89","4,171.90","4,137.76","109.90M","-0.47%"
"Feb 06, 2020","4,170.89","4,159.03","4,187.34","4,159.03","107.49M","0.29%"
"Feb 05, 2020","4,159.03","4,136.76","4,173.83","4,122.92","137.60M","0.54%"
"Feb 04, 2020","4,136.76","4,076.19","4,137.56","4,076.19","116.31M","1.49%"
"Feb 03, 2020","4,076.19","4,057.47","4,093.39","4,057.03","114.96M","0.46%"
"Jan 31, 2020","4,057.47","4,105.32","4,118.55","4,052.72","118.86M","-1.17%"
"Jan 30, 2020","4,105.32","4,157.33","4,157.33","4,093.14","112.61M","-1.25%"
"Jan 29, 2020","4,157.33","4,154.59","4,172.04","4,146.49","98.40M","0.07%"
"Jan 28, 2020","4,154.59","4,118.99","4,160.58","4,118.42","99.59M","0.86%"
"Jan 27, 2020","4,118.99","4,213.14","4,213.14","4,112.71","115.27M","-2.23%"
"Jan 24, 2020","4,213.14","4,170.34","4,237.52","4,170.34","107.67M","1.03%"
"Jan 23, 2020","4,170.34","4,206.93","4,207.14","4,168.54","118.62M","-0.87%"
"Jan 22, 2020","4,206.93","4,223.35","4,235.96","4,202.73","113.11M","-0.39%"
"Jan 21, 2020","4,223.35","4,245.57","4,245.57","4,195.18","121.42M","-0.52%"
"Jan 20, 2020","4,245.57","4,257.93","4,262.33","4,240.59","107.43M","-0.29%"
"Jan 17, 2020","4,257.93","4,222.79","4,264.84","4,222.79","103.29M","0.83%"
"Jan 16, 2020","4,222.79","4,237.59","4,244.32","4,215.07","113.73M","-0.35%"
"Jan 15, 2020","4,237.59","4,229.23","4,237.71","4,221.26","127.34M","0.20%"
"Jan 14, 2020","4,229.23","4,225.78","4,243.98","4,212.55","117.80M","0.08%"
"Jan 13, 2020","4,225.78","4,206.72","4,235.37","4,206.42","113.70M","0.45%"
"Jan 10, 2020","4,206.72","4,213.77","4,230.58","4,206.55","123.70M","-0.17%"
"Jan 09, 2020","4,213.77","4,203.44","4,227.87","4,203.44","147.00M","0.25%"
"Jan 08, 2020","4,203.44","4,209.34","4,209.34","4,180.78","153.57M","-0.14%"
"Jan 07, 2020","4,209.34","4,206.93","4,223.57","4,202.08","97.14M","0.06%"
"Jan 06, 2020","4,206.93","4,235.65","4,235.65","4,184.39","90.23M","-0.68%"
"Jan 03, 2020","4,235.65","4,231.66","4,236.91","4,200.87","83.37M","0.09%"
