"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","7,681.27","7,372.06","7,732.46","7,372.06","-","4.19%"
"Apr 29, 2020","7,372.06","7,197.34","7,390.67","7,197.34","-","2.43%"
"Apr 28, 2020","7,197.34","7,293.11","7,293.11","7,028.31","-","-1.31%"
"Apr 27, 2020","7,293.11","7,694.52","7,694.52","7,289.10","-","-5.22%"
"Apr 24, 2020","7,694.52","8,191.48","8,191.48","7,664.73","-","-6.07%"
"Apr 23, 2020","8,191.48","7,696.51","8,270.66","7,696.51","-","6.43%"
"Apr 22, 2020","7,696.51","7,797.81","7,797.81","7,622.20","-","-1.30%"
"Apr 21, 2020","7,797.81","7,942.37","7,942.37","7,738.00","-","-1.82%"
"Apr 20, 2020","7,942.37","7,960.31","7,960.31","7,836.96","-","-0.23%"
"Apr 17, 2020","7,960.31","7,946.27","8,095.83","7,939.71","-","0.18%"
"Apr 16, 2020","7,946.27","8,007.60","8,007.60","7,901.81","-","-0.77%"
"Apr 15, 2020","8,007.60","8,069.65","8,119.38","7,926.84","-","-0.77%"
"Apr 14, 2020","8,069.65","7,843.25","8,069.65","7,805.72","-","2.89%"
"Apr 13, 2020","7,843.25","7,958.35","8,055.74","7,821.55","-","-1.45%"
"Apr 10, 2020","7,958.35","8,060.56","8,069.15","7,839.49","-","-1.27%"
"Apr 09, 2020","8,060.56","8,003.73","8,126.02","7,975.94","-","0.71%"
"Apr 08, 2020","8,003.73","8,090.05","8,090.05","7,885.12","-","-1.07%"
"Apr 07, 2020","8,090.05","7,892.96","8,144.82","7,892.96","-","2.50%"
"Apr 06, 2020","7,892.96","7,892.96","7,892.96","7,892.96","-","0.00%"
"Apr 03, 2020","7,892.96","7,973.50","7,977.07","7,740.34","-","-1.01%"
"Apr 02, 2020","7,973.50","7,329.52","7,973.50","7,275.14","-","8.79%"
"Apr 01, 2020","7,329.52","7,335.27","7,389.53","7,282.71","-","-0.08%"
"Mar 31, 2020","7,335.27","7,170.43","7,456.04","7,170.43","-","2.30%"
"Mar 30, 2020","7,170.43","7,443.35","7,443.35","7,029.20","-","-3.67%"
"Mar 27, 2020","7,443.35","7,539.59","7,636.72","7,427.35","-","-1.28%"
"Mar 26, 2020","7,539.59","7,764.20","7,764.20","7,526.87","-","-2.89%"
"Mar 25, 2020","7,764.20","7,584.19","7,843.21","7,584.19","-","2.37%"
"Mar 24, 2020","7,584.19","7,330.84","7,584.19","7,330.84","-","3.46%"
"Mar 23, 2020","7,330.84","7,841.50","7,841.50","7,311.44","-","-6.51%"
"Mar 20, 2020","7,841.50","7,613.98","7,944.04","7,613.98","-","2.99%"
"Mar 19, 2020","7,613.98","7,743.26","7,796.25","7,479.56","-","-1.67%"
"Mar 18, 2020","7,743.26","7,969.69","8,051.50","7,739.54","-","-2.84%"
"Mar 17, 2020","7,969.69","7,972.05","8,110.86","7,916.24","-","-0.03%"
"Mar 16, 2020","7,972.05","8,439.38","8,495.01","7,931.56","-","-5.54%"
"Mar 13, 2020","8,439.38","8,641.43","8,641.43","8,038.38","-","-2.34%"
"Mar 12, 2020","8,641.43","9,014.22","9,014.22","8,569.43","-","-4.14%"
"Mar 11, 2020","9,014.22","9,174.23","9,411.64","9,006.85","-","-1.74%"
"Mar 10, 2020","9,174.23","9,313.56","9,313.56","8,868.70","-","-1.50%"
"Mar 09, 2020","9,313.56","10,052.22","10,052.22","9,252.38","-","-7.35%"
"Mar 06, 2020","10,052.22","10,063.72","10,139.28","9,873.44","-","-0.11%"
"Mar 05, 2020","10,063.72","9,907.16","10,069.92","9,907.16","-","1.58%"
"Mar 04, 2020","9,907.16","10,048.70","10,048.70","9,820.21","-","-1.41%"
"Mar 03, 2020","10,048.70","9,759.06","10,308.14","9,759.06","-","2.97%"
"Mar 02, 2020","9,759.06","9,523.96","9,829.01","9,523.96","-","2.47%"
"Feb 28, 2020","9,523.96","10,137.40","10,137.40","9,453.71","-","-6.05%"
"Feb 27, 2020","10,137.40","10,191.08","10,239.92","10,105.68","-","-0.53%"
"Feb 26, 2020","10,191.08","10,322.84","10,322.84","10,046.02","-","-1.28%"
"Feb 25, 2020","10,322.84","10,654.49","10,654.49","10,086.01","-","-3.11%"
"Feb 24, 2020","10,654.49","11,048.36","11,048.36","10,520.08","-","-3.56%"
"Feb 21, 2020","11,048.36","11,003.68","11,078.15","10,870.55","-","0.41%"
"Feb 20, 2020","11,003.68","10,762.62","11,018.61","10,762.62","-","2.24%"
"Feb 19, 2020","10,762.62","10,933.98","10,933.98","10,723.75","-","-1.57%"
"Feb 18, 2020","10,933.98","11,148.32","11,148.32","10,802.32","-","-1.92%"
"Feb 17, 2020","11,148.32","10,902.77","11,197.43","10,865.83","-","2.25%"
"Feb 14, 2020","10,902.77","10,979.31","10,980.38","10,834.09","-","-0.70%"
"Feb 13, 2020","10,979.31","10,900.75","11,111.87","10,900.75","-","0.72%"
