"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","13,939.32","13,905.15","14,120.76","13,905.15","-","0.25%"
"Apr 29, 2020","13,905.15","13,586.00","13,905.15","13,586.00","-","2.35%"
"Apr 28, 2020","13,586.00","13,547.97","13,601.08","13,438.83","-","0.28%"
"Apr 27, 2020","13,547.97","13,296.47","13,620.20","13,296.47","-","1.89%"
"Apr 24, 2020","13,296.47","13,335.98","13,335.98","13,264.42","-","-0.30%"
"Apr 23, 2020","13,335.98","13,379.12","13,400.37","13,319.86","-","-0.32%"
"Apr 22, 2020","13,379.12","13,381.28","13,381.28","13,302.26","-","-0.02%"
"Apr 21, 2020","13,381.28","13,438.65","13,472.23","13,356.25","-","-0.43%"
"Apr 20, 2020","13,438.65","13,488.06","13,488.06","13,393.72","-","-0.37%"
"Apr 17, 2020","13,488.06","13,369.07","13,552.79","13,369.07","-","0.89%"
"Apr 16, 2020","13,369.07","13,409.88","13,409.88","13,318.85","-","-0.30%"
"Apr 15, 2020","13,409.88","13,480.31","13,480.31","13,387.69","-","-0.52%"
"Apr 14, 2020","13,480.31","13,310.84","13,480.31","13,310.84","-","1.27%"
"Apr 13, 2020","13,310.84","13,400.32","13,400.32","13,301.66","-","-0.67%"
"Apr 10, 2020","13,400.32","13,411.62","13,470.10","13,362.76","-","-0.08%"
"Apr 09, 2020","13,411.62","13,413.36","13,464.01","13,403.88","-","-0.01%"
"Apr 08, 2020","13,413.36","13,492.48","13,492.48","13,387.81","-","-0.59%"
"Apr 07, 2020","13,492.48","13,344.86","13,545.22","13,344.86","-","1.11%"
"Apr 06, 2020","13,344.86","13,344.86","13,344.86","13,344.86","-","0.00%"
"Apr 03, 2020","13,344.86","13,426.51","13,426.51","13,301.51","-","-0.61%"
"Apr 02, 2020","13,426.51","13,337.79","13,426.51","13,267.71","-","0.67%"
"Apr 01, 2020","13,337.79","13,348.97","13,485.66","13,328.59","-","-0.08%"
"Mar 31, 2020","13,348.97","13,500.21","13,596.92","13,347.13","-","-1.12%"
"Mar 30, 2020","13,500.21","13,532.33","13,532.33","13,361.02","-","-0.24%"
"Mar 27, 2020","13,532.33","13,488.23","13,644.82","13,488.23","-","0.33%"
"Mar 26, 2020","13,488.23","13,403.17","13,649.06","13,311.00","-","0.63%"
"Mar 25, 2020","13,403.17","13,178.24","13,458.20","13,178.24","-","1.71%"
"Mar 24, 2020","13,178.24","12,829.76","13,191.71","12,829.76","-","2.72%"
"Mar 23, 2020","12,829.76","13,122.67","13,122.67","12,807.93","-","-2.23%"
"Mar 20, 2020","13,122.67","12,800.31","13,192.66","12,800.31","-","2.52%"
"Mar 19, 2020","12,800.31","13,200.36","13,200.36","12,694.99","-","-3.03%"
"Mar 18, 2020","13,200.36","13,507.94","13,607.79","13,196.16","-","-2.28%"
"Mar 17, 2020","13,507.94","13,531.64","13,728.47","13,349.81","-","-0.18%"
"Mar 16, 2020","13,531.64","13,939.89","13,939.89","13,531.64","-","-2.93%"
"Mar 13, 2020","13,939.89","14,094.25","14,094.25","13,631.95","-","-1.10%"
"Mar 12, 2020","14,094.25","14,172.90","14,185.09","14,050.86","-","-0.55%"
"Mar 11, 2020","14,172.90","14,288.92","14,345.82","14,172.90","-","-0.81%"
"Mar 10, 2020","14,288.92","14,135.24","14,337.74","14,092.91","-","1.09%"
"Mar 09, 2020","14,135.24","14,509.72","14,509.72","14,120.79","-","-2.58%"
"Mar 06, 2020","14,509.72","14,743.41","14,743.41","14,503.13","-","-1.59%"
"Mar 05, 2020","14,743.41","14,364.21","14,756.39","14,364.21","-","2.64%"
"Mar 04, 2020","14,364.21","14,334.13","14,373.41","14,278.95","-","0.21%"
"Mar 03, 2020","14,334.13","14,309.04","14,426.13","14,309.04","-","0.18%"
"Mar 02, 2020","14,309.04","14,060.78","14,332.06","14,060.78","-","1.77%"
"Feb 28, 2020","14,060.78","14,442.12","14,442.12","14,060.78","-","-2.64%"
"Feb 27, 2020","14,442.12","14,368.49","14,463.97","14,363.63","-","0.51%"
"Feb 26, 2020","14,368.49","14,312.87","14,456.73","14,195.10","-","0.39%"
"Feb 25, 2020","14,312.87","14,451.76","14,451.76","14,230.12","-","-0.96%"
"Feb 24, 2020","14,451.76","14,630.35","14,630.35","14,446.12","-","-1.22%"
"Feb 21, 2020","14,630.35","14,683.81","14,722.41","14,571.47","-","-0.36%"
"Feb 20, 2020","14,683.81","14,508.68","14,701.65","14,432.19","-","1.21%"
"Feb 19, 2020","14,508.68","14,509.63","14,608.42","14,479.19","-","-0.01%"
"Feb 18, 2020","14,509.63","14,656.74","14,656.74","14,490.24","-","-1.00%"
"Feb 17, 2020","14,656.74","14,407.31","14,658.08","14,373.58","-","1.73%"
"Feb 14, 2020","14,407.31","14,278.68","14,420.39","14,278.68","-","0.90%"
"Feb 13, 2020","14,278.68","14,394.36","14,394.36","14,277.59","-","-0.80%"
"Feb 12, 2020","14,394.36","14,378.42","14,394.36","14,297.22","-","0.11%"
