"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,697.39","2,684.07","2,704.83","2,684.07","-","0.50%"
"Apr 29, 2020","2,684.07","2,674.70","2,684.07","2,669.18","-","0.35%"
"Apr 28, 2020","2,674.70","2,685.23","2,687.80","2,651.53","-","-0.39%"
"Apr 27, 2020","2,685.23","2,671.35","2,704.49","2,671.35","-","0.52%"
"Apr 24, 2020","2,671.35","2,667.95","2,675.65","2,662.79","-","0.13%"
"Apr 23, 2020","2,667.95","2,676.36","2,679.66","2,662.45","-","-0.31%"
"Apr 22, 2020","2,676.36","2,663.73","2,676.57","2,655.15","-","0.47%"
"Apr 21, 2020","2,663.73","2,672.61","2,673.34","2,652.13","-","-0.33%"
"Apr 20, 2020","2,672.61","2,692.66","2,692.66","2,669.46","-","-0.74%"
"Apr 17, 2020","2,692.66","2,712.26","2,712.26","2,686.02","-","-0.72%"
"Apr 16, 2020","2,712.26","2,688.62","2,718.28","2,682.75","-","0.88%"
"Apr 15, 2020","2,688.62","2,702.71","2,711.11","2,686.52","-","-0.52%"
"Apr 14, 2020","2,702.71","2,686.86","2,705.54","2,686.86","-","0.59%"
"Apr 13, 2020","2,686.86","2,695.21","2,695.21","2,680.79","-","-0.31%"
"Apr 10, 2020","2,695.21","2,708.23","2,708.23","2,691.17","-","-0.48%"
"Apr 09, 2020","2,708.23","2,716.38","2,722.06","2,707.94","-","-0.30%"
"Apr 08, 2020","2,716.38","2,720.94","2,720.94","2,697.31","-","-0.17%"
"Apr 07, 2020","2,720.94","2,698.99","2,727.42","2,698.99","-","0.81%"
"Apr 06, 2020","2,698.99","2,698.99","2,698.99","2,698.99","-","0.00%"
"Apr 03, 2020","2,698.99","2,712.20","2,712.37","2,694.64","-","-0.49%"
"Apr 02, 2020","2,712.20","2,689.67","2,713.40","2,686.24","-","0.84%"
"Apr 01, 2020","2,689.67","2,711.43","2,721.11","2,685.68","-","-0.80%"
"Mar 31, 2020","2,711.43","2,695.32","2,721.48","2,695.32","-","0.60%"
"Mar 30, 2020","2,695.32","2,693.69","2,701.47","2,669.46","-","0.06%"
