"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","13,370.74","13,286.83","13,473.37","13,286.83","-","0.63%"
"Apr 29, 2020","13,286.83","13,048.51","13,286.83","13,039.03","-","1.83%"
"Apr 28, 2020","13,048.51","12,949.31","13,085.50","12,857.88","-","0.77%"
"Apr 27, 2020","12,949.31","12,801.97","13,034.86","12,801.97","-","1.15%"
"Apr 24, 2020","12,801.97","12,936.79","12,936.79","12,770.35","-","-1.04%"
"Apr 23, 2020","12,936.79","12,979.23","13,008.59","12,923.26","-","-0.33%"
"Apr 22, 2020","12,979.23","12,974.79","12,979.23","12,882.05","-","0.03%"
"Apr 21, 2020","12,974.79","13,110.41","13,110.41","12,914.37","-","-1.03%"
"Apr 20, 2020","13,110.41","13,092.20","13,121.11","13,003.00","-","0.14%"
"Apr 17, 2020","13,092.20","12,964.68","13,172.27","12,964.68","-","0.98%"
"Apr 16, 2020","12,964.68","12,956.75","13,004.92","12,903.82","-","0.06%"
"Apr 15, 2020","12,956.75","13,059.04","13,059.04","12,951.43","-","-0.78%"
"Apr 14, 2020","13,059.04","12,839.58","13,059.04","12,839.58","-","1.71%"
"Apr 13, 2020","12,839.58","12,923.70","12,923.70","12,814.30","-","-0.65%"
"Apr 10, 2020","12,923.70","12,931.21","13,067.70","12,886.98","-","-0.06%"
"Apr 09, 2020","12,931.21","12,914.70","13,007.55","12,914.70","-","0.13%"
"Apr 08, 2020","12,914.70","12,992.92","12,992.92","12,883.87","-","-0.60%"
"Apr 07, 2020","12,992.92","12,800.07","13,016.40","12,800.07","-","1.51%"
"Apr 06, 2020","12,800.07","12,800.07","12,800.07","12,800.07","-","0.00%"
"Apr 03, 2020","12,800.07","12,910.35","12,910.35","12,753.18","-","-0.85%"
"Apr 02, 2020","12,910.35","12,792.74","12,910.35","12,702.56","-","0.92%"
"Apr 01, 2020","12,792.74","12,787.10","12,972.85","12,779.83","-","0.04%"
"Mar 31, 2020","12,787.10","12,887.62","13,007.37","12,775.36","-","-0.78%"
"Mar 30, 2020","12,887.62","12,973.87","12,973.87","12,784.82","-","-0.66%"
"Mar 27, 2020","12,973.87","12,935.07","13,131.42","12,935.07","-","0.30%"
"Mar 26, 2020","12,935.07","12,967.88","13,088.08","12,848.33","-","-0.25%"
"Mar 25, 2020","12,967.88","12,675.70","13,013.83","12,675.70","-","2.31%"
"Mar 24, 2020","12,675.70","12,340.00","12,684.85","12,340.00","-","2.72%"
"Mar 23, 2020","12,340.00","12,727.89","12,727.89","12,317.16","-","-3.05%"
"Mar 20, 2020","12,727.89","12,469.28","12,761.54","12,469.28","-","2.07%"
"Mar 19, 2020","12,469.28","12,752.77","12,752.77","12,244.65","-","-2.22%"
"Mar 18, 2020","12,752.77","13,127.87","13,224.98","12,751.11","-","-2.86%"
"Mar 17, 2020","13,127.87","13,162.49","13,344.42","12,920.13","-","-0.26%"
"Mar 16, 2020","13,162.49","13,660.45","13,660.45","13,151.32","-","-3.65%"
"Mar 13, 2020","13,660.45","13,838.14","13,838.14","13,259.85","-","-1.28%"
"Mar 12, 2020","13,838.14","13,988.22","13,988.22","13,778.57","-","-1.07%"
"Mar 11, 2020","13,988.22","14,181.59","14,190.74","13,988.22","-","-1.36%"
"Mar 10, 2020","14,181.59","13,964.68","14,222.89","13,872.01","-","1.55%"
"Mar 09, 2020","13,964.68","14,376.07","14,376.07","13,926.95","-","-2.86%"
