"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5,478.84","5,364.46","5,502.62","5,364.46","-","2.13%"
"Apr 29, 2020","5,364.46","5,324.22","5,369.66","5,318.41","-","0.76%"
"Apr 28, 2020","5,324.22","5,353.79","5,378.00","5,261.95","-","-0.55%"
"Apr 27, 2020","5,353.79","5,363.99","5,417.76","5,351.35","-","-0.19%"
"Apr 24, 2020","5,363.99","5,389.31","5,389.31","5,335.04","-","-0.47%"
"Apr 23, 2020","5,389.31","5,402.49","5,407.16","5,358.85","-","-0.24%"
"Apr 22, 2020","5,402.49","5,386.39","5,406.19","5,338.55","-","0.30%"
"Apr 21, 2020","5,386.39","5,402.43","5,402.43","5,334.62","-","-0.30%"
"Apr 20, 2020","5,402.43","5,374.28","5,407.72","5,358.39","-","0.52%"
"Apr 17, 2020","5,374.28","5,375.87","5,401.89","5,350.78","-","-0.03%"
"Apr 16, 2020","5,375.87","5,298.69","5,387.35","5,293.15","-","1.46%"
"Apr 15, 2020","5,298.69","5,300.92","5,374.58","5,290.54","-","-0.04%"
"Apr 14, 2020","5,300.92","5,198.96","5,313.25","5,198.96","-","1.96%"
"Apr 13, 2020","5,198.96","5,223.05","5,227.67","5,169.98","-","-0.46%"
"Apr 10, 2020","5,223.05","5,266.26","5,271.27","5,223.05","-","-0.82%"
"Apr 09, 2020","5,266.26","5,278.06","5,292.44","5,257.53","-","-0.22%"
"Apr 08, 2020","5,278.06","5,310.31","5,310.31","5,229.54","-","-0.61%"
"Apr 07, 2020","5,310.31","5,238.31","5,318.29","5,238.31","-","1.37%"
"Apr 06, 2020","5,238.31","5,238.31","5,238.31","5,238.31","-","0.00%"
"Apr 03, 2020","5,238.31","5,230.80","5,291.56","5,217.03","-","0.14%"
"Apr 02, 2020","5,230.80","5,170.46","5,238.47","5,161.41","-","1.17%"
"Apr 01, 2020","5,170.46","5,226.93","5,234.59","5,167.69","-","-1.08%"
"Mar 31, 2020","5,226.93","5,122.50","5,226.93","5,122.50","-","2.04%"
"Mar 30, 2020","5,122.50","5,161.15","5,161.15","5,047.88","-","-0.75%"
"Mar 27, 2020","5,161.15","5,130.61","5,202.87","5,130.61","-","0.60%"
"Mar 26, 2020","5,130.61","5,196.05","5,196.05","5,118.01","-","-1.26%"
"Mar 25, 2020","5,196.05","5,167.44","5,237.17","5,144.49","-","0.55%"
"Mar 24, 2020","5,167.44","5,112.53","5,234.73","5,110.05","-","1.07%"
"Mar 23, 2020","5,112.53","5,160.48","5,163.58","5,062.92","-","-0.93%"
"Mar 20, 2020","5,160.48","5,050.96","5,171.94","5,050.96","-","2.17%"
"Mar 19, 2020","5,050.96","5,050.56","5,071.77","4,937.72","-","0.01%"
"Mar 18, 2020","5,050.56","5,135.07","5,171.82","5,044.24","-","-1.65%"
"Mar 17, 2020","5,135.07","5,049.47","5,135.07","4,988.14","-","1.70%"
"Mar 16, 2020","5,049.47","5,191.44","5,234.96","5,040.78","-","-2.73%"
"Mar 13, 2020","5,191.44","5,255.19","5,255.19","5,008.05","-","-1.21%"
"Mar 12, 2020","5,255.19","5,247.25","5,279.33","5,160.82","-","0.15%"
"Mar 11, 2020","5,247.25","5,137.17","5,292.01","5,137.17","-","2.14%"
"Mar 10, 2020","5,137.17","5,093.70","5,137.17","5,024.44","-","0.85%"
"Mar 09, 2020","5,093.70","5,224.21","5,224.21","5,093.70","-","-2.50%"
"Mar 06, 2020","5,224.21","5,262.19","5,262.19","5,173.03","-","-0.72%"
"Mar 05, 2020","5,262.19","5,207.95","5,275.55","5,189.68","-","1.04%"
"Mar 04, 2020","5,207.95","5,148.24","5,210.72","5,125.38","-","1.16%"
"Mar 03, 2020","5,148.24","5,113.64","5,171.44","5,113.64","-","0.68%"
"Mar 02, 2020","5,113.64","4,957.72","5,134.09","4,957.72","-","3.14%"
"Feb 28, 2020","4,957.72","5,120.01","5,120.01","4,930.79","-","-3.17%"
"Feb 27, 2020","5,120.01","5,063.09","5,142.21","5,063.09","-","1.12%"
"Feb 26, 2020","5,063.09","5,076.16","5,104.88","4,991.42","-","-0.26%"
"Feb 25, 2020","5,076.16","5,160.76","5,160.76","4,978.28","-","-1.64%"
"Feb 24, 2020","5,160.76","5,161.14","5,189.37","5,121.77","-","-0.01%"
"Feb 21, 2020","5,161.14","5,100.34","5,191.21","5,100.34","-","1.19%"
"Feb 20, 2020","5,100.34","5,071.52","5,101.16","5,027.86","-","0.57%"
"Feb 19, 2020","5,071.52","5,096.95","5,099.11","5,057.48","-","-0.50%"
"Feb 18, 2020","5,096.95","5,118.09","5,126.62","5,073.45","-","-0.41%"
"Feb 17, 2020","5,118.09","5,000.04","5,119.67","5,000.04","-","2.36%"
"Feb 14, 2020","5,000.04","5,052.68","5,052.68","4,971.28","-","-1.04%"
"Feb 13, 2020","5,052.68","5,086.97","5,086.97","5,011.17","-","-0.67%"
"Feb 12, 2020","5,086.97","5,049.76","5,087.10","5,031.74","-","0.74%"
"Feb 11, 2020","5,049.76","5,079.94","5,102.89","5,045.47","-","-0.59%"
"Feb 10, 2020","5,079.94","5,075.72","5,086.95","5,034.96","-","0.08%"
"Feb 07, 2020","5,075.72","4,926.16","5,075.72","4,882.03","-","3.04%"
"Feb 06, 2020","4,926.16","4,798.69","4,929.79","4,770.78","-","2.66%"
"Feb 05, 2020","4,798.69","4,785.72","4,881.19","4,769.96","-","0.27%"
"Feb 04, 2020","4,785.72","4,692.62","4,798.94","4,624.42","-","1.98%"
"Feb 03, 2020","4,692.62","4,701.66","4,719.54","4,689.00","-","-9.69%"
"Jan 24, 2020","5,196.36","5,196.36","5,196.36","5,196.36","-","0.00%"
"Jan 23, 2020","5,196.36","5,287.87","5,287.87","5,142.29","-","-1.73%"
"Jan 22, 2020","5,287.87","5,268.21","5,308.49","5,208.71","-","0.37%"
"Jan 21, 2020","5,268.21","5,358.26","5,358.26","5,265.81","-","-1.68%"
"Jan 20, 2020","5,358.26","5,347.55","5,370.74","5,325.59","-","0.20%"
"Jan 17, 2020","5,347.55","5,397.77","5,409.31","5,338.75","-","-0.93%"
"Jan 16, 2020","5,397.77","5,407.28","5,423.74","5,381.28","-","-0.18%"
"Jan 15, 2020","5,407.28","5,463.59","5,463.59","5,394.44","-","-1.03%"
"Jan 14, 2020","5,463.59","5,415.32","5,475.51","5,407.69","-","0.89%"
"Jan 13, 2020","5,415.32","5,392.49","5,416.25","5,338.06","-","0.42%"
"Jan 10, 2020","5,392.49","5,460.09","5,460.09","5,377.46","-","-1.24%"
"Jan 09, 2020","5,460.09","5,424.69","5,460.09","5,418.57","-","0.65%"
"Jan 08, 2020","5,424.69","5,483.31","5,483.59","5,415.39","-","-1.07%"
"Jan 07, 2020","5,483.31","5,475.55","5,498.71","5,462.21","-","0.14%"
"Jan 06, 2020","5,475.55","5,453.81","5,544.73","5,431.08","-","0.40%"
"Jan 03, 2020","5,453.81","5,434.05","5,463.26","5,418.79","-","0.36%"
"Jan 02, 2020","5,434.05","5,403.30","5,451.82","5,403.30","-","0.57%"
"Jan 01, 2020","5,403.30","5,403.30","5,403.30","5,403.30","-","0.00%"
"Dec 31, 2019","5,403.30","5,365.62","5,403.30","5,342.54","-","0.70%"
"Dec 30, 2019","5,365.62","5,341.89","5,365.97","5,286.88","-","0.44%"
"Dec 27, 2019","5,341.89","5,346.28","5,369.61","5,331.96","-","-0.08%"
"Dec 26, 2019","5,346.28","5,356.25","5,365.51","5,312.08","-","-0.19%"
"Dec 25, 2019","5,356.25","5,384.76","5,387.68","5,326.47","-","-0.53%"
"Dec 24, 2019","5,384.76","5,352.08","5,391.30","5,338.41","-","0.61%"
"Dec 23, 2019","5,352.08","5,410.57","5,410.57","5,337.48","-","-1.08%"
"Dec 20, 2019","5,410.57","5,423.73","5,441.38","5,397.83","-","-0.24%"
"Dec 19, 2019","5,423.73","5,383.84","5,437.51","5,379.82","-","0.74%"
"Dec 18, 2019","5,383.84","5,408.17","5,417.19","5,379.99","-","-0.45%"
"Dec 17, 2019","5,408.17","5,333.82","5,415.43","5,329.19","-","1.39%"
"Dec 16, 2019","5,333.82","5,277.66","5,338.98","5,263.84","-","1.06%"
"Dec 13, 2019","5,277.66","5,237.97","5,286.92","5,237.97","-","0.76%"
"Dec 12, 2019","5,237.97","5,222.79","5,259.78","5,221.91","-","0.29%"
"Dec 11, 2019","5,222.79","5,220.41","5,235.78","5,210.26","-","0.05%"
"Dec 10, 2019","5,220.41","5,234.95","5,234.95","5,196.38","-","-0.28%"
"Dec 09, 2019","5,234.95","5,237.35","5,249.61","5,210.68","-","-0.05%"
"Dec 06, 2019","5,237.35","5,254.91","5,254.91","5,204.40","-","-0.33%"
"Dec 05, 2019","5,254.91","5,251.02","5,278.79","5,232.05","-","0.07%"
"Dec 04, 2019","5,251.02","5,177.19","5,263.68","5,156.93","-","1.43%"
"Dec 03, 2019","5,177.19","5,167.66","5,180.27","5,122.43","-","0.18%"
"Dec 02, 2019","5,167.66","5,186.94","5,193.49","5,153.58","-","-0.37%"
"Nov 29, 2019","5,186.94","5,194.39","5,207.03","5,149.71","-","-0.14%"
"Nov 28, 2019","5,194.39","5,197.82","5,213.66","5,172.78","-","-0.07%"
"Nov 27, 2019","5,197.82","5,198.58","5,231.58","5,190.59","-","-0.01%"
"Nov 26, 2019","5,198.58","5,262.31","5,268.85","5,198.58","-","-1.21%"
"Nov 25, 2019","5,262.31","5,210.73","5,262.31","5,190.16","-","0.99%"
"Nov 22, 2019","5,210.73","5,264.02","5,318.12","5,193.70","-","-1.01%"
"Nov 21, 2019","5,264.02","5,313.13","5,313.13","5,243.33","-","-0.92%"
"Nov 20, 2019","5,313.13","5,392.70","5,392.70","5,313.13","-","-1.48%"
"Nov 19, 2019","5,392.70","5,344.06","5,392.70","5,332.46","-","0.91%"
"Nov 18, 2019","5,344.06","5,307.85","5,346.72","5,285.15","-","0.68%"
"Nov 15, 2019","5,307.85","5,390.54","5,390.54","5,307.13","-","-1.53%"
"Nov 14, 2019","5,390.54","5,391.73","5,439.38","5,385.00","-","-0.02%"
"Nov 13, 2019","5,391.73","5,436.73","5,437.83","5,377.12","-","-0.83%"
"Nov 12, 2019","5,436.73","5,448.52","5,451.59","5,396.40","-","-0.22%"
"Nov 11, 2019","5,448.52","5,549.41","5,549.41","5,430.73","-","-1.82%"
"Nov 08, 2019","5,549.41","5,547.61","5,570.50","5,530.28","-","0.03%"
"Nov 07, 2019","5,547.61","5,511.32","5,555.48","5,480.97","-","0.66%"
"Nov 06, 2019","5,511.32","5,582.13","5,582.13","5,488.01","-","-1.27%"
"Nov 05, 2019","5,582.13","5,590.10","5,643.19","5,567.99","-","-0.14%"
"Nov 04, 2019","5,590.10","5,497.71","5,603.17","5,490.72","-","1.68%"
"Nov 01, 2019","5,497.71","5,476.05","5,521.07","5,433.04","-","0.40%"
"Oct 31, 2019","5,476.05","5,476.87","5,513.83","5,424.87","-","-0.01%"
"Oct 30, 2019","5,476.87","5,534.78","5,542.07","5,445.54","-","-1.05%"
"Oct 29, 2019","5,534.78","5,525.90","5,604.35","5,503.37","-","0.16%"
"Oct 28, 2019","5,525.90","5,500.51","5,539.29","5,474.05","-","0.46%"
"Oct 25, 2019","5,500.51","5,489.04","5,513.26","5,421.71","-","0.21%"
"Oct 24, 2019","5,489.04","5,349.56","5,489.04","5,339.08","-","2.61%"
"Oct 23, 2019","5,349.56","5,410.34","5,416.44","5,339.55","-","-1.12%"
