"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,660.92","6,523.32","6,662.52","6,523.32","-","2.11%"
"Apr 29, 2020","6,523.32","6,670.87","6,670.87","6,506.46","-","-2.21%"
"Apr 28, 2020","6,670.87","6,724.70","6,762.85","6,575.97","-","-0.80%"
"Apr 27, 2020","6,724.70","6,694.84","6,793.50","6,694.84","-","0.45%"
"Apr 24, 2020","6,694.84","6,796.97","6,796.97","6,666.76","-","-1.50%"
"Apr 23, 2020","6,796.97","6,764.79","6,843.56","6,764.79","-","0.48%"
"Apr 22, 2020","6,764.79","6,683.96","6,765.84","6,642.87","-","1.21%"
"Apr 21, 2020","6,683.96","6,733.79","6,733.79","6,643.85","-","-0.74%"
"Apr 20, 2020","6,733.79","6,709.70","6,737.04","6,672.23","-","0.36%"
"Apr 17, 2020","6,709.70","6,767.72","6,781.70","6,692.41","-","-0.86%"
"Apr 16, 2020","6,767.72","6,749.69","6,785.80","6,690.71","-","0.27%"
"Apr 15, 2020","6,749.69","6,836.53","6,846.17","6,744.39","-","-1.27%"
"Apr 14, 2020","6,836.53","6,712.78","6,836.53","6,712.78","-","1.84%"
"Apr 13, 2020","6,712.78","6,755.84","6,755.84","6,680.05","-","-0.64%"
"Apr 10, 2020","6,755.84","6,844.97","6,875.38","6,728.24","-","-1.30%"
"Apr 09, 2020","6,844.97","6,772.50","6,876.87","6,769.19","-","1.07%"
"Apr 08, 2020","6,772.50","6,828.03","6,828.03","6,734.45","-","-0.81%"
"Apr 07, 2020","6,828.03","6,680.84","6,828.03","6,680.84","-","2.20%"
"Apr 06, 2020","6,680.84","6,680.84","6,680.84","6,680.84","-","0.00%"
"Apr 03, 2020","6,680.84","6,687.57","6,761.38","6,658.74","-","-0.10%"
"Apr 02, 2020","6,687.57","6,628.69","6,687.57","6,545.43","-","0.89%"
"Apr 01, 2020","6,628.69","6,751.34","6,776.15","6,614.25","-","-1.82%"
"Mar 31, 2020","6,751.34","6,709.52","6,767.24","6,695.24","-","0.62%"
"Mar 30, 2020","6,709.52","6,742.12","6,742.12","6,618.98","-","-0.48%"
"Mar 27, 2020","6,742.12","6,706.86","6,800.20","6,706.86","-","0.53%"
"Mar 26, 2020","6,706.86","6,683.02","6,745.74","6,604.33","-","0.36%"
"Mar 25, 2020","6,683.02","6,535.56","6,699.21","6,535.56","-","2.26%"
"Mar 24, 2020","6,535.56","6,447.31","6,566.03","6,389.48","-","1.37%"
"Mar 23, 2020","6,447.31","6,670.08","6,670.08","6,438.91","-","-3.34%"
"Mar 20, 2020","6,670.08","6,586.94","6,686.06","6,518.11","-","1.26%"
"Mar 19, 2020","6,586.94","6,431.19","6,586.96","6,386.70","-","2.42%"
"Mar 18, 2020","6,431.19","6,531.15","6,679.82","6,431.19","-","-1.53%"
"Mar 17, 2020","6,531.15","6,522.95","6,628.32","6,331.45","-","0.13%"
"Mar 16, 2020","6,522.95","6,791.51","6,824.57","6,502.42","-","-3.95%"
"Mar 13, 2020","6,791.51","6,885.43","6,885.43","6,558.12","-","-1.36%"
"Mar 12, 2020","6,885.43","7,002.55","7,002.55","6,815.51","-","-1.67%"
"Mar 11, 2020","7,002.55","7,015.18","7,056.59","6,967.41","-","-0.18%"
"Mar 10, 2020","7,015.18","6,883.18","7,017.14","6,800.05","-","1.92%"
"Mar 09, 2020","6,883.18","7,101.30","7,101.30","6,883.18","-","-3.07%"
"Mar 06, 2020","7,101.30","7,054.78","7,148.04","6,981.16","-","0.66%"
"Mar 05, 2020","7,054.78","6,929.89","7,079.76","6,929.89","-","1.80%"
"Mar 04, 2020","6,929.89","6,675.97","6,929.89","6,645.45","-","3.80%"
"Mar 03, 2020","6,675.97","6,623.11","6,728.80","6,623.11","-","0.80%"
"Mar 02, 2020","6,623.11","6,437.36","6,645.69","6,437.36","-","2.89%"
"Feb 28, 2020","6,437.36","6,628.75","6,628.75","6,379.21","-","-2.89%"
"Feb 27, 2020","6,628.75","6,627.25","6,686.20","6,602.26","-","0.02%"
"Feb 26, 2020","6,627.25","6,566.54","6,711.15","6,535.53","-","0.92%"
"Feb 25, 2020","6,566.54","6,497.96","6,569.96","6,422.33","-","1.06%"
"Feb 24, 2020","6,497.96","6,602.14","6,602.14","6,484.63","-","-1.58%"
"Feb 21, 2020","6,602.14","6,608.79","6,654.70","6,567.74","-","-0.10%"
"Feb 20, 2020","6,608.79","6,517.86","6,623.79","6,473.17","-","1.40%"
"Feb 19, 2020","6,517.86","6,544.42","6,599.14","6,512.52","-","-0.41%"
"Feb 18, 2020","6,544.42","6,507.34","6,547.78","6,464.67","-","0.57%"
"Feb 17, 2020","6,507.34","6,348.36","6,507.34","6,348.36","-","2.50%"
"Feb 14, 2020","6,348.36","6,376.27","6,389.53","6,320.17","-","-0.44%"
"Feb 13, 2020","6,376.27","6,446.95","6,446.95","6,343.62","-","-1.10%"
"Feb 12, 2020","6,446.95","6,417.37","6,447.66","6,378.20","-","0.46%"
"Feb 11, 2020","6,417.37","6,477.76","6,529.54","6,384.39","-","-0.93%"
"Feb 10, 2020","6,477.76","6,272.63","6,509.87","6,272.63","-","3.27%"
"Feb 07, 2020","6,272.63","6,293.62","6,293.62","6,191.99","-","-0.33%"
"Feb 06, 2020","6,293.62","6,116.90","6,338.67","6,116.90","-","2.89%"
"Feb 05, 2020","6,116.90","6,050.16","6,198.69","6,050.16","-","1.10%"
"Feb 04, 2020","6,050.16","5,829.09","6,074.11","5,789.56","-","3.79%"
"Feb 03, 2020","5,829.09","5,696.51","5,853.14","5,696.51","-","-7.20%"
"Jan 24, 2020","6,281.56","6,281.56","6,281.56","6,281.56","-","0.00%"
"Jan 23, 2020","6,281.56","6,517.90","6,517.90","6,232.36","-","-3.63%"
"Jan 22, 2020","6,517.90","6,489.86","6,537.13","6,362.95","-","0.43%"
"Jan 21, 2020","6,489.86","6,624.71","6,624.71","6,489.81","-","-2.04%"
"Jan 20, 2020","6,624.71","6,590.73","6,624.71","6,569.24","-","0.52%"
"Jan 17, 2020","6,590.73","6,609.73","6,637.97","6,576.66","-","-0.29%"
"Jan 16, 2020","6,609.73","6,658.66","6,673.89","6,596.51","-","-0.73%"
"Jan 15, 2020","6,658.66","6,672.53","6,701.84","6,629.88","-","-0.21%"
"Jan 14, 2020","6,672.53","6,690.34","6,735.09","6,667.23","-","-0.27%"
"Jan 13, 2020","6,690.34","6,681.74","6,690.34","6,574.44","-","0.13%"
"Jan 10, 2020","6,681.74","6,667.32","6,706.09","6,663.18","-","0.22%"
"Jan 09, 2020","6,667.32","6,537.13","6,687.02","6,537.13","-","1.99%"
"Jan 08, 2020","6,537.13","6,617.09","6,617.09","6,519.30","-","-1.21%"
"Jan 07, 2020","6,617.09","6,574.75","6,619.73","6,555.39","-","0.64%"
"Jan 06, 2020","6,574.75","6,536.84","6,630.27","6,477.80","-","0.58%"
"Jan 03, 2020","6,536.84","6,465.54","6,580.18","6,465.54","-","1.10%"
"Jan 02, 2020","6,465.54","6,265.90","6,472.78","6,265.90","-","3.19%"
"Jan 01, 2020","6,265.90","6,265.90","6,265.90","6,265.90","-","0.00%"
"Dec 31, 2019","6,265.90","6,249.58","6,276.23","6,235.59","-","0.26%"
"Dec 30, 2019","6,249.58","6,207.03","6,260.00","6,156.86","-","0.69%"
"Dec 27, 2019","6,207.03","6,253.83","6,271.90","6,206.38","-","-0.75%"
"Dec 26, 2019","6,253.83","6,229.39","6,253.83","6,210.72","-","0.39%"
"Dec 25, 2019","6,229.39","6,249.12","6,264.30","6,214.86","-","-0.32%"
"Dec 24, 2019","6,249.12","6,187.96","6,251.13","6,181.12","-","0.99%"
"Dec 23, 2019","6,187.96","6,233.73","6,259.58","6,177.11","-","-0.73%"
"Dec 20, 2019","6,233.73","6,277.25","6,288.83","6,233.73","-","-0.69%"
"Dec 19, 2019","6,277.25","6,297.77","6,297.77","6,248.08","-","-0.33%"
"Dec 18, 2019","6,297.77","6,302.01","6,328.89","6,279.95","-","-0.07%"
"Dec 17, 2019","6,302.01","6,251.66","6,334.54","6,230.65","-","0.81%"
"Dec 16, 2019","6,251.66","6,195.90","6,251.66","6,195.90","-","0.90%"
"Dec 13, 2019","6,195.90","6,159.12","6,225.94","6,159.12","-","0.60%"
"Dec 12, 2019","6,159.12","6,170.26","6,170.26","6,132.70","-","-0.18%"
"Dec 11, 2019","6,170.26","6,158.32","6,175.93","6,134.96","-","0.19%"
"Dec 10, 2019","6,158.32","6,133.03","6,162.08","6,101.51","-","0.41%"
"Dec 09, 2019","6,133.03","6,179.88","6,179.88","6,104.73","-","-0.76%"
"Dec 06, 2019","6,179.88","6,150.10","6,179.88","6,144.42","-","0.48%"
"Dec 05, 2019","6,150.10","6,135.46","6,158.20","6,114.61","-","0.24%"
"Dec 04, 2019","6,135.46","6,138.64","6,145.41","6,115.70","-","-0.05%"
"Dec 03, 2019","6,138.64","6,114.05","6,140.00","6,074.24","-","0.40%"
"Dec 02, 2019","6,114.05","6,117.38","6,156.24","6,104.05","-","-0.05%"
"Nov 29, 2019","6,117.38","6,126.17","6,142.64","6,079.74","-","-0.14%"
"Nov 28, 2019","6,126.17","6,157.61","6,157.61","6,109.67","-","-0.51%"
"Nov 27, 2019","6,157.61","6,216.90","6,216.90","6,137.02","-","-0.95%"
"Nov 26, 2019","6,216.90","6,212.03","6,254.49","6,184.09","-","0.08%"
"Nov 25, 2019","6,212.03","6,196.24","6,217.30","6,142.29","-","0.25%"
"Nov 22, 2019","6,196.24","6,253.81","6,315.51","6,169.06","-","-0.92%"
"Nov 21, 2019","6,253.81","6,270.74","6,277.06","6,236.94","-","-0.27%"
"Nov 20, 2019","6,270.74","6,313.49","6,313.49","6,263.91","-","-0.68%"
"Nov 19, 2019","6,313.49","6,245.25","6,313.49","6,244.64","-","1.09%"
"Nov 18, 2019","6,245.25","6,196.45","6,247.39","6,168.26","-","0.79%"
"Nov 15, 2019","6,196.45","6,264.70","6,269.21","6,193.45","-","-1.09%"
"Nov 14, 2019","6,264.70","6,290.30","6,297.02","6,232.22","-","-0.41%"
"Nov 13, 2019","6,290.30","6,310.61","6,310.61","6,245.99","-","-0.32%"
"Nov 12, 2019","6,310.61","6,340.85","6,340.85","6,250.69","-","-0.48%"
"Nov 11, 2019","6,340.85","6,477.02","6,477.02","6,334.26","-","-2.10%"
"Nov 08, 2019","6,477.02","6,493.56","6,532.40","6,468.16","-","-0.25%"
"Nov 07, 2019","6,493.56","6,473.95","6,517.31","6,465.98","-","0.30%"
"Nov 06, 2019","6,473.95","6,595.85","6,595.85","6,449.35","-","-1.85%"
"Nov 05, 2019","6,595.85","6,576.81","6,609.90","6,546.92","-","0.29%"
"Nov 04, 2019","6,576.81","6,588.18","6,616.64","6,557.16","-","-0.17%"
"Nov 01, 2019","6,588.18","6,507.33","6,589.53","6,461.95","-","1.24%"
"Oct 31, 2019","6,507.33","6,520.13","6,521.94","6,487.35","-","-0.20%"
"Oct 30, 2019","6,520.13","6,472.72","6,520.13","6,463.62","-","0.73%"
"Oct 29, 2019","6,472.72","6,563.57","6,563.57","6,468.27","-","-1.38%"
"Oct 28, 2019","6,563.57","6,514.47","6,591.73","6,514.47","-","0.75%"
"Oct 25, 2019","6,514.47","6,430.85","6,514.47","6,413.30","-","1.30%"
"Oct 24, 2019","6,430.85","6,508.12","6,508.12","6,389.79","-","-1.19%"
"Oct 23, 2019","6,508.12","6,555.13","6,557.60","6,501.13","-","-0.72%"
"Oct 22, 2019","6,555.13","6,523.72","6,556.25","6,480.86","-","0.48%"
"Oct 21, 2019","6,523.72","6,537.24","6,537.24","6,479.10","-","-0.21%"
"Oct 18, 2019","6,537.24","6,613.68","6,625.33","6,526.31","-","-1.16%"
"Oct 17, 2019","6,613.68","6,613.24","6,629.63","6,589.60","-","0.01%"
"Oct 16, 2019","6,613.24","6,644.17","6,661.46","6,608.99","-","-0.47%"
"Oct 15, 2019","6,644.17","6,649.77","6,703.47","6,634.95","-","-0.08%"
"Oct 14, 2019","6,649.77","6,539.23","6,678.05","6,539.23","-","1.69%"
"Oct 11, 2019","6,539.23","6,511.01","6,555.08","6,474.85","-","0.43%"
"Oct 10, 2019","6,511.01","6,452.78","6,518.61","6,420.78","-","0.90%"
"Oct 09, 2019","6,452.78","6,436.45","6,454.03","6,384.40","-","0.25%"
"Oct 08, 2019","6,436.45","6,450.28","6,494.37","6,434.43","-","-0.21%"
"Sep 30, 2019","6,450.28","6,490.56","6,528.06","6,450.28","-","-0.62%"
"Sep 27, 2019","6,490.56","6,474.49","6,513.92","6,462.46","-","0.25%"
"Sep 26, 2019","6,474.49","6,571.10","6,606.83","6,468.39","-","-1.47%"
"Sep 25, 2019","6,571.10","6,617.95","6,617.95","6,540.03","-","-0.71%"
"Sep 24, 2019","6,617.95","6,581.57","6,649.57","6,570.98","-","0.55%"
"Sep 23, 2019","6,581.57","6,656.87","6,656.87","6,543.02","-","-1.13%"
"Sep 20, 2019","6,656.87","6,672.22","6,691.45","6,642.36","-","-0.23%"
"Sep 19, 2019","6,672.22","6,651.14","6,674.01","6,638.70","-","0.32%"
"Sep 18, 2019","6,651.14","6,648.04","6,671.74","6,643.43","-","0.05%"
"Sep 17, 2019","6,648.04","6,763.96","6,763.96","6,633.06","-","-1.71%"
"Sep 16, 2019","6,763.96","6,773.41","6,785.96","6,735.69","-","-0.14%"
"Sep 13, 2019","6,773.41","6,773.41","6,773.41","6,773.41","-","0.00%"
"Sep 12, 2019","6,773.41","6,773.96","6,787.29","6,724.85","-","-0.01%"
"Sep 11, 2019","6,773.96","6,760.15","6,813.10","6,757.42","-","0.20%"
"Sep 10, 2019","6,760.15","6,740.30","6,767.68","6,701.71","-","0.29%"
"Sep 09, 2019","6,740.30","6,668.76","6,740.30","6,668.76","-","1.07%"
"Sep 06, 2019","6,668.76","6,709.68","6,709.68","6,633.16","-","-0.61%"
"Sep 05, 2019","6,709.68","6,656.80","6,779.52","6,656.80","-","0.79%"
"Sep 04, 2019","6,656.80","6,636.59","6,668.76","6,602.84","-","0.30%"
"Sep 03, 2019","6,636.59","6,712.97","6,712.97","6,599.20","-","-1.14%"
"Sep 02, 2019","6,712.97","6,711.64","6,732.68","6,649.66","-","0.02%"
"Aug 30, 2019","6,711.64","6,750.42","6,777.94","6,667.43","-","-0.57%"
"Aug 29, 2019","6,750.42","6,742.89","6,776.22","6,708.47","-","0.11%"
"Aug 28, 2019","6,742.89","6,740.55","6,832.95","6,724.26","-","0.03%"
"Aug 27, 2019","6,740.55","6,679.65","6,799.50","6,679.65","-","0.91%"
"Aug 26, 2019","6,679.65","6,708.77","6,708.77","6,630.38","-","-0.43%"
"Aug 23, 2019","6,708.77","6,664.88","6,708.77","6,653.46","-","0.66%"
"Aug 22, 2019","6,664.88","6,666.88","6,700.08","6,641.86","-","-0.03%"
"Aug 21, 2019","6,666.88","6,697.49","6,739.90","6,658.88","-","-0.46%"
"Aug 20, 2019","6,697.49","6,700.80","6,735.53","6,684.63","-","-0.05%"
"Aug 19, 2019","6,700.80","6,553.38","6,705.38","6,553.38","-","2.25%"
"Aug 16, 2019","6,553.38","6,459.54","6,593.15","6,459.54","-","1.45%"
