"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","8,336.08","8,296.04","8,430.64","8,296.04","-","0.48%"
"Apr 29, 2020","8,296.04","8,107.87","8,313.97","8,107.87","-","2.32%"
"Apr 28, 2020","8,107.87","7,976.94","8,127.01","7,947.73","-","1.64%"
"Apr 27, 2020","7,976.94","7,885.98","8,028.95","7,885.98","-","1.15%"
"Apr 24, 2020","7,885.98","8,067.57","8,067.57","7,866.76","-","-2.25%"
"Apr 23, 2020","8,067.57","8,049.48","8,124.85","8,036.04","-","0.22%"
"Apr 22, 2020","8,049.48","8,069.66","8,069.66","7,979.63","-","-0.25%"
"Apr 21, 2020","8,069.66","8,196.72","8,196.72","7,986.31","-","-1.55%"
"Apr 20, 2020","8,196.72","8,087.62","8,222.64","8,045.64","-","1.35%"
"Apr 17, 2020","8,087.62","7,836.52","8,163.75","7,836.52","-","3.20%"
"Apr 16, 2020","7,836.52","7,885.40","7,885.40","7,810.93","-","-0.62%"
"Apr 15, 2020","7,885.40","7,914.29","7,947.60","7,874.03","-","-0.37%"
"Apr 14, 2020","7,914.29","7,808.46","7,923.55","7,808.46","-","1.36%"
"Apr 13, 2020","7,808.46","7,891.34","7,891.34","7,786.43","-","-1.05%"
"Apr 10, 2020","7,891.34","7,755.11","8,024.10","7,730.36","-","1.76%"
"Apr 09, 2020","7,755.11","7,728.75","7,791.33","7,728.75","-","0.34%"
"Apr 08, 2020","7,728.75","7,805.92","7,805.92","7,720.92","-","-0.99%"
"Apr 07, 2020","7,805.92","7,683.13","7,840.80","7,683.13","-","1.60%"
"Apr 06, 2020","7,683.13","7,683.13","7,683.13","7,683.13","-","0.00%"
"Apr 03, 2020","7,683.13","7,776.76","7,776.76","7,638.16","-","-1.20%"
"Apr 02, 2020","7,776.76","7,725.58","7,776.76","7,584.28","-","0.66%"
"Apr 01, 2020","7,725.58","7,719.36","7,849.28","7,695.32","-","0.08%"
"Mar 31, 2020","7,719.36","7,728.95","7,844.49","7,701.97","-","-0.12%"
"Mar 30, 2020","7,728.95","7,794.90","7,794.90","7,642.53","-","-0.85%"
