"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,225.31","3,151.24","3,239.69","3,151.24","-","2.35%"
"Apr 29, 2020","3,151.24","3,130.01","3,180.57","3,130.01","-","0.68%"
"Apr 28, 2020","3,130.01","3,153.79","3,163.70","3,059.78","-","-0.75%"
"Apr 27, 2020","3,153.79","3,164.51","3,201.86","3,151.28","-","-0.34%"
"Apr 24, 2020","3,164.51","3,228.54","3,228.54","3,152.19","-","-1.98%"
"Apr 23, 2020","3,228.54","3,280.16","3,286.11","3,216.95","-","-1.57%"
"Apr 22, 2020","3,280.16","3,266.48","3,281.32","3,233.37","-","0.42%"
"Apr 21, 2020","3,266.48","3,279.04","3,280.87","3,234.42","-","-0.38%"
"Apr 20, 2020","3,279.04","3,283.06","3,291.33","3,262.52","-","-0.12%"
"Apr 17, 2020","3,283.06","3,300.96","3,329.82","3,279.50","-","-0.54%"
"Apr 16, 2020","3,300.96","3,267.41","3,306.61","3,247.74","-","1.03%"
"Apr 15, 2020","3,267.41","3,284.41","3,309.87","3,264.92","-","-0.52%"
"Apr 14, 2020","3,284.41","3,203.96","3,285.22","3,203.96","-","2.51%"
"Apr 13, 2020","3,203.96","3,257.81","3,257.81","3,185.17","-","-1.65%"
"Apr 10, 2020","3,257.81","3,323.14","3,323.14","3,238.54","-","-1.97%"
"Apr 09, 2020","3,323.14","3,269.24","3,334.22","3,269.24","-","1.65%"
"Apr 08, 2020","3,269.24","3,255.18","3,285.78","3,230.96","-","0.43%"
"Apr 07, 2020","3,255.18","3,188.94","3,264.72","3,188.94","-","2.08%"
"Apr 06, 2020","3,188.94","3,188.94","3,188.94","3,188.94","-","0.00%"
"Apr 03, 2020","3,188.94","3,209.98","3,210.19","3,172.71","-","-0.66%"
"Apr 02, 2020","3,209.98","3,142.58","3,209.98","3,132.61","-","2.14%"
"Apr 01, 2020","3,142.58","3,168.53","3,213.25","3,140.05","-","-0.82%"
"Mar 31, 2020","3,168.53","3,191.56","3,230.41","3,156.93","-","-0.72%"
"Mar 30, 2020","3,191.56","3,284.44","3,284.44","3,155.45","-","-2.83%"
"Mar 27, 2020","3,284.44","3,304.70","3,341.76","3,284.44","-","-0.61%"
"Mar 26, 2020","3,304.70","3,335.83","3,366.66","3,303.48","-","-0.93%"
"Mar 25, 2020","3,335.83","3,243.28","3,344.50","3,243.28","-","2.85%"
"Mar 24, 2020","3,243.28","3,216.81","3,269.04","3,171.56","-","0.82%"
