"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","12,533.97","12,535.36","12,605.12","12,496.94","-","-0.01%"
"Apr 29, 2020","12,535.36","12,331.54","12,535.86","12,299.56","-","1.65%"
"Apr 28, 2020","12,331.54","12,228.49","12,408.06","12,125.39","-","0.84%"
"Apr 27, 2020","12,228.49","12,145.77","12,344.04","12,145.77","-","0.68%"
"Apr 24, 2020","12,145.77","12,269.49","12,269.49","12,110.89","-","-1.01%"
"Apr 23, 2020","12,269.49","12,292.92","12,340.72","12,212.11","-","-0.19%"
"Apr 22, 2020","12,292.92","12,259.44","12,292.92","12,114.45","-","0.27%"
"Apr 21, 2020","12,259.44","12,425.78","12,440.19","12,171.09","-","-1.34%"
"Apr 20, 2020","12,425.78","12,471.28","12,471.28","12,236.99","-","-0.36%"
"Apr 17, 2020","12,471.28","12,420.63","12,559.40","12,420.63","-","0.41%"
"Apr 16, 2020","12,420.63","12,353.93","12,450.16","12,321.69","-","0.54%"
"Apr 15, 2020","12,353.93","12,573.35","12,573.35","12,325.74","-","-1.75%"
"Apr 14, 2020","12,573.35","12,305.84","12,627.68","12,305.84","-","2.17%"
"Apr 13, 2020","12,305.84","12,266.15","12,315.82","12,188.75","-","0.32%"
"Apr 10, 2020","12,266.15","12,320.77","12,537.36","12,239.80","-","-0.44%"
"Apr 09, 2020","12,320.77","12,386.93","12,434.73","12,286.94","-","-0.53%"
"Apr 08, 2020","12,386.93","12,460.81","12,460.81","12,294.30","-","-0.59%"
"Apr 07, 2020","12,460.81","12,285.76","12,492.80","12,285.76","-","1.42%"
"Apr 03, 2020","12,285.76","12,314.01","12,375.86","12,222.21","-","-0.23%"
"Apr 02, 2020","12,314.01","12,200.53","12,314.01","12,116.85","-","0.93%"
"Apr 01, 2020","12,200.53","12,073.44","12,397.46","12,073.44","-","1.05%"
"Mar 31, 2020","12,073.44","12,204.53","12,327.54","11,969.86","-","-1.07%"
"Mar 30, 2020","12,204.53","12,331.55","12,334.07","12,137.55","-","-1.03%"
"Mar 27, 2020","12,331.55","12,184.91","12,534.71","12,184.91","-","1.20%"
"Mar 26, 2020","12,184.91","12,312.47","12,327.31","12,116.45","-","-1.04%"
"Mar 25, 2020","12,312.47","11,731.12","12,351.71","11,731.12","-","4.96%"
"Mar 24, 2020","11,731.12","11,413.47","11,754.62","11,413.47","-","2.78%"
"Mar 23, 2020","11,413.47","11,944.45","11,944.45","11,383.17","-","-4.45%"
"Mar 20, 2020","11,944.45","11,618.14","11,960.14","11,618.14","-","2.81%"
"Mar 19, 2020","11,618.14","11,950.33","11,950.33","11,285.04","-","-2.78%"
"Mar 18, 2020","11,950.33","12,524.17","12,530.28","11,934.24","-","-4.58%"
"Mar 17, 2020","12,524.17","12,739.96","12,879.97","12,276.89","-","-1.69%"
"Mar 16, 2020","12,739.96","13,179.18","13,179.18","12,682.21","-","-3.33%"
"Mar 13, 2020","13,179.18","13,320.78","13,320.78","12,654.54","-","-1.06%"
"Mar 12, 2020","13,320.78","13,470.75","13,471.00","13,184.31","-","-1.11%"
"Mar 11, 2020","13,470.75","13,612.57","13,716.61","13,470.75","-","-1.04%"
"Mar 10, 2020","13,612.57","13,459.99","13,686.47","13,268.34","-","1.13%"
"Mar 09, 2020","13,459.99","13,808.77","13,808.77","13,418.44","-","-2.53%"
"Mar 06, 2020","13,808.77","14,223.68","14,223.68","13,736.35","-","-2.92%"
"Mar 05, 2020","14,223.68","14,120.48","14,296.36","13,961.97","-","0.73%"
"Mar 04, 2020","14,120.48","13,663.30","14,220.09","13,570.89","-","3.35%"
"Mar 03, 2020","13,663.30","13,699.25","13,852.27","13,494.26","-","-0.26%"
"Mar 02, 2020","13,699.25","13,085.73","13,805.80","13,085.73","-","4.69%"
"Feb 28, 2020","13,085.73","13,206.53","13,419.63","13,024.78","-","-0.91%"
"Feb 27, 2020","13,206.53","13,381.33","13,435.41","13,172.35","-","-1.31%"
"Feb 26, 2020","13,381.33","12,998.43","13,658.52","12,809.28","-","2.95%"
"Feb 25, 2020","12,998.43","12,936.95","13,098.05","12,764.13","-","0.48%"
"Feb 24, 2020","12,936.95","13,158.47","13,158.47","12,800.46","-","-1.68%"
"Feb 21, 2020","13,158.47","13,355.74","13,355.74","13,096.94","-","-1.48%"
"Feb 20, 2020","13,355.74","13,249.44","13,372.07","13,078.96","-","0.80%"
"Feb 19, 2020","13,249.44","13,205.11","13,360.09","13,141.96","-","0.34%"
"Feb 18, 2020","13,205.11","13,375.69","13,375.69","13,110.86","-","-1.28%"
"Feb 17, 2020","13,375.69","13,336.98","13,408.51","13,215.88","-","0.29%"
"Feb 14, 2020","13,336.98","12,915.16","13,336.98","12,915.16","-","3.27%"
"Feb 13, 2020","12,915.16","12,624.73","13,127.84","12,624.73","-","2.30%"
"Feb 12, 2020","12,624.73","12,628.91","12,646.89","12,543.81","-","-0.03%"
"Feb 11, 2020","12,628.91","12,515.96","12,771.62","12,483.71","-","0.90%"
"Feb 10, 2020","12,515.96","12,180.21","12,558.25","12,035.30","-","2.76%"
"Feb 07, 2020","12,180.21","12,252.15","12,252.15","12,027.57","-","-0.59%"
"Feb 06, 2020","12,252.15","12,133.34","12,312.82","12,042.08","-","0.98%"
"Feb 05, 2020","12,133.34","12,068.62","12,257.38","11,981.00","-","0.54%"
"Feb 04, 2020","12,068.62","11,842.51","12,122.48","11,805.58","-","1.91%"
"Feb 03, 2020","11,842.51","11,758.39","12,011.62","11,758.39","-","-9.19%"
"Jan 23, 2020","13,040.99","13,535.18","13,535.18","12,963.87","-","-3.65%"
"Jan 22, 2020","13,535.18","13,287.29","13,576.70","13,200.75","-","1.87%"
"Jan 21, 2020","13,287.29","13,643.50","13,643.50","13,275.04","-","-2.61%"
"Jan 20, 2020","13,643.50","13,795.37","13,795.37","13,524.52","-","-1.10%"
"Jan 17, 2020","13,795.37","13,820.16","13,916.41","13,750.30","-","-0.18%"
"Jan 16, 2020","13,820.16","13,844.72","13,954.21","13,800.04","-","-0.18%"
"Jan 15, 2020","13,844.72","14,084.66","14,084.66","13,831.59","-","-1.70%"
"Jan 14, 2020","14,084.66","14,139.33","14,217.71","14,069.18","-","-0.39%"
"Jan 13, 2020","14,139.33","13,988.66","14,141.65","13,946.86","-","1.08%"
"Jan 10, 2020","13,988.66","14,193.68","14,194.56","13,954.61","-","-1.44%"
"Jan 09, 2020","14,193.68","13,892.46","14,272.18","13,892.46","-","2.17%"
"Jan 08, 2020","13,892.46","14,088.78","14,088.78","13,826.09","-","-1.39%"
"Jan 07, 2020","14,088.78","13,952.60","14,094.34","13,952.14","-","0.98%"
"Jan 06, 2020","13,952.60","14,142.11","14,142.11","13,870.94","-","-1.34%"
"Jan 03, 2020","14,142.11","14,293.23","14,329.21","14,047.21","-","-1.06%"
"Jan 02, 2020","14,293.23","14,151.68","14,599.10","14,151.68","-","1.00%"
"Dec 31, 2019","14,151.68","14,065.31","14,244.47","13,968.63","-","0.61%"
"Dec 30, 2019","14,065.31","13,808.82","14,065.31","13,808.82","-","1.86%"
"Dec 27, 2019","13,808.82","13,845.23","13,948.26","13,795.90","-","-0.26%"
"Dec 26, 2019","13,845.23","13,490.15","13,912.13","13,490.15","-","2.63%"
"Dec 25, 2019","13,490.15","13,528.11","13,550.69","13,449.57","-","-0.28%"
"Dec 24, 2019","13,528.11","13,678.54","13,706.02","13,431.22","-","-1.10%"
