"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","12,754.31","12,241.12","12,846.15","12,241.12","-","4.19%"
"Apr 29, 2020","12,241.12","12,262.30","12,357.78","12,201.87","-","-0.17%"
"Apr 28, 2020","12,262.30","12,315.92","12,320.61","11,823.74","-","-0.44%"
"Apr 27, 2020","12,315.92","12,329.90","12,419.69","12,222.34","-","-0.11%"
"Apr 24, 2020","12,329.90","12,497.53","12,591.35","12,272.97","-","-1.34%"
"Apr 23, 2020","12,497.53","12,643.74","12,663.23","12,484.90","-","-1.16%"
"Apr 22, 2020","12,643.74","12,602.25","12,645.50","12,426.55","-","0.33%"
"Apr 21, 2020","12,602.25","12,594.55","12,627.73","12,398.64","-","0.06%"
"Apr 20, 2020","12,594.55","12,376.47","12,612.99","12,376.47","-","1.76%"
"Apr 17, 2020","12,376.47","12,327.47","12,641.95","12,327.47","-","0.40%"
"Apr 16, 2020","12,327.47","12,155.46","12,384.06","12,041.85","-","1.42%"
"Apr 15, 2020","12,155.46","12,111.39","12,342.60","12,111.39","-","0.36%"
"Apr 14, 2020","12,111.39","11,749.88","12,111.39","11,749.88","-","3.08%"
"Apr 13, 2020","11,749.88","12,017.27","12,017.27","11,717.52","-","-2.23%"
"Apr 10, 2020","12,017.27","12,412.86","12,412.86","11,961.10","-","-3.19%"
"Apr 09, 2020","12,412.86","12,233.35","12,450.50","12,233.35","-","1.47%"
"Apr 08, 2020","12,233.35","12,262.93","12,347.84","12,172.70","-","-0.24%"
"Apr 07, 2020","12,262.93","11,842.33","12,294.31","11,842.33","-","3.55%"
"Apr 06, 2020","11,842.33","11,842.33","11,842.33","11,842.33","-","0.00%"
"Apr 03, 2020","11,842.33","12,060.93","12,060.93","11,791.97","-","-1.81%"
"Apr 02, 2020","12,060.93","11,627.38","12,060.93","11,623.10","-","3.73%"
"Apr 01, 2020","11,627.38","11,656.17","11,913.17","11,590.06","-","-0.25%"
"Mar 31, 2020","11,656.17","11,626.61","11,826.14","11,622.96","-","0.25%"
"Mar 30, 2020","11,626.61","12,086.64","12,086.64","11,462.39","-","-3.81%"
"Mar 27, 2020","12,086.64","12,292.39","12,437.35","12,080.02","-","-1.67%"
"Mar 26, 2020","12,292.39","12,252.21","12,506.36","12,132.16","-","0.33%"
"Mar 25, 2020","12,252.21","11,923.41","12,291.09","11,923.41","-","2.76%"
"Mar 24, 2020","11,923.41","11,776.10","12,166.35","11,511.86","-","1.25%"
"Mar 23, 2020","11,776.10","12,397.00","12,397.00","11,716.26","-","-5.01%"
"Mar 20, 2020","12,397.00","12,388.94","12,606.93","12,184.78","-","0.07%"
"Mar 19, 2020","12,388.94","12,139.21","12,475.82","11,930.84","-","2.06%"
"Mar 18, 2020","12,139.21","12,327.77","12,730.98","12,127.68","-","-1.53%"
"Mar 17, 2020","12,327.77","12,043.53","12,461.32","11,784.35","-","2.36%"
"Mar 16, 2020","12,043.53","12,788.45","12,839.78","11,985.68","-","-5.82%"
"Mar 13, 2020","12,788.45","12,771.12","12,970.97","12,117.66","-","0.14%"
"Mar 12, 2020","12,771.12","13,018.18","13,018.18","12,561.68","-","-1.90%"
"Mar 11, 2020","13,018.18","13,458.13","13,521.22","13,009.52","-","-3.27%"
"Mar 10, 2020","13,458.13","12,910.06","13,460.93","12,745.84","-","4.25%"
"Mar 09, 2020","12,910.06","13,781.26","13,781.26","12,905.71","-","-6.32%"
"Mar 06, 2020","13,781.26","14,000.94","14,008.18","13,710.88","-","-1.57%"
"Mar 05, 2020","14,000.94","14,246.61","14,582.98","13,780.44","-","-1.72%"
"Mar 04, 2020","14,246.61","14,583.27","14,749.86","13,883.65","-","-2.31%"
"Mar 03, 2020","14,583.27","13,874.89","14,971.30","13,874.89","-","5.11%"
"Mar 02, 2020","13,874.89","13,254.01","14,026.01","13,180.07","-","4.68%"
"Feb 28, 2020","13,254.01","14,187.91","14,187.91","13,236.82","-","-6.58%"
"Feb 27, 2020","14,187.91","13,573.51","14,443.83","13,569.11","-","4.53%"
"Feb 26, 2020","13,573.51","14,199.39","14,199.39","13,468.32","-","-4.41%"
"Feb 25, 2020","14,199.39","14,288.30","14,288.30","13,437.45","-","-0.62%"
"Feb 24, 2020","14,288.30","13,922.95","14,463.86","13,856.48","-","2.62%"
"Feb 21, 2020","13,922.95","13,551.01","14,202.26","13,551.01","-","2.74%"
"Feb 20, 2020","13,551.01","13,186.74","13,617.43","13,069.15","-","2.76%"
"Feb 19, 2020","13,186.74","13,507.97","13,507.97","13,186.74","-","-2.38%"
"Feb 18, 2020","13,507.97","13,297.68","13,512.36","13,266.79","-","1.58%"
"Feb 17, 2020","13,297.68","12,899.77","13,338.41","12,899.77","-","3.08%"
"Feb 14, 2020","12,899.77","12,925.20","13,288.82","12,769.35","-","-0.20%"
"Feb 13, 2020","12,925.20","13,166.78","13,225.29","12,821.64","-","-1.83%"
"Feb 12, 2020","13,166.78","12,514.23","13,166.78","12,479.50","-","5.21%"
"Feb 11, 2020","12,514.23","12,655.83","12,684.39","12,446.39","-","-1.12%"
"Feb 10, 2020","12,655.83","12,531.16","12,806.69","12,396.27","-","0.99%"
"Feb 07, 2020","12,531.16","12,199.70","12,561.56","12,199.70","-","2.72%"
"Feb 06, 2020","12,199.70","11,581.24","12,199.70","11,555.36","-","5.34%"
"Feb 05, 2020","11,581.24","11,211.73","11,780.17","11,211.73","-","3.30%"
"Feb 04, 2020","11,211.73","10,738.68","11,262.59","10,738.68","-","4.41%"
"Feb 03, 2020","10,738.68","10,675.24","10,905.17","10,675.24","-","-9.45%"
"Jan 24, 2020","11,858.82","11,858.82","11,858.82","11,858.82","-","0.00%"
"Jan 23, 2020","11,858.82","12,396.44","12,396.44","11,706.05","-","-4.34%"
"Jan 22, 2020","12,396.44","12,117.69","12,468.44","11,983.14","-","2.30%"
"Jan 21, 2020","12,117.69","12,307.31","12,325.38","12,111.67","-","-1.54%"
"Jan 20, 2020","12,307.31","12,194.23","12,352.97","12,024.85","-","0.93%"
"Jan 17, 2020","12,194.23","12,040.17","12,328.71","12,040.17","-","1.28%"
"Jan 16, 2020","12,040.17","11,968.64","12,128.18","11,963.34","-","0.60%"
"Jan 15, 2020","11,968.64","11,707.37","11,971.38","11,690.73","-","2.23%"
"Jan 14, 2020","11,707.37","11,812.09","11,890.32","11,687.91","-","-0.89%"
"Jan 13, 2020","11,812.09","11,536.63","11,824.09","11,536.63","-","2.39%"
"Jan 10, 2020","11,536.63","11,593.38","11,679.13","11,466.86","-","-0.49%"
"Jan 09, 2020","11,593.38","11,329.13","11,632.19","11,329.13","-","2.33%"
"Jan 08, 2020","11,329.13","11,545.39","11,545.39","11,310.94","-","-1.87%"
"Jan 07, 2020","11,545.39","11,324.97","11,545.39","11,265.38","-","1.95%"
"Jan 06, 2020","11,324.97","11,107.83","11,446.21","11,006.74","-","1.95%"
"Jan 03, 2020","11,107.83","11,086.93","11,155.34","11,000.77","-","0.19%"
"Jan 02, 2020","11,086.93","10,794.69","11,120.86","10,794.69","-","2.71%"
"Jan 01, 2020","10,794.69","10,794.69","10,794.69","10,794.69","-","0.00%"
"Dec 31, 2019","10,794.69","10,770.71","10,846.60","10,720.36","-","0.22%"
"Dec 30, 2019","10,770.71","10,660.38","10,816.05","10,461.71","-","1.03%"
"Dec 27, 2019","10,660.38","10,942.56","10,983.45","10,652.85","-","-2.58%"
"Dec 26, 2019","10,942.56","10,813.79","10,942.56","10,786.61","-","1.19%"
"Dec 25, 2019","10,813.79","10,754.15","10,869.96","10,732.10","-","0.55%"
"Dec 24, 2019","10,754.15","10,580.87","10,756.85","10,575.13","-","1.64%"
"Dec 23, 2019","10,580.87","10,843.36","10,843.36","10,563.71","-","-2.42%"
"Dec 20, 2019","10,843.36","11,107.58","11,140.83","10,843.36","-","-2.38%"
"Dec 19, 2019","11,107.58","11,126.57","11,174.48","11,027.63","-","-0.17%"
"Dec 18, 2019","11,126.57","11,131.83","11,240.44","11,099.88","-","-0.05%"
"Dec 17, 2019","11,131.83","11,081.01","11,240.80","11,011.42","-","0.46%"
"Dec 16, 2019","11,081.01","10,826.04","11,081.01","10,826.04","-","2.36%"
"Dec 13, 2019","10,826.04","10,620.50","10,826.91","10,620.50","-","1.94%"
"Dec 12, 2019","10,620.50","10,650.53","10,711.70","10,571.16","-","-0.28%"
"Dec 11, 2019","10,650.53","10,697.30","10,767.04","10,636.10","-","-0.44%"
"Dec 10, 2019","10,697.30","10,606.84","10,701.66","10,540.42","-","0.85%"
"Dec 09, 2019","10,606.84","10,479.60","10,636.56","10,467.50","-","1.21%"
"Dec 06, 2019","10,479.60","10,452.10","10,479.60","10,329.76","-","0.26%"
"Dec 05, 2019","10,452.10","10,252.94","10,466.70","10,252.94","-","1.94%"
"Dec 04, 2019","10,252.94","10,250.25","10,254.81","10,146.70","-","0.03%"
"Dec 03, 2019","10,250.25","10,227.58","10,253.12","10,096.86","-","0.22%"
"Dec 02, 2019","10,227.58","10,200.80","10,311.72","10,199.89","-","0.26%"
"Nov 29, 2019","10,200.80","10,175.82","10,254.05","10,120.45","-","0.25%"
"Nov 28, 2019","10,175.82","10,246.77","10,284.20","10,154.83","-","-0.69%"
"Nov 27, 2019","10,246.77","10,309.92","10,335.04","10,181.98","-","-0.61%"
"Nov 26, 2019","10,309.92","10,282.62","10,383.62","10,219.30","-","0.27%"
"Nov 25, 2019","10,282.62","10,584.28","10,584.28","10,234.39","-","-2.85%"
"Nov 22, 2019","10,584.28","10,708.63","10,919.57","10,532.51","-","-1.16%"
"Nov 21, 2019","10,708.63","10,722.38","10,792.16","10,627.26","-","-0.13%"
