"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","12,787.39","12,383.38","12,874.93","12,383.38","-","3.26%"
"Apr 29, 2020","12,383.38","12,443.73","12,809.22","12,223.52","-","-0.48%"
"Apr 28, 2020","12,443.73","12,356.01","12,707.73","12,356.01","-","0.71%"
"Apr 27, 2020","12,356.01","12,460.85","12,724.87","12,356.01","-","-0.84%"
"Apr 24, 2020","12,460.85","12,535.27","12,701.44","12,323.36","-","-0.59%"
"Apr 23, 2020","12,535.27","12,481.56","12,749.73","12,461.18","-","0.43%"
"Apr 22, 2020","12,481.56","12,550.36","12,738.73","12,481.56","-","-0.55%"
"Apr 21, 2020","12,550.36","12,821.66","12,826.56","12,550.36","-","-2.12%"
"Apr 20, 2020","12,821.66","12,597.69","12,857.87","12,591.15","-","1.78%"
"Apr 17, 2020","12,597.69","12,450.69","12,910.67","12,450.69","-","1.18%"
"Apr 16, 2020","12,450.69","12,838.98","13,025.50","12,450.69","-","-3.02%"
"Apr 15, 2020","12,838.98","13,219.50","13,260.42","12,785.31","-","-2.88%"
"Apr 14, 2020","13,219.50","13,142.91","13,445.46","13,098.70","-","0.58%"
"Apr 09, 2020","13,142.91","13,139.89","13,522.22","13,108.63","-","0.02%"
"Apr 08, 2020","13,139.89","12,829.84","13,318.79","12,829.84","-","2.42%"
"Apr 07, 2020","12,829.84","13,021.55","13,487.94","12,829.84","-","-1.47%"
"Apr 06, 2020","13,021.55","12,776.99","13,311.34","12,776.99","-","1.91%"
"Apr 03, 2020","12,776.99","13,210.98","13,210.98","12,776.99","-","-3.29%"
"Apr 02, 2020","13,210.98","12,572.26","13,210.98","12,572.26","-","5.08%"
"Apr 01, 2020","12,572.26","12,622.33","12,954.90","12,553.81","-","-0.40%"
"Mar 31, 2020","12,622.33","12,650.10","13,089.23","12,437.91","-","-0.22%"
"Mar 30, 2020","12,650.10","13,101.63","13,358.03","12,538.38","-","-3.45%"
"Mar 27, 2020","13,101.63","12,811.33","13,199.93","12,649.57","-","2.27%"
"Mar 26, 2020","12,811.33","12,597.66","13,054.38","12,417.15","-","1.70%"
"Mar 25, 2020","12,597.66","12,335.93","13,106.22","12,335.93","-","2.12%"
"Mar 24, 2020","12,335.93","11,948.59","12,514.15","11,948.59","-","3.24%"
"Mar 23, 2020","11,948.59","11,406.14","11,948.59","11,378.94","-","4.76%"
"Mar 20, 2020","11,406.14","10,730.86","11,406.14","10,730.86","-","6.29%"
"Mar 19, 2020","10,730.86","10,909.78","11,122.37","10,710.89","-","-1.64%"
"Mar 18, 2020","10,909.78","10,446.39","10,909.78","10,387.65","-","4.44%"
"Mar 17, 2020","10,446.39","10,381.01","10,727.74","10,381.01","-","0.63%"
"Mar 16, 2020","10,381.01","11,008.36","11,008.36","10,261.70","-","-5.70%"
"Mar 13, 2020","11,008.36","10,657.94","11,759.85","10,657.94","-","3.29%"
"Mar 12, 2020","10,657.94","11,641.54","11,641.54","10,601.93","-","-8.45%"
"Mar 11, 2020","11,641.54","11,566.91","11,954.10","11,378.42","-","0.65%"
"Mar 10, 2020","11,566.91","11,751.38","12,328.26","11,471.93","-","-1.57%"
"Mar 09, 2020","11,751.38","12,344.27","12,344.27","10,985.80","-","-4.80%"
"Mar 06, 2020","12,344.27","12,415.78","12,490.73","11,972.98","-","-0.58%"
"Mar 05, 2020","12,415.78","12,586.24","12,684.05","12,310.33","-","-1.35%"
"Mar 04, 2020","12,586.24","12,891.95","12,934.75","12,514.52","-","-2.37%"
"Mar 03, 2020","12,891.95","12,984.69","13,334.26","12,891.95","-","-0.71%"
"Mar 02, 2020","12,984.69","13,451.02","13,451.02","12,901.48","-","-3.47%"
"Feb 28, 2020","13,451.02","13,645.80","13,645.80","13,214.94","-","-1.43%"
"Feb 27, 2020","13,645.80","13,876.66","13,876.66","13,517.57","-","-1.66%"
"Feb 26, 2020","13,876.66","13,618.20","13,987.04","13,460.53","-","1.90%"
"Feb 25, 2020","13,618.20","13,747.23","14,040.78","13,502.26","-","-0.94%"
"Feb 24, 2020","13,747.23","14,635.85","14,635.85","13,582.52","-","-6.07%"
"Feb 21, 2020","14,635.85","14,645.96","14,844.01","14,600.75","-","-0.07%"
"Feb 20, 2020","14,645.96","15,018.79","15,020.77","14,601.63","-","-2.48%"
"Feb 19, 2020","15,018.79","14,975.98","15,174.68","14,973.06","-","0.29%"
"Feb 18, 2020","14,975.98","15,127.43","15,158.39","14,975.98","-","-1.00%"
"Feb 17, 2020","15,127.43","14,676.35","15,173.16","14,663.97","-","3.07%"
"Feb 14, 2020","14,676.35","14,697.97","14,840.94","14,658.42","-","-0.15%"
"Feb 13, 2020","14,697.97","14,869.51","14,995.32","14,660.82","-","-1.15%"
"Feb 12, 2020","14,869.51","14,785.64","14,926.98","14,767.06","-","0.57%"
"Feb 11, 2020","14,785.64","14,804.97","14,991.81","14,742.30","-","-0.13%"
"Feb 10, 2020","14,804.97","14,835.05","14,972.71","14,758.71","-","-0.20%"
"Feb 07, 2020","14,835.05","14,923.49","15,120.66","14,835.05","-","-0.59%"
"Feb 06, 2020","14,923.49","15,041.82","15,153.26","14,890.37","-","-0.79%"
"Feb 05, 2020","15,041.82","14,886.45","15,136.67","14,812.15","-","1.04%"
"Feb 04, 2020","14,886.45","14,566.46","15,024.64","14,566.46","-","2.20%"
"Feb 03, 2020","14,566.46","14,407.50","14,687.56","14,320.82","-","1.10%"
"Jan 31, 2020","14,407.50","14,680.73","14,709.18","14,388.31","-","-1.86%"
"Jan 30, 2020","14,680.73","14,941.70","14,965.06","14,657.25","-","-1.75%"
"Jan 29, 2020","14,941.70","14,953.56","15,065.87","14,926.40","-","-0.08%"
"Jan 28, 2020","14,953.56","14,941.93","15,091.92","14,835.98","-","0.08%"
"Jan 27, 2020","14,941.93","15,275.03","15,329.35","14,941.93","-","-2.18%"
"Jan 24, 2020","15,275.03","15,242.44","15,420.70","15,242.44","-","0.21%"
"Jan 23, 2020","15,242.44","15,372.05","15,508.72","15,238.64","-","-0.84%"
"Jan 22, 2020","15,372.05","15,436.36","15,595.40","15,326.31","-","-0.42%"
"Jan 21, 2020","15,436.36","15,319.13","15,520.23","15,160.20","-","0.77%"
"Jan 20, 2020","15,319.13","15,284.38","15,594.11","15,233.86","-","0.23%"
"Jan 17, 2020","15,284.38","15,241.91","15,371.52","15,182.81","-","0.28%"
"Jan 16, 2020","15,241.91","15,292.96","15,344.36","15,181.81","-","-0.33%"
"Jan 15, 2020","15,292.96","15,302.71","15,460.71","15,209.32","-","-0.06%"
"Jan 14, 2020","15,302.71","15,331.92","15,414.16","15,246.00","-","-0.19%"
"Jan 13, 2020","15,331.92","15,211.13","15,399.73","15,198.75","-","0.79%"
"Jan 10, 2020","15,211.13","15,412.87","15,450.02","15,211.13","-","-1.31%"
"Jan 09, 2020","15,412.87","15,093.38","15,412.87","15,093.38","-","2.12%"
"Jan 08, 2020","15,093.38","15,306.33","15,311.24","15,068.62","-","-1.39%"
"Jan 07, 2020","15,306.33","14,994.96","15,308.73","14,964.01","-","2.08%"
"Jan 06, 2020","14,994.96","15,192.79","15,338.05","14,939.54","-","-1.30%"
"Jan 03, 2020","15,192.79","15,356.45","15,423.03","15,165.98","-","-1.07%"
"Jan 02, 2020","15,356.45","15,316.15","15,563.56","15,202.08","-","0.26%"
"Dec 30, 2019","15,316.15","15,464.91","15,544.06","15,293.02","-","-0.96%"
"Dec 27, 2019","15,464.91","15,536.74","15,599.94","15,372.39","-","-0.46%"
"Dec 23, 2019","15,536.74","15,642.23","15,836.61","15,494.81","-","-0.67%"
"Dec 20, 2019","15,642.23","15,665.07","15,789.76","15,557.71","-","-0.15%"
"Dec 19, 2019","15,665.07","15,677.50","15,801.74","15,441.30","-","-0.08%"
"Dec 18, 2019","15,677.50","15,901.32","15,981.81","15,650.35","-","-1.41%"
"Dec 17, 2019","15,901.32","15,558.24","15,901.32","15,558.24","-","2.21%"
"Dec 16, 2019","15,558.24","15,458.54","15,772.24","15,455.15","-","0.64%"
"Dec 13, 2019","15,458.54","15,583.53","15,941.39","15,395.63","-","-0.80%"
"Dec 12, 2019","15,583.53","15,724.12","15,834.39","15,581.14","-","-0.89%"
"Dec 11, 2019","15,724.12","15,851.67","15,887.19","15,657.41","-","-0.80%"
"Dec 10, 2019","15,851.67","15,913.48","16,118.48","15,799.75","-","-0.39%"
"Dec 09, 2019","15,913.48","15,831.01","16,136.94","15,714.77","-","0.52%"
"Dec 06, 2019","15,831.01","16,094.31","16,130.18","15,715.42","-","-1.64%"
"Dec 05, 2019","16,094.31","15,880.83","16,182.22","15,669.57","-","1.34%"
"Dec 04, 2019","15,880.83","15,911.72","16,007.22","15,564.08","-","-0.19%"
"Dec 03, 2019","15,911.72","16,003.12","16,030.81","15,873.17","-","-0.57%"
"Dec 02, 2019","16,003.12","15,972.22","16,254.63","15,757.75","-","0.19%"
"Nov 29, 2019","15,972.22","15,895.11","16,179.51","15,781.46","-","0.49%"
"Nov 28, 2019","15,895.11","15,705.64","16,002.24","15,551.27","-","1.21%"
"Nov 27, 2019","15,705.64","15,208.95","16,011.93","14,974.50","-","3.27%"
"Nov 26, 2019","15,208.95","14,795.77","15,229.92","14,732.99","-","2.79%"
"Nov 25, 2019","14,795.77","14,637.20","14,830.00","14,637.20","-","1.08%"
"Nov 22, 2019","14,637.20","14,429.95","14,742.04","14,370.39","-","1.44%"
"Nov 21, 2019","14,429.95","14,647.76","14,688.18","14,407.58","-","-1.49%"
"Nov 20, 2019","14,647.76","14,715.12","14,733.69","14,577.79","-","-0.46%"
"Nov 19, 2019","14,715.12","14,755.12","14,955.75","14,696.54","-","-0.27%"
"Nov 18, 2019","14,755.12","14,998.75","15,180.28","14,755.12","-","-1.62%"
"Nov 15, 2019","14,998.75","15,654.06","15,654.06","14,905.88","-","-4.19%"
"Nov 14, 2019","15,654.06","15,761.12","15,829.63","15,557.16","-","-0.68%"
"Nov 13, 2019","15,761.12","15,819.01","15,851.25","15,683.09","-","-0.37%"
"Nov 12, 2019","15,819.01","15,821.63","15,890.50","15,688.35","-","-0.02%"
"Nov 11, 2019","15,821.63","15,744.71","15,821.63","15,647.17","-","0.49%"
"Nov 08, 2019","15,744.71","15,677.78","15,867.25","15,522.00","-","0.43%"
"Nov 07, 2019","15,677.78","15,802.36","15,906.79","15,646.82","-","-0.79%"
"Nov 06, 2019","15,802.36","16,049.66","16,238.37","15,757.38","-","-1.54%"
"Nov 05, 2019","16,049.66","15,816.72","16,049.66","15,816.72","-","1.47%"
"Nov 04, 2019","15,816.72","15,665.62","15,969.46","15,665.62","-","0.96%"
"Nov 01, 2019","15,665.62","15,788.81","15,813.57","15,665.62","-","-0.78%"
"Oct 31, 2019","15,788.81","15,762.76","15,925.59","15,683.96","-","0.17%"
"Oct 30, 2019","15,762.76","15,753.41","15,806.50","15,618.36","-","0.06%"
"Oct 29, 2019","15,753.41","15,805.57","15,842.60","15,655.00","-","-0.33%"
"Oct 28, 2019","15,805.57","15,736.65","15,863.16","15,669.25","-","0.44%"
"Oct 25, 2019","15,736.65","15,938.34","16,039.73","15,736.65","-","-1.27%"
"Oct 24, 2019","15,938.34","16,140.09","16,229.27","15,938.34","-","-1.25%"
"Oct 23, 2019","16,140.09","16,245.81","16,288.27","16,090.21","-","-0.65%"
"Oct 22, 2019","16,245.81","15,975.55","16,317.42","15,901.60","-","1.69%"
"Oct 21, 2019","15,975.55","16,028.58","16,331.97","15,975.55","-","-0.33%"
"Oct 18, 2019","16,028.58","16,067.83","16,122.27","15,927.48","-","-0.24%"
"Oct 17, 2019","16,067.83","16,035.47","16,138.21","15,867.20","-","0.20%"
"Oct 16, 2019","16,035.47","15,795.82","16,075.77","15,795.82","-","1.52%"
"Oct 15, 2019","15,795.82","15,893.18","16,165.48","15,795.82","-","-0.61%"
"Oct 14, 2019","15,893.18","16,014.37","16,061.04","15,790.73","-","-0.76%"
"Oct 11, 2019","16,014.37","15,877.93","16,014.37","15,726.07","-","0.86%"
"Oct 10, 2019","15,877.93","15,891.01","15,907.60","15,761.06","-","-0.08%"
"Oct 09, 2019","15,891.01","15,889.73","15,946.74","15,766.19","-","0.01%"
"Oct 08, 2019","15,889.73","15,854.39","15,908.30","15,665.03","-","0.22%"
"Oct 07, 2019","15,854.39","15,832.43","15,941.48","15,689.86","-","0.14%"
"Oct 04, 2019","15,832.43","16,019.74","16,019.74","15,801.48","-","-1.17%"
"Oct 03, 2019","16,019.74","15,761.18","16,019.74","15,736.41","-","1.64%"
"Oct 02, 2019","15,761.18","16,016.95","16,106.54","15,760.19","-","-1.60%"
"Oct 01, 2019","16,016.95","16,039.50","16,347.12","15,961.23","-","-0.14%"
"Sep 30, 2019","16,039.50","16,013.21","16,087.04","15,896.98","-","0.16%"
"Sep 27, 2019","16,013.21","15,878.64","16,021.79","15,756.16","-","0.85%"
"Sep 26, 2019","15,878.64","15,874.02","15,981.03","15,874.02","-","0.03%"
"Sep 25, 2019","15,874.02","15,803.58","15,874.02","15,634.14","-","0.45%"
"Sep 24, 2019","15,803.58","15,867.13","16,099.83","15,788.80","-","-0.40%"
"Sep 23, 2019","15,867.13","16,050.30","16,050.30","15,846.16","-","-1.14%"
"Sep 20, 2019","16,050.30","16,393.38","16,507.75","16,050.30","-","-2.09%"
"Sep 19, 2019","16,393.38","16,344.49","16,491.69","16,092.76","-","0.30%"
"Sep 18, 2019","16,344.49","15,856.03","16,344.49","15,698.63","-","3.08%"
"Sep 17, 2019","15,856.03","15,863.63","16,049.95","15,608.21","-","-0.05%"
"Sep 16, 2019","15,863.63","16,091.24","16,101.06","15,660.07","-","-1.41%"
"Sep 13, 2019","16,091.24","15,835.94","16,170.15","15,835.94","-","1.61%"
"Sep 12, 2019","15,835.94","15,992.59","16,163.07","15,797.27","-","-0.98%"
"Sep 11, 2019","15,992.59","15,999.54","16,148.13","15,912.39","-","-0.04%"
"Sep 10, 2019","15,999.54","15,681.97","16,016.24","15,601.78","-","2.03%"
"Sep 09, 2019","15,681.97","15,485.02","15,681.97","15,369.84","-","1.27%"
