"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","8,484.96","8,750.94","8,846.21","8,435.80","-","-3.04%"
"Apr 29, 2020","8,750.94","8,546.31","8,750.94","8,504.43","-","2.39%"
"Apr 28, 2020","8,546.31","8,313.52","8,702.99","8,313.52","-","2.80%"
"Apr 27, 2020","8,313.52","8,015.71","8,313.52","8,015.71","-","3.72%"
"Apr 24, 2020","8,015.71","8,171.12","8,188.57","7,986.65","-","-1.90%"
"Apr 23, 2020","8,171.12","7,978.29","8,264.06","7,966.69","-","2.42%"
"Apr 22, 2020","7,978.29","7,841.97","8,005.75","7,841.97","-","1.74%"
"Apr 21, 2020","7,841.97","8,158.78","8,158.78","7,841.97","-","-3.88%"
"Apr 20, 2020","8,158.78","8,129.96","8,221.14","8,007.89","-","0.35%"
"Apr 17, 2020","8,129.96","8,006.96","8,303.46","8,006.96","-","1.54%"
"Apr 16, 2020","8,006.96","8,013.75","8,281.89","7,952.36","-","-0.08%"
"Apr 15, 2020","8,013.75","8,486.16","8,486.16","8,013.75","-","-5.57%"
"Apr 14, 2020","8,486.16","8,600.37","8,705.48","8,441.18","-","-1.33%"
"Apr 09, 2020","8,600.37","8,541.78","8,764.34","8,497.26","-","0.69%"
"Apr 08, 2020","8,541.78","8,547.55","8,562.44","8,375.91","-","-0.07%"
"Apr 07, 2020","8,547.55","8,347.78","8,844.01","8,347.78","-","2.39%"
"Apr 06, 2020","8,347.78","7,882.34","8,371.32","7,882.34","-","5.90%"
"Apr 03, 2020","7,882.34","8,125.33","8,125.33","7,882.34","-","-2.99%"
"Apr 02, 2020","8,125.33","8,032.30","8,169.53","7,928.05","-","1.16%"
"Apr 01, 2020","8,032.30","8,274.68","8,274.68","7,979.35","-","-2.93%"
"Mar 31, 2020","8,274.68","8,249.43","8,507.06","8,099.78","-","0.31%"
"Mar 30, 2020","8,249.43","8,548.61","8,548.61","8,058.14","-","-3.50%"
"Mar 27, 2020","8,548.61","8,897.74","8,897.74","8,436.10","-","-3.92%"
"Mar 26, 2020","8,897.74","8,739.15","8,916.24","8,531.23","-","1.81%"
"Mar 25, 2020","8,739.15","8,565.22","9,212.75","8,379.96","-","2.03%"
"Mar 24, 2020","8,565.22","7,793.28","8,565.22","7,793.28","-","9.91%"
"Mar 23, 2020","7,793.28","7,885.94","7,891.09","7,572.01","-","-1.18%"
"Mar 20, 2020","7,885.94","7,682.64","8,090.48","7,682.64","-","2.65%"
"Mar 19, 2020","7,682.64","7,490.39","7,889.81","7,462.34","-","2.57%"
"Mar 18, 2020","7,490.39","7,703.97","7,703.97","7,334.75","-","-2.77%"
"Mar 17, 2020","7,703.97","7,655.46","8,044.76","7,424.41","-","0.63%"
"Mar 16, 2020","7,655.46","8,390.13","8,390.13","7,268.29","-","-8.76%"
"Mar 13, 2020","8,390.13","7,850.67","9,238.17","7,850.67","-","6.87%"
"Mar 12, 2020","7,850.67","9,335.89","9,335.89","7,850.67","-","-15.91%"
"Mar 11, 2020","9,335.89","9,138.91","9,537.18","9,087.95","-","2.16%"
"Mar 10, 2020","9,138.91","9,486.75","9,857.75","9,075.94","-","-3.67%"
"Mar 09, 2020","9,486.75","10,680.79","10,680.79","9,363.18","-","-11.18%"
"Mar 06, 2020","10,680.79","10,959.59","10,959.59","10,545.37","-","-2.54%"
"Mar 05, 2020","10,959.59","11,274.73","11,355.85","10,854.27","-","-2.80%"
"Mar 04, 2020","11,274.73","11,378.08","11,577.31","11,200.77","-","-0.91%"
"Mar 03, 2020","11,378.08","11,509.29","11,867.26","11,341.68","-","-1.14%"
"Mar 02, 2020","11,509.29","11,898.95","12,069.62","11,252.80","-","-3.27%"
"Feb 28, 2020","11,898.95","12,353.56","12,353.56","11,724.21","-","-3.68%"
"Feb 27, 2020","12,353.56","12,800.15","12,800.15","12,190.17","-","-3.49%"
"Feb 26, 2020","12,800.15","12,649.43","12,910.00","12,446.29","-","1.19%"
"Feb 25, 2020","12,649.43","12,831.50","12,922.55","12,586.03","-","-1.42%"
"Feb 24, 2020","12,831.50","13,596.69","13,596.69","12,717.73","-","-5.63%"
"Feb 21, 2020","13,596.69","13,874.05","13,874.05","13,508.35","-","-2.00%"
"Feb 20, 2020","13,874.05","14,149.53","14,160.55","13,874.05","-","-1.95%"
"Feb 19, 2020","14,149.53","14,041.33","14,149.53","14,041.33","-","0.77%"
"Feb 18, 2020","14,041.33","13,884.33","14,246.20","13,877.78","-","1.13%"
"Feb 17, 2020","13,884.33","13,695.00","13,884.33","13,695.00","-","1.38%"
"Feb 14, 2020","13,695.00","13,708.74","13,759.74","13,668.97","-","-0.10%"
"Feb 13, 2020","13,708.74","13,707.20","13,724.89","13,499.64","-","0.01%"
"Feb 12, 2020","13,707.20","13,605.50","13,808.47","13,605.50","-","0.75%"
"Feb 11, 2020","13,605.50","13,517.57","13,659.78","13,517.57","-","0.65%"
"Feb 10, 2020","13,517.57","13,478.72","13,605.60","13,453.82","-","0.29%"
"Feb 07, 2020","13,478.72","13,420.09","13,483.93","13,352.92","-","0.44%"
"Feb 06, 2020","13,420.09","13,104.38","13,483.77","13,104.38","-","2.41%"
"Feb 05, 2020","13,104.38","12,834.08","13,130.84","12,819.18","-","2.11%"
"Feb 04, 2020","12,834.08","12,530.25","12,885.30","12,530.25","-","2.42%"
"Feb 03, 2020","12,530.25","12,397.66","12,561.87","12,397.66","-","1.07%"
