"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","216,677.13","222,513.05","223,545.67","214,664.50","-","-2.62%"
"Apr 29, 2020","222,513.05","220,862.06","223,238.58","218,546.67","-","0.75%"
"Apr 28, 2020","220,862.06","221,099.63","222,822.14","219,787.48","-","-0.11%"
"Apr 27, 2020","221,099.63","215,269.81","221,099.63","215,269.81","-","2.71%"
"Apr 24, 2020","215,269.81","212,605.72","216,192.56","209,281.63","-","1.25%"
"Apr 23, 2020","212,605.72","217,238.94","220,681.17","212,605.72","-","-2.13%"
"Apr 22, 2020","217,238.94","212,626.95","217,238.94","212,626.95","-","2.17%"
"Apr 21, 2020","212,626.95","216,578.05","217,405.77","211,941.36","-","-1.82%"
"Apr 20, 2020","216,578.05","205,844.59","216,578.05","205,844.59","-","5.21%"
"Apr 17, 2020","205,844.59","204,902.08","206,060.45","199,677.30","-","0.46%"
"Apr 16, 2020","204,902.08","204,668.63","210,322.50","204,668.63","-","0.11%"
"Apr 15, 2020","204,668.63","203,852.50","207,471.84","202,017.22","-","0.40%"
"Apr 14, 2020","203,852.50","198,349.64","209,701.42","198,349.64","-","2.77%"
"Apr 09, 2020","198,349.64","194,280.56","198,349.64","194,280.56","-","2.09%"
"Apr 08, 2020","194,280.56","194,312.75","198,097.59","193,385.67","-","-0.02%"
"Apr 07, 2020","194,312.75","188,703.84","196,366.50","188,703.84","-","2.97%"
"Apr 06, 2020","188,703.84","184,980.42","189,496.50","184,980.42","-","2.01%"
"Apr 03, 2020","184,980.42","189,184.88","190,336.52","184,980.42","-","-2.22%"
"Apr 02, 2020","189,184.88","188,063.36","190,307.31","184,564.08","-","0.60%"
"Apr 01, 2020","188,063.36","192,300.23","192,300.23","186,910.42","-","-2.20%"
"Mar 31, 2020","192,300.23","192,028.44","193,879.52","188,370.98","-","0.14%"
"Mar 30, 2020","192,028.44","182,798.72","192,354.63","182,133.52","-","5.05%"
"Mar 27, 2020","182,798.72","183,072.16","184,586.22","179,013.39","-","-0.15%"
"Mar 26, 2020","183,072.16","183,832.91","183,832.91","178,906.13","-","-0.41%"
"Mar 25, 2020","183,832.91","185,271.59","188,686.14","179,629.52","-","-0.78%"
"Mar 24, 2020","185,271.59","184,053.09","192,417.91","183,328.23","-","0.66%"
"Mar 23, 2020","184,053.09","179,641.45","184,613.05","174,361.27","-","2.46%"
"Mar 20, 2020","179,641.45","183,083.53","193,460.56","178,524.27","-","-1.88%"
"Mar 19, 2020","183,083.53","174,811.38","186,625.09","174,811.38","-","4.73%"
"Mar 18, 2020","174,811.38","170,750.44","176,184.84","167,228.91","-","2.38%"
"Mar 17, 2020","170,750.44","166,857.19","176,410.09","166,393.83","-","2.33%"
"Mar 16, 2020","166,857.19","172,916.22","173,841.73","158,586.00","-","-3.50%"
"Mar 13, 2020","172,916.22","153,822.34","184,255.38","153,822.34","-","12.41%"
"Mar 12, 2020","153,822.34","181,197.06","181,197.06","153,822.34","-","-15.11%"
"Mar 11, 2020","181,197.06","179,542.17","184,699.30","175,254.50","-","0.92%"
"Mar 10, 2020","179,542.17","186,888.44","196,763.55","179,542.17","-","-3.93%"
"Mar 09, 2020","186,888.44","196,542.03","196,542.03","183,282.14","-","-4.91%"
"Mar 06, 2020","196,542.03","197,670.17","197,670.17","191,995.78","-","-0.57%"
"Mar 05, 2020","197,670.17","200,149.17","201,179.59","193,241.48","-","-1.24%"
"Mar 04, 2020","200,149.17","203,092.31","206,224.20","198,842.16","-","-1.45%"
"Mar 03, 2020","203,092.31","197,746.47","206,066.16","197,746.47","-","2.70%"
"Mar 02, 2020","197,746.47","201,045.77","204,743.19","195,233.09","-","-1.64%"
"Feb 28, 2020","201,045.77","203,594.09","203,594.09","196,359.44","-","-1.25%"
"Feb 27, 2020","203,594.09","207,490.86","207,490.86","200,580.06","-","-1.88%"
"Feb 26, 2020","207,490.86","204,038.44","209,096.55","198,033.47","-","1.69%"
