"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","26,506.44","26,924.07","27,375.51","26,353.39","-","-1.55%"
"Apr 29, 2020","26,924.07","26,371.20","26,924.07","26,371.20","-","2.10%"
"Apr 28, 2020","26,371.20","26,148.79","26,729.08","26,148.79","-","0.85%"
"Apr 27, 2020","26,148.79","25,700.45","26,220.72","25,700.45","-","1.74%"
"Apr 24, 2020","25,700.45","25,796.16","26,013.50","25,355.33","-","-0.37%"
"Apr 23, 2020","25,796.16","24,871.30","25,866.29","24,871.30","-","3.72%"
"Apr 22, 2020","24,871.30","24,653.81","24,965.71","24,653.81","-","0.88%"
"Apr 21, 2020","24,653.81","25,129.78","25,129.78","24,634.34","-","-1.89%"
"Apr 20, 2020","25,129.78","24,783.93","25,129.78","24,607.29","-","1.40%"
"Apr 17, 2020","24,783.93","23,889.11","24,902.61","23,889.11","-","3.75%"
"Apr 16, 2020","23,889.11","23,940.25","24,577.91","23,861.92","-","-0.21%"
"Apr 15, 2020","23,940.25","25,617.33","25,621.28","23,940.25","-","-6.55%"
"Apr 14, 2020","25,617.33","25,289.47","25,801.30","25,289.47","-","1.30%"
"Apr 09, 2020","25,289.47","24,936.72","25,515.40","24,936.72","-","1.41%"
"Apr 08, 2020","24,936.72","24,575.14","25,092.09","24,521.41","-","1.47%"
"Apr 07, 2020","24,575.14","24,400.48","25,649.05","24,357.37","-","0.72%"
"Apr 06, 2020","24,400.48","23,567.25","24,714.13","23,567.25","-","3.54%"
"Apr 03, 2020","23,567.25","23,652.79","24,205.90","23,567.25","-","-0.36%"
"Apr 02, 2020","23,652.79","22,975.38","23,652.79","22,937.27","-","2.95%"
"Apr 01, 2020","22,975.38","22,831.39","23,140.95","22,434.58","-","0.63%"
"Mar 31, 2020","22,831.39","22,456.64","23,253.81","22,382.46","-","1.67%"
"Mar 30, 2020","22,456.64","22,954.30","23,217.62","22,271.73","-","-2.17%"
"Mar 27, 2020","22,954.30","23,607.65","23,607.65","22,671.37","-","-2.77%"
"Mar 26, 2020","23,607.65","22,882.34","23,607.65","22,616.88","-","3.17%"
"Mar 25, 2020","22,882.34","22,636.82","23,702.57","22,290.24","-","1.08%"
"Mar 24, 2020","22,636.82","21,146.44","22,648.65","21,146.44","-","7.05%"
"Mar 23, 2020","21,146.44","21,890.91","21,890.91","20,785.85","-","-3.40%"
"Mar 20, 2020","21,890.91","21,062.49","21,923.99","21,062.49","-","3.93%"
"Mar 19, 2020","21,062.49","20,610.94","21,646.87","20,313.52","-","2.19%"
"Mar 18, 2020","20,610.94","21,801.48","21,801.48","20,610.94","-","-5.46%"
"Mar 17, 2020","21,801.48","21,726.70","22,840.98","21,306.63","-","0.34%"
"Mar 16, 2020","21,726.70","22,999.54","22,999.54","20,028.10","-","-5.53%"
"Mar 13, 2020","22,999.54","21,621.43","25,010.22","21,621.43","-","6.37%"
"Mar 12, 2020","21,621.43","25,957.25","25,957.25","21,621.43","-","-16.70%"
"Mar 11, 2020","25,957.25","26,039.88","26,566.87","25,547.22","-","-0.32%"
"Mar 10, 2020","26,039.88","27,136.42","27,728.86","25,965.97","-","-4.04%"
"Mar 09, 2020","27,136.42","30,202.66","30,202.66","26,905.26","-","-10.15%"
"Mar 06, 2020","30,202.66","31,278.73","31,278.73","29,598.34","-","-3.44%"
"Mar 05, 2020","31,278.73","31,851.11","32,103.15","31,058.92","-","-1.80%"
"Mar 04, 2020","31,851.11","32,168.35","32,494.50","31,673.98","-","-0.99%"
"Mar 03, 2020","32,168.35","32,001.99","32,925.86","32,001.99","-","0.52%"
"Mar 02, 2020","32,001.99","32,749.77","33,360.07","31,297.17","-","-2.28%"
"Feb 28, 2020","32,749.77","33,605.65","33,605.65","32,298.21","-","-2.55%"
"Feb 27, 2020","33,605.65","34,458.40","34,458.40","33,014.49","-","-2.47%"
"Feb 26, 2020","34,458.40","34,004.22","34,529.93","33,254.83","-","1.34%"
"Feb 25, 2020","34,004.22","34,209.13","34,448.94","33,891.84","-","-0.60%"
"Feb 24, 2020","34,209.13","36,342.67","36,342.67","33,968.86","-","-5.87%"
"Feb 21, 2020","36,342.67","36,651.48","36,807.90","36,187.59","-","-0.84%"
"Feb 20, 2020","36,651.48","37,239.82","37,239.82","36,651.48","-","-1.58%"
"Feb 19, 2020","37,239.82","37,001.54","37,340.21","37,001.54","-","0.64%"
"Feb 18, 2020","37,001.54","37,237.60","37,237.60","36,744.91","-","-0.63%"
"Feb 17, 2020","37,237.60","36,709.07","37,237.60","36,709.07","-","1.44%"
"Feb 14, 2020","36,709.07","36,423.97","36,838.61","36,423.97","-","0.78%"
"Feb 13, 2020","36,423.97","36,348.19","36,423.97","35,899.89","-","0.21%"
"Feb 12, 2020","36,348.19","36,002.89","36,412.56","36,002.89","-","0.96%"
"Feb 11, 2020","36,002.89","35,667.46","36,060.59","35,667.46","-","0.94%"
"Feb 10, 2020","35,667.46","35,662.42","36,018.98","35,539.41","-","0.01%"
"Feb 07, 2020","35,662.42","35,960.89","36,124.66","35,534.57","-","-0.83%"
"Feb 06, 2020","35,960.89","36,033.48","36,280.07","35,892.50","-","-0.20%"
"Feb 05, 2020","36,033.48","35,684.77","36,221.39","35,515.42","-","0.98%"
"Feb 04, 2020","35,684.77","34,826.06","35,741.03","34,826.06","-","2.47%"
"Feb 03, 2020","34,826.06","34,528.02","34,875.19","34,429.60","-","0.86%"
"Jan 31, 2020","34,528.02","34,877.30","35,361.20","34,467.05","-","-1.00%"
"Jan 30, 2020","34,877.30","35,747.87","35,747.87","34,847.98","-","-2.44%"
"Jan 29, 2020","35,747.87","35,282.78","35,755.98","35,138.96","-","1.32%"
"Jan 28, 2020","35,282.78","34,426.66","35,358.43","34,426.66","-","2.49%"
"Jan 27, 2020","34,426.66","35,679.19","35,679.19","34,426.66","-","-3.51%"
"Jan 24, 2020","35,679.19","34,999.57","35,915.10","34,999.57","-","1.94%"
"Jan 23, 2020","34,999.57","35,224.65","35,224.65","34,900.66","-","-0.64%"
"Jan 22, 2020","35,224.65","35,268.50","35,542.93","35,193.86","-","-0.12%"
"Jan 21, 2020","35,268.50","35,842.79","35,842.79","35,151.25","-","-1.60%"
"Jan 20, 2020","35,842.79","35,672.14","35,876.84","35,602.70","-","0.48%"
"Jan 17, 2020","35,672.14","35,408.61","35,723.45","35,408.61","-","0.74%"
"Jan 16, 2020","35,408.61","35,238.44","35,505.01","35,216.38","-","0.48%"
"Jan 15, 2020","35,238.44","35,601.77","35,618.53","35,137.00","-","-1.02%"
"Jan 14, 2020","35,601.77","35,572.78","35,735.85","35,312.08","-","0.08%"
"Jan 13, 2020","35,572.78","35,743.20","35,743.20","35,442.28","-","-0.48%"
"Jan 10, 2020","35,743.20","35,879.04","35,879.04","35,687.72","-","-0.38%"
"Jan 09, 2020","35,879.04","35,622.86","35,938.06","35,622.86","-","0.72%"
"Jan 08, 2020","35,622.86","35,118.20","35,624.65","34,735.39","-","1.44%"
"Jan 07, 2020","35,118.20","34,893.95","35,363.90","34,893.95","-","0.64%"
"Jan 06, 2020","34,893.95","35,211.92","35,211.92","34,321.55","-","-0.90%"
"Jan 03, 2020","35,211.92","35,468.50","35,468.50","34,952.51","-","-0.72%"
"Jan 02, 2020","35,468.50","35,244.16","35,739.91","35,242.02","-","0.64%"
"Dec 30, 2019","35,244.16","35,644.96","35,644.96","35,244.16","-","-1.12%"
"Dec 27, 2019","35,644.96","35,641.12","35,766.82","35,544.04","-","0.01%"
"Dec 23, 2019","35,641.12","35,846.01","35,846.01","35,503.87","-","-0.57%"
"Dec 20, 2019","35,846.01","35,635.73","35,958.63","35,635.73","-","0.59%"
"Dec 19, 2019","35,635.73","35,561.16","35,648.57","35,421.07","-","0.21%"
"Dec 18, 2019","35,561.16","35,734.14","35,760.86","35,497.81","-","-0.48%"
"Dec 17, 2019","35,734.14","35,517.26","35,830.32","35,375.96","-","0.61%"
"Dec 16, 2019","35,517.26","35,086.79","35,517.26","35,086.79","-","1.23%"
"Dec 13, 2019","35,086.79","35,018.22","35,686.34","35,018.22","-","0.20%"
"Dec 12, 2019","35,018.22","34,870.61","35,155.77","34,654.63","-","0.42%"
"Dec 11, 2019","34,870.61","34,719.30","34,893.87","34,466.14","-","0.44%"
"Dec 10, 2019","34,719.30","34,345.53","34,719.30","34,156.95","-","1.09%"
"Dec 09, 2019","34,345.53","34,609.93","34,753.67","34,204.32","-","-0.76%"
"Dec 06, 2019","34,609.93","34,273.45","34,627.41","34,218.98","-","0.98%"
"Dec 05, 2019","34,273.45","34,345.91","34,525.42","34,212.09","-","-0.21%"
"Dec 04, 2019","34,345.91","33,834.28","34,437.56","33,834.28","-","1.51%"
"Dec 03, 2019","33,834.28","33,903.78","34,256.50","33,626.99","-","-0.20%"
"Dec 02, 2019","33,903.78","34,793.31","35,007.65","33,903.78","-","-2.56%"
"Nov 29, 2019","34,793.31","34,967.48","34,967.48","34,557.66","-","-0.50%"
"Nov 28, 2019","34,967.48","35,230.03","35,249.27","34,826.94","-","-0.75%"
"Nov 27, 2019","35,230.03","35,428.28","35,679.59","35,214.36","-","-0.56%"
"Nov 26, 2019","35,428.28","34,874.35","35,428.28","34,846.64","-","1.57%"
"Nov 25, 2019","34,881.75","34,663.02","34,988.61","34,663.02","-","0.63%"
"Nov 22, 2019","34,663.02","34,552.30","35,035.51","34,552.30","-","0.32%"
"Nov 21, 2019","34,552.30","34,900.51","34,900.51","34,370.24","-","-1.00%"
"Nov 20, 2019","34,900.51","35,034.25","35,034.25","34,508.73","-","-0.38%"
"Nov 19, 2019","35,034.25","35,094.84","35,368.76","34,987.25","-","-0.17%"
"Nov 18, 2019","35,094.84","35,402.96","35,490.24","34,974.73","-","-0.87%"
"Nov 15, 2019","35,402.96","35,157.54","35,402.96","35,098.39","-","0.70%"
"Nov 14, 2019","35,157.54","35,313.22","35,313.22","35,090.61","-","-0.44%"
"Nov 13, 2019","35,313.22","35,714.27","35,714.27","35,082.20","-","-1.12%"
"Nov 12, 2019","35,714.27","35,445.24","35,816.67","35,430.50","-","0.76%"
"Nov 11, 2019","35,445.24","35,558.36","35,617.03","35,334.01","-","-0.32%"
"Nov 08, 2019","35,558.36","35,531.88","35,610.77","35,310.30","-","0.07%"
"Nov 07, 2019","35,531.88","35,558.53","35,786.89","35,361.89","-","-0.07%"
"Nov 06, 2019","35,558.53","35,632.33","35,745.77","35,359.78","-","-0.21%"
"Nov 05, 2019","35,632.33","35,833.56","35,833.56","35,630.18","-","-0.56%"
"Nov 04, 2019","35,833.56","35,183.10","35,853.10","35,183.10","-","1.85%"
"Nov 01, 2019","35,183.10","34,376.77","35,197.61","34,376.77","-","2.35%"
"Oct 31, 2019","34,376.77","34,302.59","34,508.30","34,111.21","-","0.22%"
"Oct 30, 2019","34,302.59","34,508.59","34,601.15","34,136.54","-","-0.60%"
"Oct 29, 2019","34,508.59","34,659.38","34,674.53","34,445.41","-","-0.44%"
"Oct 28, 2019","34,659.38","34,381.19","34,722.08","34,298.06","-","0.81%"
"Oct 25, 2019","34,381.19","34,124.41","34,385.22","34,111.95","-","0.75%"
"Oct 24, 2019","34,124.41","34,199.68","34,373.87","34,059.66","-","-0.22%"
"Oct 23, 2019","34,199.68","34,329.74","34,397.58","34,122.89","-","-0.38%"
"Oct 22, 2019","34,329.74","34,421.60","34,489.09","34,220.72","-","-0.27%"
"Oct 21, 2019","34,421.60","34,230.59","34,421.60","34,074.17","-","0.56%"
"Oct 18, 2019","34,230.59","34,452.69","34,509.64","34,172.02","-","-0.64%"
"Oct 17, 2019","34,452.69","34,405.30","34,714.99","34,245.88","-","0.14%"
"Oct 16, 2019","34,405.30","34,338.16","34,506.38","34,231.61","-","0.20%"
"Oct 15, 2019","34,338.16","34,108.16","34,414.65","34,006.47","-","0.67%"
"Oct 14, 2019","34,108.16","34,272.16","34,272.16","33,909.85","-","-0.48%"
"Oct 11, 2019","34,272.16","33,336.92","34,272.16","33,336.92","-","2.81%"
