"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","27,099.81","27,182.27","27,760.34","26,573.39","-","-0.30%"
"Apr 29, 2020","27,182.27","26,892.69","27,266.40","26,431.80","-","1.08%"
"Apr 28, 2020","26,892.69","27,374.64","27,651.21","26,760.57","-","-1.76%"
"Apr 27, 2020","27,374.64","26,451.65","27,637.75","26,451.65","-","3.49%"
"Apr 24, 2020","26,451.65","27,330.12","27,422.51","26,451.65","-","-3.21%"
"Apr 23, 2020","27,330.12","26,597.52","27,736.07","26,597.52","-","2.75%"
"Apr 22, 2020","26,597.52","26,159.94","26,943.75","26,159.94","-","1.67%"
"Apr 21, 2020","26,159.94","26,658.30","26,988.58","25,929.33","-","-1.87%"
"Apr 20, 2020","26,658.30","25,231.91","26,658.30","25,231.91","-","5.65%"
"Apr 17, 2020","25,231.91","24,752.71","25,849.97","24,752.71","-","1.94%"
"Apr 16, 2020","24,752.71","24,894.14","25,771.15","24,444.32","-","-0.57%"
"Apr 15, 2020","24,894.14","26,169.63","26,294.31","24,732.46","-","-4.87%"
"Apr 14, 2020","26,169.63","25,766.65","26,610.37","25,766.65","-","1.56%"
"Apr 09, 2020","25,766.65","25,893.77","27,000.72","25,676.99","-","-0.49%"
"Apr 08, 2020","25,893.77","24,893.65","25,901.62","24,893.65","-","4.02%"
"Apr 07, 2020","24,893.65","24,083.30","25,698.08","24,083.30","-","3.36%"
"Apr 06, 2020","24,083.30","23,929.34","24,629.00","23,929.34","-","0.64%"
"Apr 03, 2020","23,929.34","24,287.78","24,588.30","23,849.85","-","-1.48%"
"Apr 02, 2020","24,287.78","24,030.71","25,288.58","24,030.71","-","1.07%"
"Apr 01, 2020","24,030.71","24,433.85","25,062.73","23,960.39","-","-1.65%"
"Mar 31, 2020","24,433.85","23,624.60","24,530.23","23,624.60","-","3.43%"
"Mar 30, 2020","23,624.60","23,543.51","23,923.94","23,099.24","-","0.34%"
"Mar 27, 2020","23,543.51","24,223.36","24,761.17","23,236.32","-","-2.81%"
"Mar 26, 2020","24,223.36","23,308.20","24,431.05","23,308.20","-","3.93%"
"Mar 25, 2020","23,308.20","23,009.89","24,990.24","23,009.89","-","1.30%"
"Mar 24, 2020","23,009.89","22,230.41","23,461.62","22,230.41","-","3.51%"
"Mar 23, 2020","22,230.41","22,419.33","23,073.74","21,951.36","-","-0.84%"
"Mar 20, 2020","22,419.33","22,154.95","24,028.67","22,154.95","-","1.19%"
"Mar 19, 2020","22,154.95","20,489.46","22,246.66","20,489.46","-","8.13%"
"Mar 18, 2020","20,489.46","19,833.97","20,489.46","19,166.16","-","3.30%"
