"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","11,391.04","11,625.59","11,795.12","11,346.45","-","-2.02%"
"Apr 29, 2020","11,625.59","11,356.60","11,638.97","11,356.60","-","2.37%"
"Apr 28, 2020","11,356.60","10,990.12","11,420.79","10,949.60","-","3.33%"
"Apr 27, 2020","10,990.12","10,768.41","10,990.12","10,751.65","-","2.06%"
"Apr 24, 2020","10,768.41","10,930.67","11,048.64","10,650.19","-","-1.48%"
"Apr 23, 2020","10,930.67","10,862.33","11,116.75","10,856.23","-","0.63%"
"Apr 22, 2020","10,862.33","10,436.69","10,904.05","10,426.46","-","4.08%"
"Apr 21, 2020","10,436.69","10,942.53","10,942.53","10,435.19","-","-4.62%"
"Apr 20, 2020","10,942.53","11,045.78","11,045.78","10,687.36","-","-0.93%"
"Apr 17, 2020","11,045.78","10,903.40","11,179.15","10,903.40","-","1.31%"
"Apr 16, 2020","10,903.40","11,011.66","11,242.45","10,868.69","-","-0.98%"
"Apr 15, 2020","11,011.66","11,668.85","11,668.85","11,011.66","-","-5.63%"
"Apr 14, 2020","11,668.85","11,807.05","12,045.00","11,558.95","-","-1.17%"
"Apr 09, 2020","11,807.05","11,705.26","11,949.67","11,705.26","-","0.87%"
"Apr 08, 2020","11,705.26","11,911.59","11,911.59","11,606.41","-","-1.73%"
"Apr 07, 2020","11,911.59","11,822.92","12,235.34","11,777.12","-","0.75%"
"Apr 06, 2020","11,822.92","11,786.17","12,180.93","11,741.39","-","0.31%"
"Apr 03, 2020","11,786.17","12,380.03","12,380.03","11,786.17","-","-4.80%"
"Apr 02, 2020","12,380.03","11,623.53","12,637.85","11,623.53","-","6.51%"
"Apr 01, 2020","11,623.53","11,878.70","12,067.28","11,582.77","-","-2.15%"
"Mar 31, 2020","11,878.70","11,262.51","11,878.70","11,262.51","-","5.47%"
"Mar 30, 2020","11,262.51","10,777.45","11,262.51","10,519.82","-","4.50%"
"Mar 27, 2020","10,777.45","11,222.37","11,222.37","10,677.44","-","-3.96%"
"Mar 26, 2020","11,222.37","11,245.20","11,245.20","10,861.52","-","-0.20%"
"Mar 25, 2020","11,245.20","10,920.96","11,526.50","10,745.90","-","2.97%"
"Mar 24, 2020","10,920.96","9,793.26","10,920.96","9,793.26","-","11.52%"
"Mar 23, 2020","9,793.26","9,860.46","9,871.58","9,434.73","-","-0.68%"
"Mar 20, 2020","9,860.46","9,855.61","10,089.97","9,700.40","-","0.05%"
"Mar 19, 2020","9,855.61","9,436.77","9,978.44","9,436.77","-","4.44%"
"Mar 18, 2020","9,436.77","9,423.83","9,679.78","9,254.03","-","0.14%"
"Mar 17, 2020","9,423.83","8,928.04","9,620.95","8,818.29","-","5.55%"
"Mar 16, 2020","8,928.04","9,312.65","9,312.65","8,554.20","-","-4.13%"
"Mar 13, 2020","9,312.65","8,773.06","10,334.94","8,773.06","-","6.15%"
"Mar 12, 2020","8,773.06","10,684.99","10,684.99","8,773.06","-","-17.89%"
"Mar 11, 2020","10,684.99","10,740.87","11,150.44","10,633.84","-","-0.52%"
"Mar 10, 2020","10,740.87","10,846.99","11,722.76","10,615.69","-","-0.98%"
"Mar 09, 2020","10,846.99","13,126.20","13,126.20","10,846.99","-","-17.36%"
