"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","87,501.80","91,573.93","92,845.67","87,501.80","-","-4.45%"
"Apr 29, 2020","91,573.93","89,532.48","91,573.93","89,104.75","-","2.28%"
"Apr 28, 2020","89,532.48","88,265.43","91,985.73","88,265.43","-","1.44%"
"Apr 27, 2020","88,265.43","84,002.42","88,265.43","84,002.42","-","5.07%"
"Apr 24, 2020","84,002.42","83,193.49","86,230.77","81,198.14","-","0.97%"
"Apr 23, 2020","83,193.49","79,878.98","83,570.10","79,878.98","-","4.15%"
"Apr 22, 2020","79,878.98","74,634.70","80,444.19","74,634.70","-","7.03%"
"Apr 21, 2020","74,634.70","79,060.80","79,060.80","74,634.70","-","-5.60%"
"Apr 20, 2020","79,060.80","79,779.98","80,402.10","76,967.13","-","-0.90%"
"Apr 17, 2020","79,779.98","77,109.52","80,868.01","77,109.52","-","3.46%"
"Apr 16, 2020","77,109.52","76,256.53","79,327.20","76,256.53","-","1.12%"
"Apr 15, 2020","76,256.53","81,901.77","81,901.77","76,110.03","-","-6.89%"
"Apr 14, 2020","81,901.77","81,907.94","82,816.04","80,573.57","-","-0.01%"
"Apr 09, 2020","81,907.94","78,642.07","82,755.01","78,642.07","-","4.15%"
"Apr 08, 2020","78,642.07","76,515.41","78,642.07","75,406.44","-","2.78%"
"Apr 07, 2020","76,515.41","72,874.35","78,097.72","72,874.35","-","5.00%"
"Apr 06, 2020","72,874.35","67,502.93","72,874.35","67,502.93","-","7.96%"
"Apr 03, 2020","67,502.93","69,464.96","70,235.50","67,502.93","-","-2.82%"
"Apr 02, 2020","69,464.96","71,055.22","71,752.75","69,027.82","-","-2.24%"
"Apr 01, 2020","71,055.22","73,486.90","73,486.90","70,258.49","-","-3.31%"
"Mar 31, 2020","73,486.90","71,413.94","73,615.74","71,046.68","-","2.90%"
"Mar 30, 2020","71,413.94","68,350.67","71,945.29","67,428.38","-","4.48%"
"Mar 27, 2020","68,350.67","71,135.07","71,751.91","68,225.53","-","-3.91%"
"Mar 26, 2020","71,135.07","71,761.39","71,761.39","68,893.59","-","-0.87%"
"Mar 25, 2020","71,761.39","67,938.80","72,829.22","67,938.80","-","5.63%"
"Mar 24, 2020","67,938.80","60,073.31","67,938.80","60,073.31","-","13.09%"
"Mar 23, 2020","60,073.31","59,358.52","61,480.50","55,612.38","-","1.20%"
"Mar 20, 2020","59,358.52","56,499.88","63,978.59","56,499.88","-","5.06%"
"Mar 19, 2020","56,499.88","52,643.06","56,499.88","52,033.53","-","7.33%"
"Mar 18, 2020","52,643.06","60,312.43","60,312.43","52,643.06","-","-12.72%"
"Mar 17, 2020","60,312.43","61,511.39","64,922.13","58,971.12","-","-1.95%"
"Mar 16, 2020","61,511.39","67,163.55","67,163.55","55,179.66","-","-8.42%"
"Mar 13, 2020","67,163.55","64,327.80","73,430.23","64,327.80","-","4.41%"
"Mar 12, 2020","64,327.80","76,129.37","76,129.37","64,327.80","-","-15.50%"
"Mar 11, 2020","76,129.37","77,589.78","79,125.72","75,560.34","-","-1.88%"
"Mar 10, 2020","77,589.78","77,326.29","82,956.18","77,326.29","-","0.34%"
"Mar 09, 2020","77,326.29","85,690.45","85,690.45","76,449.75","-","-9.76%"
"Mar 06, 2020","85,690.45","89,891.15","89,891.15","84,910.38","-","-4.67%"
"Mar 05, 2020","89,891.15","91,007.23","92,595.03","88,609.15","-","-1.23%"
"Mar 04, 2020","91,007.23","92,154.98","93,056.45","90,180.97","-","-1.25%"
"Mar 03, 2020","92,154.98","89,687.67","94,263.02","89,687.67","-","2.75%"
"Mar 02, 2020","89,687.67","90,348.51","92,939.60","86,078.11","-","-0.73%"
"Feb 28, 2020","90,348.51","92,017.46","92,017.46","87,211.91","-","-1.81%"
"Feb 27, 2020","92,017.46","98,230.75","98,230.75","90,073.28","-","-6.33%"
"Feb 26, 2020","98,230.75","96,252.29","98,797.06","92,066.61","-","2.06%"
"Feb 25, 2020","96,252.29","96,794.77","98,608.52","95,311.79","-","-0.56%"
"Feb 24, 2020","96,794.77","104,178.24","104,178.24","94,938.32","-","-7.09%"
"Feb 21, 2020","104,178.24","105,651.01","107,533.26","103,463.21","-","-1.39%"
"Feb 20, 2020","105,651.01","107,225.59","108,056.52","105,651.01","-","-1.47%"
"Feb 19, 2020","107,225.59","102,825.84","107,225.59","102,825.84","-","4.28%"
"Feb 18, 2020","102,825.84","103,927.33","103,927.33","99,899.83","-","-1.06%"
"Feb 17, 2020","103,927.33","106,454.74","107,329.65","103,271.09","-","-2.37%"
"Feb 14, 2020","106,454.74","107,873.26","108,223.85","105,477.13","-","-1.31%"
"Feb 13, 2020","107,873.26","105,410.59","107,911.65","104,702.26","-","2.34%"
"Feb 12, 2020","105,410.59","104,204.55","105,537.68","103,761.31","-","1.16%"
"Feb 11, 2020","104,204.55","101,797.43","104,340.19","101,797.43","-","2.36%"
"Feb 10, 2020","101,797.43","100,743.97","101,797.43","99,455.63","-","1.05%"
"Feb 07, 2020","100,743.97","100,782.90","100,782.90","98,955.41","-","-0.04%"
"Feb 06, 2020","100,782.90","101,193.32","102,685.35","100,023.92","-","-0.41%"
"Feb 05, 2020","101,193.32","98,805.67","101,960.23","98,440.73","-","2.42%"
"Feb 04, 2020","98,805.67","95,471.12","98,805.67","95,471.12","-","3.49%"
"Feb 03, 2020","95,471.12","93,797.89","95,654.38","93,122.54","-","1.78%"
"Jan 31, 2020","93,797.89","97,925.98","98,490.32","93,702.89","-","-4.22%"
"Jan 30, 2020","97,925.98","99,722.98","99,722.98","97,039.00","-","-1.80%"
"Jan 29, 2020","99,722.98","100,044.71","101,860.56","99,722.98","-","-0.32%"
"Jan 28, 2020","100,044.71","97,047.57","100,044.71","96,724.10","-","3.09%"
"Jan 27, 2020","97,047.57","102,648.70","102,648.70","96,979.15","-","-5.46%"
"Jan 24, 2020","102,648.70","100,215.41","103,085.64","100,215.41","-","2.43%"
"Jan 23, 2020","100,215.41","94,916.71","101,944.49","94,916.71","-","5.58%"
"Jan 22, 2020","94,916.71","94,029.94","94,953.10","94,017.27","-","0.94%"
"Jan 21, 2020","94,029.94","94,840.72","94,840.72","92,987.26","-","-0.85%"
"Jan 20, 2020","94,840.72","93,880.58","95,080.03","93,805.20","-","1.02%"
"Jan 17, 2020","93,880.58","92,381.69","93,880.58","92,381.69","-","1.62%"
"Jan 16, 2020","92,381.69","91,776.41","93,204.59","91,776.41","-","0.66%"
"Jan 15, 2020","91,776.41","93,393.94","93,698.55","91,279.99","-","-1.73%"
"Jan 14, 2020","93,393.94","93,034.34","93,857.73","92,546.31","-","0.39%"
"Jan 13, 2020","93,034.34","92,371.25","93,958.04","92,371.25","-","0.72%"
"Jan 10, 2020","92,371.25","93,843.51","94,231.22","92,371.25","-","-1.57%"
"Jan 09, 2020","93,843.51","91,670.05","94,614.77","91,670.05","-","2.37%"
"Jan 08, 2020","91,670.05","91,747.59","91,802.13","89,951.96","-","-0.08%"
"Jan 07, 2020","91,747.59","89,674.02","92,609.45","89,674.02","-","2.31%"
"Jan 06, 2020","89,674.02","91,580.05","91,580.05","87,441.52","-","-2.08%"
"Jan 03, 2020","91,580.05","92,253.14","92,253.14","90,635.44","-","-0.73%"
"Jan 02, 2020","92,253.14","89,483.40","92,839.96","89,483.40","-","3.10%"
"Dec 30, 2019","89,483.40","90,763.62","90,763.62","89,164.99","-","-1.41%"
"Dec 27, 2019","90,763.62","90,564.85","91,231.75","90,427.21","-","0.22%"
"Dec 23, 2019","90,564.85","90,822.72","90,822.72","90,248.60","-","-0.28%"
