"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","9,750.76","9,755.23","9,929.49","9,695.61","-","-0.05%"
"Apr 29, 2020","9,755.23","9,462.98","9,781.94","9,459.80","-","3.09%"
"Apr 28, 2020","9,462.98","9,431.73","9,584.67","9,393.67","-","0.33%"
"Apr 27, 2020","9,431.73","9,345.35","9,570.04","9,345.35","-","0.92%"
"Apr 24, 2020","9,345.35","9,576.76","9,576.76","9,345.35","-","-2.42%"
"Apr 23, 2020","9,576.76","9,735.59","9,825.68","9,271.24","-","-1.63%"
"Apr 22, 2020","9,735.59","9,738.87","9,920.84","9,639.16","-","-0.03%"
"Apr 21, 2020","9,738.87","10,053.02","10,053.07","9,729.35","-","-3.12%"
"Apr 20, 2020","10,053.02","10,017.90","10,181.04","9,929.30","-","0.35%"
"Apr 17, 2020","10,017.90","9,940.81","10,242.52","9,940.81","-","0.78%"
"Apr 16, 2020","9,940.81","9,839.84","10,108.63","9,816.09","-","1.03%"
"Apr 15, 2020","9,839.84","9,994.67","10,076.03","9,688.83","-","-1.55%"
"Apr 14, 2020","9,994.67","9,804.41","10,182.77","9,804.41","-","1.94%"
"Apr 09, 2020","9,804.41","9,922.14","10,052.94","9,766.47","-","-1.19%"
"Apr 08, 2020","9,922.14","10,176.50","10,205.44","9,882.74","-","-2.50%"
"Apr 07, 2020","10,176.50","10,443.86","10,683.83","10,145.10","-","-2.56%"
"Apr 06, 2020","10,443.86","10,015.83","10,443.86","10,015.83","-","4.27%"
"Apr 03, 2020","10,015.83","9,914.44","10,076.45","9,913.69","-","1.02%"
"Apr 02, 2020","9,914.44","9,784.14","9,948.91","9,669.01","-","1.33%"
"Apr 01, 2020","9,784.14","9,797.29","9,942.06","9,623.14","-","-0.13%"
"Mar 31, 2020","9,797.29","9,598.18","9,933.63","9,598.18","-","2.07%"
"Mar 30, 2020","9,598.18","9,475.12","9,618.66","9,258.80","-","1.30%"
"Mar 27, 2020","9,475.12","9,496.19","9,647.43","9,394.75","-","-0.22%"
"Mar 26, 2020","9,496.19","9,828.72","9,828.72","9,374.03","-","-3.38%"
"Mar 25, 2020","9,828.72","10,037.91","10,277.65","9,721.75","-","-2.08%"
"Mar 24, 2020","10,037.91","9,709.23","10,425.41","9,709.23","-","3.39%"
"Mar 23, 2020","9,709.23","9,552.23","9,743.64","9,182.89","-","1.64%"
"Mar 20, 2020","9,552.23","9,259.10","9,647.45","9,052.31","-","3.17%"
"Mar 19, 2020","9,259.10","8,937.48","9,680.12","8,937.48","-","3.60%"
"Mar 18, 2020","8,937.48","8,222.50","8,993.51","8,006.06","-","8.70%"
"Mar 17, 2020","8,222.50","7,634.17","8,278.43","7,634.17","-","7.71%"
"Mar 16, 2020","7,634.17","8,533.06","8,533.06","7,445.11","-","-10.53%"
"Mar 13, 2020","8,533.06","7,955.65","9,049.02","7,955.65","-","7.26%"
"Mar 12, 2020","7,955.65","9,592.42","9,592.42","7,898.54","-","-17.06%"
"Mar 11, 2020","9,592.42","9,401.56","9,831.94","9,318.04","-","2.03%"
"Mar 10, 2020","9,401.56","9,956.76","10,142.33","9,401.56","-","-5.58%"
"Mar 09, 2020","9,956.76","10,779.57","10,779.57","9,579.37","-","-7.63%"
"Mar 06, 2020","10,779.57","11,181.59","11,181.59","10,753.11","-","-3.60%"
"Mar 05, 2020","11,181.59","11,517.90","11,669.32","11,054.76","-","-2.92%"
"Mar 04, 2020","11,517.90","11,376.39","11,624.60","11,249.71","-","1.24%"
"Mar 03, 2020","11,376.39","11,396.40","11,654.11","11,301.81","-","-0.18%"
"Mar 02, 2020","11,396.40","11,612.87","11,847.40","11,193.71","-","-1.86%"
"Feb 28, 2020","11,612.87","12,233.25","12,233.25","11,556.42","-","-5.07%"
"Feb 27, 2020","12,233.25","12,367.56","12,367.56","12,101.44","-","-1.09%"
"Feb 26, 2020","12,367.56","12,099.50","12,470.56","12,027.94","-","2.22%"
"Feb 25, 2020","12,099.50","12,172.52","12,274.82","12,021.54","-","-0.60%"
"Feb 24, 2020","12,172.52","12,591.48","12,591.48","12,020.62","-","-3.33%"
"Feb 21, 2020","12,591.48","12,271.57","12,686.33","12,171.65","-","2.61%"
"Feb 20, 2020","12,271.57","12,489.72","12,491.30","12,271.57","-","-1.75%"
"Feb 19, 2020","12,489.72","12,368.10","12,553.70","12,368.10","-","0.98%"
"Feb 18, 2020","12,368.10","12,362.55","12,395.79","12,233.82","-","0.04%"
"Feb 17, 2020","12,362.55","12,263.94","12,385.52","12,220.79","-","0.80%"
"Feb 14, 2020","12,263.94","12,302.01","12,354.18","12,237.72","-","-0.31%"
"Feb 13, 2020","12,302.01","11,959.03","12,357.99","11,959.03","-","2.87%"
"Feb 12, 2020","11,959.03","11,831.08","11,968.10","11,800.34","-","1.08%"
"Feb 11, 2020","11,831.08","11,595.25","11,849.87","11,595.25","-","2.03%"
"Feb 10, 2020","11,595.25","11,648.19","11,713.46","11,567.40","-","-0.45%"
"Feb 07, 2020","11,648.19","11,749.03","11,829.93","11,596.82","-","-0.86%"
"Feb 06, 2020","11,749.03","11,569.88","11,753.23","11,569.88","-","1.55%"
"Feb 05, 2020","11,569.88","11,563.76","11,585.03","11,434.61","-","0.05%"
"Feb 04, 2020","11,563.76","11,332.59","11,579.94","11,332.59","-","2.04%"
"Feb 03, 2020","11,332.59","11,449.79","11,449.79","11,280.76","-","-1.02%"
"Jan 31, 2020","11,449.79","11,767.14","11,810.96","11,407.08","-","-2.70%"
"Jan 30, 2020","11,767.14","11,934.05","11,934.05","11,708.70","-","-1.40%"
"Jan 29, 2020","11,934.05","11,764.96","11,950.58","11,707.81","-","1.44%"
"Jan 28, 2020","11,764.96","11,474.99","11,771.90","11,470.43","-","2.53%"
"Jan 27, 2020","11,474.99","11,678.40","11,678.40","11,444.96","-","-1.74%"
"Jan 24, 2020","11,678.40","11,502.45","11,747.74","11,502.45","-","1.53%"
"Jan 23, 2020","11,502.45","11,585.11","11,698.66","11,502.45","-","-0.71%"
"Jan 22, 2020","11,585.11","11,721.57","11,789.34","11,551.43","-","-1.16%"
"Jan 21, 2020","11,721.57","11,832.38","11,832.38","11,654.25","-","-0.94%"
"Jan 20, 2020","11,832.38","11,867.51","11,898.80","11,798.51","-","-0.30%"
"Jan 17, 2020","11,867.51","11,840.49","11,940.60","11,834.14","-","0.23%"
"Jan 16, 2020","11,840.49","11,625.52","11,868.33","11,625.52","-","1.85%"
"Jan 15, 2020","11,625.52","11,708.01","11,742.26","11,601.40","-","-0.70%"
"Jan 14, 2020","11,708.01","11,656.89","11,771.18","11,550.45","-","0.44%"
"Jan 13, 2020","11,656.89","11,862.63","11,917.11","11,587.67","-","-1.73%"
"Jan 10, 2020","11,862.63","11,845.99","11,940.99","11,777.81","-","0.14%"
"Jan 09, 2020","11,845.99","11,952.39","12,080.99","11,845.99","-","-0.89%"
"Jan 08, 2020","11,952.39","12,221.07","12,221.07","11,921.67","-","-2.20%"
"Jan 07, 2020","12,221.07","12,321.21","12,369.18","12,195.97","-","-0.81%"
"Jan 06, 2020","12,321.21","12,377.25","12,377.25","12,103.79","-","-0.45%"
"Jan 03, 2020","12,377.25","12,388.60","12,388.60","12,251.50","-","-0.09%"
"Jan 02, 2020","12,388.60","12,349.70","12,514.61","12,349.70","-","0.31%"
"Dec 30, 2019","12,349.70","12,473.72","12,477.40","12,349.70","-","-0.99%"
"Dec 27, 2019","12,473.72","12,665.49","12,704.54","12,473.72","-","-1.51%"
"Dec 23, 2019","12,665.49","12,728.53","12,751.47","12,586.25","-","-0.50%"
"Dec 20, 2019","12,728.53","12,410.49","12,728.53","12,410.49","-","2.56%"
"Dec 19, 2019","12,410.49","12,412.07","12,435.94","12,346.48","-","-0.01%"
"Dec 18, 2019","12,412.07","12,371.25","12,436.67","12,333.33","-","0.33%"
"Dec 17, 2019","12,371.25","12,320.37","12,440.18","12,320.37","-","0.41%"
"Dec 16, 2019","12,320.37","12,280.83","12,376.03","12,270.03","-","0.32%"
"Dec 13, 2019","12,280.83","12,418.47","12,560.50","12,259.22","-","-1.11%"
"Dec 12, 2019","12,418.47","12,428.87","12,523.14","12,360.36","-","-0.08%"
"Dec 11, 2019","12,428.87","12,299.88","12,435.72","12,222.94","-","1.05%"
"Dec 10, 2019","12,299.88","12,291.17","12,309.93","12,194.67","-","0.07%"
"Dec 09, 2019","12,291.17","12,379.99","12,386.52","12,205.39","-","-0.72%"
"Dec 06, 2019","12,379.99","12,387.38","12,433.95","12,327.83","-","-0.06%"
"Dec 05, 2019","12,387.38","12,484.48","12,543.64","12,279.11","-","-0.78%"
"Dec 04, 2019","12,484.48","12,313.92","12,496.31","12,260.62","-","1.39%"
"Dec 03, 2019","12,313.92","12,376.54","12,494.07","12,264.82","-","-0.51%"
"Dec 02, 2019","12,376.54","12,737.03","12,773.21","12,362.09","-","-2.83%"
"Nov 29, 2019","12,737.03","12,738.98","12,852.52","12,705.56","-","-0.02%"
"Nov 28, 2019","12,738.98","12,850.40","12,867.37","12,666.38","-","-0.87%"
