"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","33,374.63","33,474.70","33,906.84","33,208.42","-","-0.30%"
"Apr 29, 2020","33,474.70","32,959.96","33,511.46","32,629.41","-","1.56%"
"Apr 28, 2020","32,959.96","32,662.25","33,377.74","32,662.25","-","0.91%"
"Apr 27, 2020","32,662.25","31,866.73","32,943.96","31,866.73","-","2.50%"
"Apr 24, 2020","31,866.73","31,769.45","32,262.12","31,204.57","-","0.31%"
"Apr 23, 2020","31,769.45","32,069.38","32,283.16","31,706.81","-","-0.94%"
"Apr 22, 2020","32,069.38","31,938.78","32,258.49","31,731.32","-","0.41%"
"Apr 21, 2020","31,938.78","32,842.13","32,842.13","31,938.78","-","-2.75%"
"Apr 20, 2020","32,842.13","32,979.19","33,224.08","32,556.27","-","-0.42%"
"Apr 17, 2020","32,979.19","33,046.86","33,659.27","32,772.18","-","-0.20%"
"Apr 16, 2020","33,046.86","32,857.78","33,602.28","32,857.78","-","0.58%"
"Apr 15, 2020","32,857.78","33,895.37","33,895.37","32,686.65","-","-3.06%"
"Apr 14, 2020","33,895.37","33,914.76","34,216.62","33,536.98","-","-0.06%"
"Apr 09, 2020","33,914.76","33,109.61","33,956.81","33,107.31","-","2.43%"
"Apr 08, 2020","33,109.61","33,534.11","33,534.11","32,885.43","-","-1.27%"
"Apr 07, 2020","33,534.11","32,657.42","34,173.29","32,657.42","-","2.68%"
"Apr 06, 2020","32,657.42","32,315.10","33,149.77","32,315.10","-","1.06%"
"Apr 03, 2020","32,315.10","32,714.28","32,714.28","32,116.30","-","-1.22%"
"Apr 02, 2020","32,714.28","32,204.41","32,714.28","31,600.95","-","1.58%"
"Apr 01, 2020","32,204.41","33,642.99","33,642.99","31,943.27","-","-4.28%"
"Mar 31, 2020","33,642.99","33,711.80","34,461.77","33,310.36","-","-0.20%"
"Mar 30, 2020","33,711.80","32,602.85","33,711.80","32,246.19","-","3.40%"
"Mar 27, 2020","32,602.85","32,942.15","32,942.15","31,908.65","-","-1.03%"
"Mar 26, 2020","32,942.15","32,908.36","32,942.15","32,147.47","-","0.10%"
"Mar 25, 2020","32,908.36","32,907.30","33,818.05","31,757.38","-","0.00%"
"Mar 24, 2020","32,907.30","31,158.47","33,341.93","31,158.47","-","5.61%"
"Mar 23, 2020","31,158.47","31,081.23","31,982.38","29,987.25","-","0.25%"
"Mar 20, 2020","31,081.23","31,113.30","33,183.77","31,081.23","-","-0.10%"
"Mar 19, 2020","31,113.30","31,112.27","32,538.74","30,677.61","-","0.00%"
"Mar 18, 2020","31,112.27","30,350.60","31,427.38","29,295.27","-","2.51%"
"Mar 17, 2020","30,350.60","29,100.85","30,850.54","28,315.62","-","4.29%"
"Mar 16, 2020","29,100.85","29,917.33","29,917.33","27,471.10","-","-2.73%"
"Mar 13, 2020","29,917.33","27,836.48","33,164.52","27,836.48","-","7.48%"
"Mar 12, 2020","27,836.48","34,279.35","34,279.35","27,836.48","-","-18.80%"
"Mar 11, 2020","34,279.35","34,950.16","35,840.30","33,964.30","-","-1.92%"
"Mar 10, 2020","34,950.16","36,995.75","37,728.10","34,922.69","-","-5.53%"
"Mar 09, 2020","36,995.75","40,902.38","40,902.38","36,879.25","-","-9.55%"
"Mar 06, 2020","40,902.38","42,413.59","42,413.59","40,535.55","-","-3.56%"
"Mar 05, 2020","42,413.59","42,870.12","43,139.20","41,944.72","-","-1.06%"
"Mar 04, 2020","42,870.12","40,781.85","42,870.12","40,390.36","-","5.12%"
"Mar 03, 2020","40,781.85","40,013.00","41,358.36","40,013.00","-","1.92%"
"Mar 02, 2020","40,013.00","39,747.54","40,577.89","38,834.78","-","0.67%"
"Feb 28, 2020","39,747.54","41,562.59","41,562.59","39,345.44","-","-4.37%"
"Feb 27, 2020","41,562.59","41,882.70","42,108.94","40,958.26","-","-0.76%"
"Feb 26, 2020","41,882.70","41,189.66","42,341.03","40,356.31","-","1.68%"
"Feb 25, 2020","41,189.66","42,153.33","42,624.13","41,167.70","-","-2.29%"
"Feb 24, 2020","42,153.33","44,318.10","44,318.10","41,919.86","-","-4.88%"
"Feb 21, 2020","44,318.10","44,329.12","44,845.87","44,064.71","-","-0.02%"
"Feb 20, 2020","44,329.12","45,016.47","45,016.47","44,329.12","-","-1.53%"
"Feb 19, 2020","45,016.47","44,424.76","45,156.24","44,424.76","-","1.33%"
"Feb 18, 2020","44,424.76","44,021.89","44,673.32","43,973.65","-","0.92%"
"Feb 17, 2020","44,021.89","43,451.87","44,027.08","43,381.76","-","1.31%"
"Feb 14, 2020","43,451.87","43,222.06","43,466.25","43,152.45","-","0.53%"
"Feb 13, 2020","43,222.06","42,883.15","43,262.07","42,821.21","-","0.79%"
