"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","8,410.76","8,767.09","8,768.17","8,373.97","-","-4.08%"
"Apr 29, 2020","8,768.19","8,615.32","8,812.14","8,542.38","-","1.79%"
"Apr 28, 2020","8,614.18","8,105.39","8,645.04","8,105.39","-","6.32%"
"Apr 27, 2020","8,102.28","7,792.70","8,252.37","7,792.54","-","3.99%"
"Apr 24, 2020","7,791.60","8,462.04","8,462.04","7,552.74","-","-7.92%"
"Apr 23, 2020","8,462.12","8,642.75","8,764.75","8,359.25","-","-2.08%"
"Apr 22, 2020","8,641.74","8,597.86","8,811.80","8,558.48","-","0.51%"
"Apr 20, 2020","8,597.86","8,663.40","8,727.19","8,445.06","-","-0.81%"
"Apr 17, 2020","8,667.68","8,544.39","8,813.83","8,519.21","-","1.45%"
"Apr 16, 2020","8,544.08","8,745.24","8,913.91","8,541.50","-","-2.27%"
"Apr 15, 2020","8,742.80","8,913.50","8,933.17","8,658.87","-","-1.92%"
"Apr 14, 2020","8,913.67","8,795.16","9,198.56","8,795.16","-","1.35%"
"Apr 13, 2020","8,794.91","8,639.74","8,794.91","8,438.23","-","1.79%"
"Apr 09, 2020","8,640.17","8,713.48","8,889.49","8,604.81","-","-0.79%"
"Apr 08, 2020","8,709.34","8,432.93","8,796.06","8,393.53","-","3.17%"
"Apr 07, 2020","8,441.94","8,144.70","8,831.13","8,144.70","-","3.70%"
"Apr 06, 2020","8,140.59","7,586.90","8,330.48","7,586.90","-","7.31%"
"Apr 03, 2020","7,586.00","7,876.95","7,881.62","7,369.02","-","-3.69%"
"Apr 02, 2020","7,876.28","7,726.40","7,955.48","7,697.41","-","1.94%"
"Apr 01, 2020","7,726.39","8,115.87","8,115.87","7,570.86","-","-4.81%"
"Mar 31, 2020","8,116.88","8,403.79","8,404.84","8,010.02","-","-3.41%"
"Mar 30, 2020","8,403.79","8,203.34","8,433.63","8,203.11","-","2.45%"
"Mar 27, 2020","8,203.17","8,678.78","8,678.78","8,157.19","-","-5.49%"
"Mar 26, 2020","8,679.31","8,415.87","8,824.63","8,409.75","-","3.13%"
"Mar 25, 2020","8,415.87","7,838.06","8,725.41","7,765.11","-","7.38%"
"Mar 24, 2020","7,837.23","6,929.34","7,968.97","6,929.34","-","13.15%"
"Mar 23, 2020","6,926.18","7,487.49","7,568.60","6,817.25","-","-7.51%"
"Mar 20, 2020","7,488.32","7,747.66","8,114.77","7,406.76","-","-3.29%"
"Mar 19, 2020","7,743.18","7,875.68","7,966.30","7,228.43","-","-1.74%"
"Mar 18, 2020","7,880.37","8,634.15","8,634.15","7,484.47","-","-8.78%"
"Mar 17, 2020","8,638.53","8,212.43","8,975.55","8,159.67","-","5.22%"
"Mar 16, 2020","8,209.97","9,461.58","9,461.58","8,180.78","-","-13.28%"
"Mar 13, 2020","9,467.40","8,400.41","9,678.49","8,399.26","-","12.78%"
"Mar 12, 2020","8,394.61","9,645.12","9,645.12","7,857.45","-","-12.98%"
"Mar 11, 2020","9,647.18","10,438.36","10,438.36","9,149.20","-","-7.58%"
"Mar 10, 2020","10,438.45","9,938.93","10,608.80","9,938.93","-","5.04%"
"Mar 09, 2020","9,937.42","10,981.53","10,981.53","9,914.65","-","-9.52%"
"Mar 06, 2020","10,983.15","11,209.94","11,210.00","10,775.20","-","-2.03%"
"Mar 05, 2020","11,210.59","11,757.50","11,757.50","11,087.33","-","-4.68%"
"Mar 04, 2020","11,760.45","11,874.35","12,043.08","11,509.66","-","-0.96%"
"Mar 03, 2020","11,874.21","12,146.23","12,187.25","11,741.87","-","-2.24%"
"Mar 02, 2020","12,146.22","12,047.90","12,223.80","11,920.50","-","0.81%"
"Feb 28, 2020","12,048.72","11,774.91","12,048.72","11,550.24","-","2.32%"
"Feb 27, 2020","11,775.13","11,875.16","12,201.49","11,710.03","-","-0.85%"
"Feb 26, 2020","11,876.23","12,622.53","12,622.53","11,783.42","-","-5.96%"
"Feb 21, 2020","12,629.19","12,743.44","12,743.44","12,530.83","-","-0.90%"
"Feb 20, 2020","12,743.48","12,937.24","12,972.55","12,716.77","-","-1.50%"
"Feb 19, 2020","12,937.24","12,737.62","12,990.84","12,706.33","-","1.57%"
"Feb 18, 2020","12,737.59","12,745.64","12,745.64","12,560.72","-","-0.06%"
"Feb 17, 2020","12,745.64","12,723.10","12,832.89","12,690.16","-","0.19%"
"Feb 14, 2020","12,721.85","12,842.54","12,849.57","12,713.28","-","-0.94%"
"Feb 13, 2020","12,842.54","13,017.31","13,017.31","12,791.03","-","-1.37%"
"Feb 12, 2020","13,020.35","12,986.94","13,163.38","12,895.68","-","0.27%"
"Feb 11, 2020","12,985.79","12,714.06","13,056.06","12,713.46","-","2.15%"
"Feb 10, 2020","12,712.73","12,781.34","12,817.26","12,654.98","-","-0.54%"
"Feb 07, 2020","12,781.34","12,817.16","12,901.00","12,717.53","-","-0.28%"
"Feb 06, 2020","12,817.21","12,929.54","13,050.23","12,777.68","-","-0.86%"
"Feb 05, 2020","12,928.18","12,771.21","13,063.86","12,771.21","-","1.23%"
"Feb 04, 2020","12,770.99","12,764.90","12,939.61","12,721.49","-","0.06%"
"Feb 03, 2020","12,763.43","12,723.30","12,867.68","12,575.06","-","0.32%"
"Jan 31, 2020","12,722.87","12,905.12","12,905.12","12,630.03","-","-1.41%"
"Jan 30, 2020","12,905.20","12,820.98","12,910.69","12,617.96","-","0.65%"
"Jan 29, 2020","12,821.41","12,985.45","13,044.27","12,811.80","-","-1.26%"
"Jan 28, 2020","12,984.95","12,829.38","13,027.47","12,829.35","-","1.21%"
"Jan 27, 2020","12,829.86","13,139.66","13,139.66","12,803.87","-","-2.36%"
"Jan 24, 2020","13,140.33","13,249.71","13,275.62","13,088.31","-","-0.83%"
"Jan 23, 2020","13,249.68","12,974.05","13,299.72","12,841.47","-","2.12%"
"Jan 22, 2020","12,974.03","12,742.45","12,974.03","12,742.45","-","1.85%"
"Jan 21, 2020","12,738.84","13,033.24","13,033.24","12,738.84","-","-2.26%"
"Jan 20, 2020","13,033.24","13,136.04","13,136.04","12,981.75","-","-0.78%"
"Jan 17, 2020","13,135.70","12,921.02","13,135.70","12,921.02","-","1.68%"
"Jan 16, 2020","12,918.84","12,839.98","12,968.06","12,831.74","-","0.61%"
"Jan 15, 2020","12,839.96","13,023.95","13,024.53","12,775.14","-","-1.41%"
"Jan 14, 2020","13,023.95","13,005.00","13,023.95","12,909.77","-","0.14%"
"Jan 13, 2020","13,005.18","12,901.17","13,074.04","12,901.07","-","0.81%"
"Jan 10, 2020","12,901.07","13,036.38","13,149.78","12,854.17","-","-1.04%"
"Jan 09, 2020","13,036.25","13,160.87","13,232.04","12,995.47","-","-0.94%"
"Jan 08, 2020","13,160.53","13,299.94","13,381.88","13,139.37","-","-1.05%"
"Jan 07, 2020","13,299.94","13,374.46","13,414.57","13,244.95","-","-0.56%"
"Jan 06, 2020","13,374.46","13,505.56","13,509.50","13,312.56","-","-0.97%"
"Jan 03, 2020","13,505.56","13,608.93","13,646.50","13,420.80","-","-0.78%"
"Jan 02, 2020","13,612.13","13,221.25","13,612.13","13,220.24","-","2.96%"
"Dec 30, 2019","13,220.73","13,299.10","13,371.49","13,208.91","-","-0.59%"
"Dec 27, 2019","13,298.99","13,440.07","13,505.07","13,223.92","-","-1.05%"
"Dec 26, 2019","13,439.96","13,290.04","13,443.06","13,251.47","-","1.13%"
"Dec 23, 2019","13,289.30","13,270.26","13,293.30","13,160.95","-","0.14%"
"Dec 20, 2019","13,270.43","13,297.46","13,301.21","13,190.05","-","-0.20%"
"Dec 19, 2019","13,297.46","13,207.58","13,297.46","13,091.33","-","0.68%"
"Dec 18, 2019","13,207.58","12,953.94","13,207.58","12,898.22","-","1.97%"
"Dec 17, 2019","12,952.98","12,708.54","12,965.80","12,708.54","-","1.92%"
"Dec 16, 2019","12,708.63","12,864.28","12,942.85","12,708.63","-","-1.19%"
"Dec 13, 2019","12,861.36","12,799.54","12,920.12","12,759.23","-","0.48%"
"Dec 12, 2019","12,799.46","12,695.17","12,839.99","12,695.17","-","0.82%"
"Dec 11, 2019","12,695.13","12,760.47","12,867.51","12,643.66","-","-0.51%"
"Dec 10, 2019","12,760.47","12,883.08","12,914.21","12,713.77","-","-0.96%"
"Dec 09, 2019","12,884.63","12,868.27","12,926.77","12,828.02","-","0.12%"
"Dec 06, 2019","12,868.62","12,948.80","13,016.66","12,856.08","-","-0.62%"
"Dec 05, 2019","12,948.56","12,937.31","13,019.52","12,900.36","-","0.10%"
"Dec 04, 2019","12,935.60","12,666.62","12,935.60","12,666.62","-","2.13%"
"Dec 03, 2019","12,666.04","12,592.29","12,704.59","12,572.13","-","0.59%"
"Dec 02, 2019","12,592.14","12,545.49","12,694.82","12,545.49","-","0.37%"
"Nov 29, 2019","12,545.49","12,522.68","12,585.69","12,479.37","-","0.18%"
"Nov 28, 2019","12,522.66","12,472.18","12,533.73","12,318.91","-","0.40%"
"Nov 27, 2019","12,472.18","12,315.24","12,515.70","12,261.76","-","1.27%"
"Nov 26, 2019","12,315.19","12,580.13","12,580.13","12,231.24","-","-2.11%"
"Nov 25, 2019","12,580.41","12,765.89","12,771.00","12,569.35","-","-1.45%"
"Nov 22, 2019","12,765.86","12,641.95","12,765.86","12,582.08","-","0.98%"
"Nov 21, 2019","12,642.03","12,475.89","12,642.03","12,466.33","-","1.33%"
"Nov 19, 2019","12,475.89","12,558.38","12,603.77","12,397.54","-","-0.65%"
"Nov 18, 2019","12,556.95","12,675.71","12,788.60","12,556.95","-","-0.94%"
"Nov 14, 2019","12,675.64","12,571.01","12,676.26","12,509.37","-","0.83%"
"Nov 13, 2019","12,571.15","12,673.09","12,673.09","12,446.45","-","-0.81%"
"Nov 12, 2019","12,674.00","12,842.75","12,842.75","12,555.67","-","-1.31%"
"Nov 11, 2019","12,842.75","12,713.85","12,842.75","12,621.71","-","0.98%"
"Nov 08, 2019","12,718.35","12,941.56","12,941.56","12,643.60","-","-1.74%"
"Nov 07, 2019","12,943.14","12,924.88","13,008.77","12,883.64","-","0.14%"
"Nov 06, 2019","12,924.88","13,018.85","13,121.07","12,889.11","-","-0.72%"
"Nov 05, 2019","13,018.49","12,909.13","13,096.21","12,906.90","-","0.85%"
"Nov 04, 2019","12,909.30","12,890.97","12,982.81","12,824.69","-","0.14%"
"Nov 01, 2019","12,890.82","12,846.20","12,968.62","12,800.75","-","0.35%"
"Oct 31, 2019","12,846.17","13,079.28","13,089.87","12,734.71","-","-1.78%"
"Oct 30, 2019","13,079.54","13,003.60","13,081.84","12,801.93","-","0.58%"
"Oct 29, 2019","13,003.89","13,164.34","13,164.34","12,971.56","-","-1.22%"
"Oct 28, 2019","13,164.55","12,984.47","13,167.24","12,963.07","-","1.39%"
"Oct 25, 2019","12,984.47","12,923.33","13,050.24","12,891.73","-","0.47%"
"Oct 24, 2019","12,923.09","12,909.77","12,971.64","12,846.05","-","0.12%"
"Oct 23, 2019","12,907.36","12,784.26","12,936.09","12,694.23","-","0.96%"
"Oct 22, 2019","12,784.00","12,516.10","12,784.00","12,495.70","-","2.14%"
"Oct 21, 2019","12,516.02","12,356.62","12,516.42","12,285.97","-","1.29%"
"Oct 18, 2019","12,356.91","12,367.39","12,410.19","12,323.55","-","-0.08%"
"Oct 17, 2019","12,367.39","12,367.55","12,472.11","12,311.99","-","-0.02%"
"Oct 16, 2019","12,369.45","12,183.48","12,382.23","12,070.03","-","1.53%"
"Oct 15, 2019","12,183.62","12,221.32","12,296.93","12,170.53","-","-0.33%"
"Oct 14, 2019","12,224.39","12,099.41","12,247.35","12,055.28","-","1.04%"
"Oct 11, 2019","12,098.79","11,882.65","12,153.74","11,881.79","-","1.85%"
"Oct 10, 2019","11,878.92","11,809.29","11,952.90","11,769.68","-","0.59%"
"Oct 09, 2019","11,809.29","11,568.60","11,839.91","11,567.96","-","2.14%"
"Oct 08, 2019","11,562.28","11,593.05","11,725.72","11,543.42","-","-0.26%"
