"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","289.10","300.90","305.80","286.00","224.16M","-5.06%"
"Apr 29, 2020","304.50","287.10","304.50","285.40","173.00M","6.43%"
"Apr 28, 2020","286.10","269.00","289.20","267.80","177.62M","5.81%"
"Apr 27, 2020","270.40","274.70","274.70","265.50","105.72M","2.58%"
"Apr 24, 2020","263.60","267.30","271.70","263.60","123.39M","-4.22%"
"Apr 23, 2020","275.20","268.40","279.30","267.20","112.41M","3.81%"
"Apr 22, 2020","265.10","261.00","266.10","258.10","117.95M","2.63%"
"Apr 21, 2020","258.30","264.90","265.60","258.30","133.22M","-4.76%"
"Apr 20, 2020","271.20","276.10","276.40","263.10","134.37M","-0.70%"
"Apr 17, 2020","273.10","285.00","285.00","271.50","177.41M","0.55%"
"Apr 16, 2020","271.60","283.50","285.60","269.20","173.71M","-2.27%"
"Apr 15, 2020","277.90","294.10","294.30","277.60","192.30M","-5.80%"
"Apr 14, 2020","295.00","307.20","307.30","293.30","157.96M","-2.06%"
"Apr 09, 2020","301.20","306.90","307.70","298.20","166.45M","-0.36%"
"Apr 08, 2020","302.30","296.50","304.20","292.40","94.87M","-0.10%"
"Apr 07, 2020","302.60","305.80","316.30","294.00","162.21M","0.53%"
"Apr 06, 2020","301.00","297.90","302.40","292.50","149.70M","6.44%"
"Apr 03, 2020","282.80","282.50","286.00","277.90","136.59M","-0.53%"
"Apr 02, 2020","284.30","290.40","294.00","277.80","144.31M","-1.11%"
"Apr 01, 2020","287.50","288.20","290.80","284.20","151.02M","-4.13%"
"Mar 31, 2020","299.90","302.40","304.90","294.60","164.02M","0.60%"
"Mar 30, 2020","298.10","306.50","307.70","291.80","161.64M","-4.73%"
"Mar 27, 2020","312.90","322.20","324.50","307.20","139.14M","-5.64%"
"Mar 26, 2020","331.60","316.60","334.30","313.80","148.76M","0.88%"
"Mar 25, 2020","328.70","332.60","338.70","309.70","204.48M","4.75%"
"Mar 24, 2020","313.80","299.10","313.80","295.20","183.94M","9.91%"
"Mar 23, 2020","285.50","278.30","300.40","277.40","181.46M","-2.23%"
"Mar 20, 2020","292.00","300.30","307.10","279.90","304.20M","0.93%"
"Mar 19, 2020","289.30","288.20","293.00","281.70","209.81M","3.17%"
"Mar 18, 2020","280.40","289.50","299.50","276.30","244.61M","-4.59%"
"Mar 17, 2020","293.90","299.30","299.80","272.00","251.15M","6.72%"
"Mar 16, 2020","275.40","300.20","301.70","266.80","376.19M","-11.93%"
"Mar 13, 2020","312.70","326.50","351.80","303.90","304.40M","1.07%"
"Mar 12, 2020","309.40","350.70","353.10","306.90","468.01M","-16.06%"
"Mar 11, 2020","368.60","364.30","383.20","360.80","228.93M","3.19%"
"Mar 10, 2020","357.20","370.10","388.20","353.10","330.32M","-1.33%"
"Mar 09, 2020","362.00","387.40","387.40","357.10","389.22M","-11.81%"
"Mar 06, 2020","410.50","411.00","416.20","402.70","222.62M","-2.40%"
"Mar 05, 2020","420.60","444.70","444.70","417.30","245.31M","-4.60%"
"Mar 04, 2020","440.90","441.40","446.60","433.20","230.66M","0.50%"
"Mar 03, 2020","438.70","445.70","457.90","436.40","234.42M","0.02%"
"Mar 02, 2020","438.60","454.70","455.00","425.10","226.17M","-1.44%"
"Feb 28, 2020","445.00","449.60","451.10","435.20","301.68M","-3.68%"
"Feb 27, 2020","462.00","472.40","475.00","455.10","219.72M","-3.73%"
"Feb 26, 2020","479.90","477.10","485.00","468.10","185.89M","0.36%"
"Feb 25, 2020","478.20","496.10","496.10","477.20","160.22M","-3.16%"
"Feb 24, 2020","493.80","499.40","501.50","490.80","156.43M","-3.86%"
"Feb 21, 2020","513.60","513.60","516.90","509.10","114.06M","-0.66%"
"Feb 20, 2020","517.00","524.60","528.40","517.00","97.50M","-1.65%"
"Feb 19, 2020","525.70","526.60","529.20","522.10","90.83M","0.50%"
"Feb 18, 2020","523.10","530.00","532.70","522.70","124.92M","-1.41%"
"Feb 17, 2020","530.60","530.20","532.70","528.10","60.17M","0.38%"
"Feb 14, 2020","528.60","534.30","535.00","528.60","75.51M","-0.92%"
"Feb 13, 2020","533.50","530.10","533.60","523.70","107.89M","-0.43%"
"Feb 12, 2020","535.80","524.40","535.90","524.30","136.36M","2.39%"
"Feb 11, 2020","523.30","528.70","530.20","520.30","117.33M","-0.55%"
"Feb 10, 2020","526.20","524.40","529.70","522.90","95.08M","-0.17%"
"Feb 07, 2020","527.10","517.90","527.10","516.00","127.15M","1.31%"
"Feb 06, 2020","520.30","515.10","523.00","513.80","183.50M","2.02%"
"Feb 05, 2020","510.00","492.80","510.00","492.40","143.63M","2.93%"
"Feb 04, 2020","495.50","487.80","498.50","486.50","122.44M","2.48%"
"Feb 03, 2020","483.50","485.40","487.50","478.30","117.92M","0.33%"
"Jan 31, 2020","481.90","498.80","501.90","481.60","239.18M","-2.37%"
"Jan 30, 2020","493.60","488.20","495.20","486.50","104.30M","-0.06%"
"Jan 29, 2020","493.90","492.20","497.00","489.10","134.60M","2.17%"
"Jan 28, 2020","483.40","478.90","485.40","472.20","102.48M","1.49%"
"Jan 27, 2020","476.30","478.80","482.90","474.30","105.69M","-1.67%"
"Jan 24, 2020","484.40","494.90","498.80","483.90","99.16M","-1.04%"
"Jan 23, 2020","489.50","493.50","499.50","486.50","101.29M","-0.45%"
"Jan 22, 2020","491.70","496.60","498.30","489.80","83.88M","-0.89%"
