"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,244.20","1,269.30","1,277.20","1,240.80","2.83M","-1.32%"
"Apr 29, 2020","1,260.90","1,229.00","1,264.50","1,220.40","2.21M","3.01%"
"Apr 28, 2020","1,224.10","1,191.30","1,227.40","1,189.20","2.37M","2.46%"
"Apr 27, 2020","1,194.70","1,197.60","1,212.00","1,187.40","1.66M","1.45%"
"Apr 24, 2020","1,177.60","1,193.90","1,203.70","1,175.30","2.09M","-2.62%"
"Apr 23, 2020","1,209.30","1,192.70","1,211.40","1,192.70","1.69M","1.22%"
"Apr 22, 2020","1,194.70","1,194.90","1,203.80","1,184.70","1.83M","-0.23%"
"Apr 21, 2020","1,197.50","1,203.50","1,223.80","1,197.50","2.24M","-2.14%"
"Apr 20, 2020","1,223.70","1,242.70","1,244.70","1,204.70","1.92M","-0.87%"
"Apr 17, 2020","1,234.50","1,235.10","1,243.30","1,216.10","2.13M","2.37%"
"Apr 16, 2020","1,205.90","1,224.90","1,235.60","1,201.60","3.06M","-0.57%"
"Apr 15, 2020","1,212.80","1,242.40","1,251.70","1,207.60","3.77M","-3.42%"
"Apr 14, 2020","1,255.70","1,262.70","1,269.90","1,236.30","3.92M","2.57%"
"Apr 09, 2020","1,224.20","1,227.70","1,237.40","1,202.40","3.26M","1.89%"
"Apr 08, 2020","1,201.50","1,195.50","1,216.40","1,191.50","2.40M","-0.46%"
"Apr 07, 2020","1,207.00","1,168.20","1,225.50","1,168.20","4.13M","5.19%"
"Apr 06, 2020","1,147.40","1,137.60","1,148.30","1,114.60","4.69M","6.16%"
"Apr 03, 2020","1,080.80","1,094.60","1,105.30","1,079.90","3.16M","-1.64%"
"Apr 02, 2020","1,098.80","1,104.10","1,112.60","1,081.90","2.72M","-0.74%"
"Apr 01, 2020","1,107.00","1,116.60","1,133.00","1,099.30","3.45M","-4.29%"
"Mar 31, 2020","1,156.60","1,118.60","1,156.60","1,098.30","3.86M","4.39%"
"Mar 30, 2020","1,108.00","1,101.30","1,120.90","1,036.10","3.85M","-0.13%"
"Mar 27, 2020","1,109.40","1,143.10","1,148.20","1,082.40","3.98M","-3.42%"
"Mar 26, 2020","1,148.70","1,086.50","1,150.40","1,065.60","4.03M","4.10%"
"Mar 25, 2020","1,103.50","1,085.00","1,111.90","1,064.00","4.73M","5.76%"
"Mar 24, 2020","1,043.40","1,044.60","1,063.90","1,009.50","5.43M","4.60%"
"Mar 23, 2020","997.50","984.40","1,037.10","973.50","3.90M","-3.58%"
"Mar 20, 2020","1,034.50","983.10","1,055.80","968.50","8.02M","8.21%"
"Mar 19, 2020","956.00","958.90","977.50","917.50","6.81M","1.84%"
"Mar 18, 2020","938.70","983.70","995.50","912.80","8.42M","-7.42%"
"Mar 17, 2020","1,013.90","1,054.00","1,067.50","943.50","5.62M","2.39%"
"Mar 16, 2020","990.20","1,057.20","1,057.70","929.70","7.58M","-10.07%"
"Mar 13, 2020","1,101.10","1,108.20","1,201.90","1,064.60","6.09M","6.15%"
"Mar 12, 2020","1,037.30","1,135.20","1,165.60","1,031.50","9.83M","-15.72%"
"Mar 11, 2020","1,230.80","1,286.80","1,303.90","1,222.10","4.74M","-3.46%"
"Mar 10, 2020","1,274.90","1,340.80","1,375.00","1,274.90","5.64M","-4.25%"
"Mar 09, 2020","1,331.50","1,354.30","1,404.30","1,331.50","7.03M","-8.75%"
