"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,144.80","1,163.40","1,166.70","1,140.30","30.67M","-0.91%"
"Apr 29, 2020","1,155.30","1,108.30","1,157.20","1,107.50","26.80M","3.36%"
"Apr 28, 2020","1,117.70","1,095.80","1,117.70","1,088.70","21.65M","1.59%"
"Apr 27, 2020","1,100.20","1,106.30","1,107.90","1,086.60","15.71M","1.39%"
"Apr 24, 2020","1,085.10","1,085.40","1,101.90","1,073.60","22.01M","-1.09%"
"Apr 23, 2020","1,097.10","1,102.00","1,111.40","1,096.30","20.96M","-0.23%"
"Apr 22, 2020","1,099.60","1,081.90","1,099.70","1,078.40","26.42M","2.36%"
"Apr 21, 2020","1,074.20","1,086.00","1,095.50","1,074.20","24.68M","-2.24%"
"Apr 20, 2020","1,098.80","1,103.80","1,103.80","1,084.70","16.47M","-0.27%"
"Apr 17, 2020","1,101.80","1,103.70","1,118.40","1,092.30","26.39M","1.11%"
"Apr 16, 2020","1,089.70","1,102.60","1,107.10","1,086.00","22.78M","-0.05%"
"Apr 15, 2020","1,090.20","1,115.50","1,121.40","1,088.30","38.76M","-2.86%"
"Apr 14, 2020","1,122.30","1,153.60","1,154.30","1,115.20","34.81M","-0.80%"
"Apr 09, 2020","1,131.30","1,117.40","1,139.30","1,100.70","26.53M","2.23%"
"Apr 08, 2020","1,106.60","1,116.30","1,119.00","1,093.40","21.05M","-1.25%"
"Apr 07, 2020","1,120.60","1,130.70","1,138.10","1,109.90","28.70M","0.69%"
"Apr 06, 2020","1,112.90","1,145.00","1,145.60","1,112.80","25.29M","0.15%"
"Apr 03, 2020","1,111.20","1,114.70","1,122.40","1,100.10","34.77M","0.01%"
"Apr 02, 2020","1,111.10","1,107.30","1,124.30","1,073.50","38.40M","1.37%"
"Apr 01, 2020","1,096.10","1,100.50","1,115.50","1,090.30","33.68M","-2.28%"
"Mar 31, 2020","1,121.70","1,103.10","1,121.70","1,083.10","39.30M","2.90%"
"Mar 30, 2020","1,090.10","1,093.50","1,103.60","1,059.20","27.49M","0.13%"
"Mar 27, 2020","1,088.70","1,094.90","1,106.40","1,068.30","31.71M","-2.02%"
"Mar 26, 2020","1,111.20","1,068.90","1,111.20","1,066.20","30.52M","2.00%"
"Mar 25, 2020","1,089.40","1,102.30","1,110.20","1,033.30","45.67M","2.46%"
"Mar 24, 2020","1,063.20","1,024.70","1,063.20","1,018.00","48.54M","5.74%"
"Mar 23, 2020","1,005.50","1,009.40","1,042.20","991.10","41.47M","-3.29%"
"Mar 20, 2020","1,039.70","1,087.40","1,109.10","1,039.70","77.17M","-0.71%"
"Mar 19, 2020","1,047.10","1,036.00","1,054.20","1,017.00","51.43M","1.95%"
"Mar 18, 2020","1,027.10","1,053.50","1,055.00","999.30","56.92M","-2.45%"
"Mar 17, 2020","1,052.90","1,040.30","1,071.90","1,005.90","51.40M","6.34%"
"Mar 16, 2020","990.10","997.20","1,009.50","941.50","76.85M","-4.82%"
"Mar 13, 2020","1,040.20","1,029.60","1,121.30","1,013.90","67.66M","5.23%"
"Mar 12, 2020","988.50","1,099.40","1,110.80","983.50","100.49M","-14.34%"
"Mar 11, 2020","1,154.00","1,182.80","1,192.20","1,144.40","56.67M","0.16%"
"Mar 10, 2020","1,152.10","1,212.50","1,237.70","1,152.10","73.43M","-3.99%"
