"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,224.40","1,237.10","1,246.30","1,219.30","775.04K","-1.23%"
"Apr 29, 2020","1,239.70","1,239.60","1,251.20","1,236.30","867.00K","0.20%"
"Apr 28, 2020","1,237.20","1,214.50","1,238.40","1,210.50","1.29M","1.74%"
"Apr 27, 2020","1,216.10","1,216.60","1,226.70","1,210.90","2.39M","0.30%"
"Apr 24, 2020","1,212.50","1,213.30","1,216.50","1,206.90","1.26M","0.26%"
"Apr 23, 2020","1,209.40","1,211.40","1,216.90","1,196.50","6.10M","-0.07%"
"Apr 22, 2020","1,210.30","1,201.70","1,213.50","1,192.50","3.21M","1.17%"
"Apr 21, 2020","1,196.30","1,217.90","1,217.90","1,195.30","825.29K","-1.64%"
"Apr 20, 2020","1,216.30","1,225.40","1,232.80","1,206.40","1.38M","-0.25%"
"Apr 17, 2020","1,219.30","1,231.90","1,237.60","1,215.40","1.18M","-0.50%"
"Apr 16, 2020","1,225.40","1,233.00","1,242.80","1,221.30","946.71K","-0.67%"
"Apr 15, 2020","1,233.70","1,254.70","1,257.30","1,228.50","1.40M","-0.82%"
"Apr 14, 2020","1,243.90","1,208.50","1,246.40","1,208.50","2.27M","3.50%"
"Apr 09, 2020","1,201.80","1,211.00","1,218.40","1,197.90","7.45M","-0.02%"
"Apr 08, 2020","1,202.10","1,199.00","1,208.90","1,191.50","1.33M","0.30%"
"Apr 07, 2020","1,198.50","1,180.90","1,207.60","1,180.90","1.99M","2.46%"
"Apr 06, 2020","1,169.70","1,133.70","1,174.40","1,128.30","2.04M","3.60%"
"Apr 03, 2020","1,129.10","1,112.90","1,133.60","1,106.50","3.78M","2.32%"
"Apr 02, 2020","1,103.50","1,108.60","1,121.10","1,103.50","732.55K","-0.57%"
"Apr 01, 2020","1,109.80","1,136.00","1,136.10","1,107.70","437.53K","-1.67%"
"Mar 31, 2020","1,128.70","1,125.90","1,154.20","1,112.00","634.04K","0.63%"
"Mar 30, 2020","1,121.60","1,099.10","1,150.50","1,098.80","688.45K","1.81%"
"Mar 27, 2020","1,101.70","1,088.90","1,103.90","1,088.50","1.09M","1.43%"
"Mar 26, 2020","1,086.20","1,086.80","1,089.90","1,075.50","1.17M","-0.16%"
"Mar 25, 2020","1,087.90","1,076.40","1,105.50","1,075.90","2.61M","1.26%"
"Mar 24, 2020","1,074.40","1,057.90","1,080.40","1,057.90","845.51K","2.33%"
