"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,101.2741,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,101.3934,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,101.3687,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,101.2769,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,101.2286,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.2996,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,101.4185,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,101.4813,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,101.4173,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,101.3123,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,101.2869,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,101.4163,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,101.5701,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,101.5548,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,101.2319,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,100.8053,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,100.5631,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,100.7232,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,101.095,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,101.4258,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,101.5357,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,101.4936,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,101.3962,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,101.629,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,101.5267,,
