"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","17,238.62","17,579.51","17,593.00","17,174.37","-","-1.89%"
"Apr 29, 2020","17,571.31","17,737.66","17,737.66","17,535.15","-","-1.04%"
"Apr 28, 2020","17,755.94","17,575.82","17,779.99","17,450.73","-","0.83%"
"Apr 27, 2020","17,609.91","17,569.61","17,717.03","17,563.17","-","0.26%"
"Apr 24, 2020","17,564.60","17,434.01","17,617.16","17,351.06","-","-0.02%"
"Apr 23, 2020","17,568.89","17,751.23","17,772.72","17,560.58","-","-1.43%"
"Apr 22, 2020","17,824.35","17,494.11","17,824.35","17,494.11","-","1.92%"
"Apr 21, 2020","17,489.03","17,289.04","17,489.03","17,076.81","-","1.02%"
"Apr 20, 2020","17,312.85","17,322.73","17,380.03","17,153.89","-","0.42%"
"Apr 17, 2020","17,239.75","17,218.26","17,336.15","17,160.64","-","0.41%"
"Apr 16, 2020","17,169.75","17,228.76","17,267.22","17,046.48","-","-0.03%"
"Apr 15, 2020","17,174.73","17,238.94","17,270.39","16,897.35","-","-0.32%"
"Apr 14, 2020","17,229.64","17,090.59","17,298.68","17,067.47","-","1.30%"
"Apr 13, 2020","17,008.42","17,084.34","17,085.65","16,900.20","-","-0.38%"
"Apr 10, 2020","17,073.63","17,023.32","17,150.07","16,971.12","-","-0.43%"
"Apr 09, 2020","17,146.71","17,105.22","17,230.68","16,951.24","-","0.35%"
"Apr 08, 2020","17,087.40","16,695.43","17,087.40","16,693.20","-","1.88%"
"Apr 07, 2020","16,771.60","16,780.69","16,897.68","16,692.56","-","0.38%"
"Apr 06, 2020","16,707.28","16,862.94","16,954.94","16,636.84","-","-0.15%"
"Apr 03, 2020","16,732.01","16,864.81","16,905.97","16,703.32","-","0.16%"
"Apr 02, 2020","16,705.31","16,673.91","16,882.39","16,673.91","-","0.76%"
"Apr 01, 2020","16,579.36","16,418.81","16,793.04","16,281.92","-","0.07%"
"Mar 31, 2020","16,568.33","16,395.65","16,643.51","16,395.65","-","1.23%"
"Mar 30, 2020","16,366.75","15,983.31","16,366.75","15,983.31","-","1.93%"
"Mar 27, 2020","16,057.37","16,318.04","16,318.36","15,955.58","-","-1.68%"
"Mar 26, 2020","16,331.71","15,991.63","16,346.84","15,952.13","-","1.34%"
"Mar 25, 2020","16,115.37","16,159.23","16,395.94","15,829.77","-","0.09%"
"Mar 24, 2020","16,101.14","15,934.55","16,120.44","15,909.75","-","2.31%"
"Mar 23, 2020","15,737.58","15,229.49","15,782.14","15,057.58","-","1.16%"
"Mar 20, 2020","15,556.45","15,419.21","15,847.96","15,419.21","-","1.19%"
"Mar 19, 2020","15,373.31","15,049.18","15,476.97","14,637.50","-","2.10%"
"Mar 18, 2020","15,057.52","14,834.11","15,153.51","14,540.08","-","-0.39%"
"Mar 17, 2020","15,116.60","14,720.72","15,141.40","14,521.57","-","1.36%"
"Mar 16, 2020","14,913.40","14,861.24","14,913.40","14,112.49","-","0.79%"
"Mar 13, 2020","14,796.86","15,075.35","15,401.85","14,757.67","-","-1.16%"
"Mar 12, 2020","14,970.22","15,692.01","15,762.43","14,860.71","-","-5.28%"
"Mar 11, 2020","15,805.17","16,099.72","16,106.40","15,689.56","-","0.01%"
"Mar 10, 2020","15,804.28","14,692.89","16,179.45","14,667.98","-","2.15%"
"Mar 06, 2020","15,471.28","15,654.74","15,760.87","15,406.86","-","-2.09%"
"Mar 05, 2020","15,800.80","15,631.52","15,845.99","15,601.89","-","1.53%"
"Mar 04, 2020","15,562.12","15,644.05","15,644.05","15,352.37","-","0.10%"
"Mar 03, 2020","15,545.99","15,704.09","15,718.97","15,538.04","-","0.76%"
"Mar 02, 2020","15,428.63","15,379.16","15,762.82","15,352.27","-","0.11%"
"Feb 28, 2020","15,412.42","15,640.10","15,640.10","15,071.29","-","-2.10%"
"Feb 27, 2020","15,742.58","16,006.18","16,139.36","15,668.05","-","-2.25%"
"Feb 26, 2020","16,105.13","16,148.10","16,166.46","15,840.64","-","-0.28%"
"Feb 25, 2020","16,150.21","16,223.00","16,227.21","16,014.55","-","-1.19%"
"Feb 21, 2020","16,345.22","16,175.98","16,379.02","16,147.40","-","-0.38%"
"Feb 20, 2020","16,407.15","16,403.84","16,647.58","16,385.74","-","0.26%"
"Feb 19, 2020","16,364.22","16,314.83","16,419.82","16,289.50","-","0.24%"
"Feb 18, 2020","16,325.55","16,350.60","16,378.11","16,248.08","-","-0.29%"
"Feb 17, 2020","16,373.24","16,297.73","16,373.24","16,261.50","-","0.54%"
"Feb 14, 2020","16,285.57","16,300.22","16,340.65","16,248.59","-","0.00%"
"Feb 13, 2020","16,285.04","16,312.10","16,337.56","16,236.15","-","-0.26%"
"Feb 12, 2020","16,326.69","16,340.77","16,380.17","16,282.58","-","-0.05%"
"Feb 11, 2020","16,334.74","16,401.56","16,427.06","16,306.54","-","-0.19%"
"Feb 10, 2020","16,365.83","16,389.17","16,436.49","16,315.12","-","-0.24%"
"Feb 07, 2020","16,404.96","16,415.22","16,452.38","16,327.70","-","0.16%"
"Feb 06, 2020","16,379.49","16,421.84","16,471.18","16,342.17","-","0.00%"
"Feb 05, 2020","16,378.97","16,424.81","16,488.86","16,344.71","-","-0.36%"
"Feb 04, 2020","16,437.75","16,348.33","16,437.75","16,240.69","-","0.75%"
"Feb 03, 2020","16,315.96","16,336.63","16,348.42","16,129.76","-","-1.27%"
"Jan 31, 2020","16,525.72","16,459.44","16,606.24","16,439.37","-","-0.02%"
"Jan 30, 2020","16,529.09","16,447.07","16,529.09","16,351.04","-","0.18%"
"Jan 29, 2020","16,500.21","16,187.65","16,558.58","16,175.44","-","2.04%"
"Jan 28, 2020","16,169.79","16,169.18","16,192.76","16,043.82","-","0.37%"
"Jan 27, 2020","16,110.19","16,317.64","16,396.84","16,092.47","-","-1.72%"
"Jan 24, 2020","16,392.41","16,367.16","16,432.51","16,242.35","-","0.43%"
