"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5,738.92","5,735.28","5,761.83","5,663.65","-","0.60%"
"Apr 29, 2020","5,704.87","5,634.25","5,714.88","5,634.25","-","1.57%"
"Apr 28, 2020","5,616.57","5,580.03","5,709.74","5,574.03","-","0.85%"
"Apr 27, 2020","5,569.05","5,492.86","5,570.95","5,490.99","-","2.19%"
"Apr 24, 2020","5,449.69","5,507.95","5,513.53","5,442.88","-","-1.12%"
"Apr 23, 2020","5,511.42","5,518.93","5,534.68","5,477.60","-","0.59%"
"Apr 22, 2020","5,478.88","5,384.69","5,524.97","5,382.14","-","1.55%"
"Apr 21, 2020","5,395.29","5,397.39","5,421.08","5,310.31","-","-1.17%"
"Apr 20, 2020","5,459.20","5,496.85","5,499.22","5,428.55","-","0.03%"
"Apr 17, 2020","5,457.40","5,524.61","5,530.45","5,449.71","-","-0.17%"
"Apr 16, 2020","5,466.57","5,474.06","5,534.99","5,398.60","-","-0.38%"
"Apr 15, 2020","5,487.58","5,672.65","5,684.00","5,476.80","-","-3.62%"
"Apr 14, 2020","5,693.71","5,668.16","5,704.36","5,645.38","-","1.22%"
"Apr 13, 2020","5,625.13","5,675.48","5,712.26","5,580.16","-","-1.18%"
"Apr 10, 2020","5,692.26","5,667.91","5,692.26","5,640.76","-","-0.16%"
"Apr 09, 2020","5,701.12","5,748.99","5,785.33","5,660.31","-","-0.48%"
"Apr 08, 2020","5,728.80","5,578.14","5,728.80","5,578.14","-","1.82%"
"Apr 07, 2020","5,626.50","5,669.16","5,749.52","5,589.49","-","0.03%"
"Apr 06, 2020","5,624.66","5,550.96","5,643.77","5,542.10","-","2.29%"
"Apr 03, 2020","5,498.69","5,451.93","5,542.39","5,451.93","-","0.46%"
"Apr 02, 2020","5,473.62","5,499.64","5,524.63","5,403.59","-","0.39%"
"Apr 01, 2020","5,452.13","5,425.92","5,507.86","5,411.31","-","-0.98%"
"Mar 31, 2020","5,505.97","5,457.55","5,561.41","5,443.14","-","1.80%"
"Mar 30, 2020","5,408.53","5,274.97","5,417.29","5,274.97","-","1.89%"
"Mar 27, 2020","5,308.18","5,443.39","5,455.93","5,279.09","-","-1.93%"
"Mar 26, 2020","5,412.43","5,328.69","5,435.25","5,240.83","-","1.85%"
"Mar 25, 2020","5,313.93","5,403.94","5,501.20","5,211.04","-","-0.22%"
"Mar 24, 2020","5,325.75","5,320.79","5,398.27","5,297.77","-","2.96%"
"Mar 23, 2020","5,172.55","5,074.72","5,329.77","4,985.93","-","-0.06%"
"Mar 20, 2020","5,175.42","5,124.55","5,311.77","5,101.71","-","3.97%"
"Mar 19, 2020","4,977.80","4,804.29","5,010.30","4,776.16","-","4.41%"
"Mar 18, 2020","4,767.50","4,731.49","4,901.50","4,673.51","-","0.07%"
"Mar 17, 2020","4,764.19","4,866.57","4,964.33","4,655.29","-","-1.31%"
"Mar 16, 2020","4,827.23","4,894.21","4,929.74","4,672.12","-","-2.92%"
"Mar 13, 2020","4,972.29","4,765.93","5,124.91","4,765.93","-","2.53%"
"Mar 12, 2020","4,849.47","5,120.50","5,120.50","4,775.42","-","-8.35%"
"Mar 11, 2020","5,291.30","5,349.51","5,411.45","5,279.67","-","0.15%"
"Mar 10, 2020","5,283.21","5,203.76","5,469.11","5,101.50","-","-6.18%"
"Mar 06, 2020","5,631.37","5,750.57","5,795.56","5,603.94","-","-3.68%"
"Mar 05, 2020","5,846.69","5,857.13","5,875.03","5,779.36","-","0.78%"
"Mar 04, 2020","5,801.36","5,817.83","5,828.41","5,782.79","-","-1.19%"
"Mar 03, 2020","5,871.04","5,916.74","5,936.22","5,833.35","-","0.71%"
"Mar 02, 2020","5,829.92","5,875.59","6,003.34","5,763.06","-","1.31%"
"Feb 28, 2020","5,754.59","5,743.58","5,775.24","5,585.00","-","-2.75%"
"Feb 27, 2020","5,917.62","6,022.56","6,066.71","5,903.16","-","-2.54%"
"Feb 26, 2020","6,071.95","6,053.01","6,083.72","5,948.45","-","-0.51%"
"Feb 25, 2020","6,102.79","6,221.80","6,274.18","6,102.79","-","-3.70%"
"Feb 21, 2020","6,337.54","6,345.99","6,380.25","6,336.29","-","-0.50%"
"Feb 20, 2020","6,369.41","6,371.18","6,391.67","6,348.74","-","0.20%"
"Feb 19, 2020","6,356.52","6,317.17","6,356.52","6,300.69","-","0.71%"
"Feb 18, 2020","6,311.66","6,360.01","6,369.70","6,306.11","-","-0.83%"
