"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,957.68","1,990.19","2,001.04","1,935.84","-","-0.93%"
"Apr 29, 2020","1,976.00","1,952.74","1,980.16","1,950.40","-","1.47%"
"Apr 28, 2020","1,947.45","1,926.91","1,971.60","1,923.09","-","1.25%"
"Apr 27, 2020","1,923.33","1,910.60","1,929.22","1,910.60","-","1.12%"
"Apr 24, 2020","1,902.08","1,919.00","1,929.60","1,898.66","-","-1.32%"
"Apr 23, 2020","1,927.51","1,925.05","1,936.70","1,909.52","-","1.10%"
"Apr 22, 2020","1,906.56","1,865.69","1,930.99","1,865.69","-","1.78%"
"Apr 21, 2020","1,873.30","1,860.90","1,876.10","1,833.46","-","-0.68%"
"Apr 20, 2020","1,886.04","1,905.57","1,917.81","1,884.02","-","-1.05%"
"Apr 17, 2020","1,906.06","1,914.25","1,919.60","1,892.55","-","1.20%"
"Apr 16, 2020","1,883.38","1,884.85","1,913.46","1,841.21","-","0.45%"
"Apr 15, 2020","1,874.92","1,951.72","1,953.61","1,857.39","-","-4.29%"
"Apr 14, 2020","1,959.01","1,955.99","1,973.28","1,943.97","-","1.09%"
"Apr 13, 2020","1,937.96","1,976.86","1,978.63","1,928.16","-","-1.75%"
"Apr 10, 2020","1,972.51","1,952.21","1,976.28","1,946.66","-","0.31%"
"Apr 09, 2020","1,966.50","1,970.32","1,991.52","1,948.13","-","0.59%"
"Apr 08, 2020","1,954.88","1,922.77","1,954.88","1,906.83","-","1.47%"
"Apr 07, 2020","1,926.57","1,982.13","2,014.34","1,919.14","-","-1.40%"
"Apr 06, 2020","1,954.00","1,891.75","1,960.35","1,889.46","-","4.45%"
"Apr 03, 2020","1,870.79","1,851.83","1,877.12","1,837.58","-","1.49%"
"Apr 02, 2020","1,843.29","1,842.74","1,855.33","1,803.83","-","1.38%"
"Apr 01, 2020","1,818.19","1,781.26","1,820.77","1,776.27","-","-0.22%"
"Mar 31, 2020","1,822.15","1,797.79","1,829.68","1,787.13","-","2.92%"
"Mar 30, 2020","1,770.53","1,737.74","1,776.05","1,705.80","-","0.76%"
"Mar 27, 2020","1,757.10","1,820.62","1,820.62","1,745.95","-","-3.26%"
"Mar 26, 2020","1,816.28","1,799.26","1,835.17","1,764.53","-","0.25%"
"Mar 25, 2020","1,811.82","1,849.13","1,894.57","1,750.25","-","-0.35%"
"Mar 24, 2020","1,818.17","1,748.29","1,821.79","1,737.89","-","7.37%"
"Mar 23, 2020","1,693.29","1,624.33","1,721.27","1,606.02","-","0.65%"
"Mar 20, 2020","1,682.40","1,630.33","1,715.70","1,630.33","-","5.90%"
"Mar 19, 2020","1,588.67","1,522.54","1,596.55","1,484.51","-","5.01%"
"Mar 18, 2020","1,512.83","1,576.66","1,576.66","1,490.85","-","-5.11%"
"Mar 17, 2020","1,594.28","1,630.28","1,666.41","1,564.74","-","-2.32%"
"Mar 16, 2020","1,632.10","1,623.08","1,649.94","1,558.48","-","-1.67%"
"Mar 13, 2020","1,659.75","1,657.97","1,726.56","1,650.86","-","0.40%"
"Mar 12, 2020","1,653.15","1,777.91","1,780.50","1,650.93","-","-10.77%"
"Mar 11, 2020","1,852.62","1,934.11","1,944.04","1,839.97","-","-2.66%"
