"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,044.02","6,095.61","6,117.97","5,978.08","-","-0.20%"
"Apr 29, 2020","6,056.16","6,048.04","6,121.90","6,015.88","-","0.43%"
"Apr 28, 2020","6,030.08","5,860.63","6,055.55","5,831.07","-","3.09%"
"Apr 27, 2020","5,849.17","5,760.61","5,862.99","5,760.61","-","1.55%"
"Apr 24, 2020","5,759.95","5,741.04","5,826.20","5,713.99","-","-0.38%"
"Apr 23, 2020","5,781.78","5,786.36","5,817.75","5,716.32","-","0.99%"
"Apr 22, 2020","5,725.09","5,557.65","5,775.86","5,540.37","-","2.79%"
"Apr 21, 2020","5,569.66","5,587.38","5,613.78","5,500.69","-","-1.90%"
"Apr 20, 2020","5,677.69","5,748.91","5,756.45","5,652.65","-","-1.43%"
"Apr 17, 2020","5,759.80","5,751.79","5,765.14","5,713.04","-","1.84%"
"Apr 16, 2020","5,655.99","5,581.81","5,695.78","5,513.08","-","1.82%"
"Apr 15, 2020","5,554.77","5,781.55","5,793.51","5,554.77","-","-4.34%"
"Apr 14, 2020","5,806.52","5,815.34","5,873.10","5,788.30","-","0.96%"
"Apr 13, 2020","5,751.43","5,874.92","5,878.34","5,744.20","-","-2.01%"
"Apr 10, 2020","5,869.63","5,828.63","5,880.80","5,820.67","-","-0.28%"
"Apr 09, 2020","5,886.29","5,856.79","5,932.81","5,802.41","-","1.36%"
"Apr 08, 2020","5,807.32","5,674.09","5,807.32","5,658.85","-","1.44%"
"Apr 07, 2020","5,725.13","5,688.45","5,868.14","5,688.45","-","1.83%"
"Apr 06, 2020","5,622.05","5,463.75","5,650.23","5,461.08","-","3.99%"
"Apr 03, 2020","5,406.23","5,369.28","5,449.97","5,340.69","-","0.66%"
"Apr 02, 2020","5,370.54","5,464.95","5,468.88","5,280.35","-","0.03%"
"Apr 01, 2020","5,368.93","5,336.05","5,417.95","5,334.34","-","-1.90%"
"Mar 31, 2020","5,473.19","5,362.49","5,484.43","5,342.41","-","3.67%"
"Mar 30, 2020","5,279.37","5,166.50","5,279.37","5,086.47","-","0.64%"
"Mar 27, 2020","5,245.64","5,453.62","5,458.39","5,245.64","-","-3.42%"
"Mar 26, 2020","5,431.37","5,419.60","5,503.84","5,350.63","-","-0.67%"
"Mar 25, 2020","5,467.79","5,627.74","5,776.47","5,336.18","-","-0.83%"
"Mar 24, 2020","5,513.34","5,515.79","5,582.05","5,459.31","-","3.70%"
"Mar 23, 2020","5,316.38","5,286.61","5,409.17","5,205.02","-","-3.01%"
"Mar 20, 2020","5,481.53","5,464.24","5,582.47","5,432.43","-","3.49%"
"Mar 19, 2020","5,296.46","4,992.00","5,311.83","4,848.23","-","7.47%"
"Mar 18, 2020","4,928.32","5,115.57","5,119.18","4,878.25","-","-4.97%"
"Mar 17, 2020","5,185.95","5,374.94","5,524.35","5,134.03","-","-3.87%"
"Mar 16, 2020","5,394.75","5,389.83","5,505.32","5,208.93","-","-3.13%"
"Mar 13, 2020","5,569.21","5,390.21","5,685.83","5,362.75","-","4.64%"
"Mar 12, 2020","5,322.03","5,625.89","5,705.71","5,322.03","-","-10.03%"
"Mar 11, 2020","5,915.13","6,019.45","6,099.16","5,898.65","-","-0.30%"
"Mar 10, 2020","5,932.70","5,656.92","6,155.13","5,517.18","-","-4.84%"
"Mar 06, 2020","6,234.12","6,679.37","6,699.47","6,182.46","-","-8.81%"
"Mar 05, 2020","6,836.25","6,919.22","6,951.46","6,806.66","-","-0.32%"
"Mar 04, 2020","6,858.10","6,772.74","6,890.70","6,732.08","-","0.15%"
"Mar 03, 2020","6,847.63","6,891.86","6,905.60","6,782.06","-","0.50%"
"Mar 02, 2020","6,813.72","6,941.99","7,072.83","6,661.94","-","-1.08%"
"Feb 28, 2020","6,888.18","7,030.10","7,030.10","6,754.40","-","-4.22%"
"Feb 27, 2020","7,191.69","7,317.06","7,372.30","7,175.63","-","-2.93%"
"Feb 26, 2020","7,408.55","7,313.47","7,424.90","7,246.09","-","0.56%"
"Feb 25, 2020","7,366.96","7,436.49","7,469.93","7,366.96","-","-2.38%"
"Feb 21, 2020","7,546.27","7,519.11","7,581.77","7,491.90","-","-0.12%"
"Feb 20, 2020","7,555.65","7,542.03","7,596.56","7,527.33","-","0.49%"
"Feb 19, 2020","7,518.88","7,508.75","7,519.61","7,476.79","-","0.54%"
"Feb 18, 2020","7,478.16","7,506.43","7,532.04","7,464.63","-","-0.89%"
"Feb 17, 2020","7,545.31","7,569.80","7,575.22","7,514.49","-","-0.45%"
"Feb 14, 2020","7,579.27","7,629.77","7,629.77","7,541.03","-","-0.27%"
"Feb 13, 2020","7,599.65","7,598.25","7,630.12","7,572.10","-","-0.26%"
"Feb 12, 2020","7,619.83","7,644.38","7,650.16","7,571.33","-","-0.16%"
"Feb 11, 2020","7,632.08","7,604.40","7,656.60","7,586.67","-","0.65%"
"Feb 10, 2020","7,582.52","7,616.07","7,679.28","7,569.76","-","-0.32%"
"Feb 07, 2020","7,606.84","7,588.42","7,606.84","7,502.32","-","0.50%"
"Feb 06, 2020","7,569.09","7,640.42","7,664.44","7,526.41","-","-0.11%"
"Feb 05, 2020","7,577.67","7,531.02","7,614.21","7,514.54","-","0.96%"
"Feb 04, 2020","7,505.94","7,394.66","7,516.81","7,394.66","-","1.88%"
"Feb 03, 2020","7,367.52","7,267.90","7,415.72","7,267.90","-","0.63%"
"Jan 31, 2020","7,321.36","7,397.40","7,454.27","7,321.36","-","-0.90%"
"Jan 30, 2020","7,387.86","7,389.56","7,413.51","7,353.03","-","-0.29%"
"Jan 29, 2020","7,409.52","7,380.43","7,441.12","7,340.43","-","0.86%"
"Jan 28, 2020","7,346.26","7,281.05","7,360.26","7,249.35","-","1.30%"
"Jan 27, 2020","7,251.69","7,363.94","7,389.37","7,251.69","-","-2.67%"
"Jan 24, 2020","7,450.28","7,501.97","7,526.96","7,450.23","-","-0.25%"
"Jan 23, 2020","7,468.99","7,461.14","7,535.13","7,444.91","-","-0.71%"
"Jan 22, 2020","7,522.70","7,592.21","7,612.61","7,515.53","-","-0.68%"
"Jan 21, 2020","7,574.31","7,530.29","7,584.88","7,478.98","-","0.36%"
"Jan 20, 2020","7,547.33","7,523.27","7,570.76","7,498.53","-","0.80%"
"Jan 17, 2020","7,487.49","7,428.48","7,489.45","7,426.01","-","0.89%"
"Jan 16, 2020","7,421.63","7,407.09","7,459.98","7,400.61","-","0.43%"
"Jan 15, 2020","7,389.53","7,364.90","7,434.69","7,348.36","-","0.07%"
"Jan 14, 2020","7,384.16","7,435.54","7,470.41","7,374.00","-","-0.72%"
"Jan 13, 2020","7,437.77","7,348.66","7,437.82","7,337.73","-","1.30%"
"Jan 10, 2020","7,342.65","7,263.19","7,345.91","7,256.28","-","1.04%"
"Jan 09, 2020","7,266.75","7,235.11","7,280.33","7,226.56","-","0.41%"
"Jan 08, 2020","7,236.79","7,120.95","7,248.99","7,109.66","-","1.68%"
"Jan 06, 2020","7,117.30","7,147.62","7,147.62","7,069.36","-","-0.24%"
"Jan 03, 2020","7,134.61","7,113.69","7,202.97","7,111.36","-","0.54%"
