"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","7,799.55","7,832.82","7,857.13","7,713.06","-","0.59%"
"Apr 29, 2020","7,753.48","7,798.38","7,804.83","7,724.35","-","-0.41%"
"Apr 28, 2020","7,785.10","7,756.58","7,845.83","7,719.71","-","0.46%"
"Apr 27, 2020","7,749.19","7,760.04","7,835.06","7,730.67","-","0.33%"
"Apr 24, 2020","7,723.84","7,760.39","7,812.19","7,697.34","-","-0.68%"
"Apr 23, 2020","7,776.86","7,721.99","7,882.11","7,668.82","-","1.06%"
"Apr 22, 2020","7,695.67","7,507.51","7,749.27","7,507.51","-","2.50%"
"Apr 21, 2020","7,507.75","7,479.27","7,603.20","7,345.21","-","-0.34%"
"Apr 20, 2020","7,533.24","7,497.48","7,559.37","7,418.62","-","0.61%"
"Apr 17, 2020","7,487.25","7,553.38","7,574.92","7,459.99","-","-0.29%"
"Apr 16, 2020","7,509.00","7,492.04","7,643.01","7,431.49","-","0.88%"
"Apr 15, 2020","7,443.41","7,727.25","7,759.68","7,415.03","-","-4.62%"
"Apr 14, 2020","7,804.08","7,709.78","7,896.67","7,697.63","-","2.33%"
"Apr 13, 2020","7,626.63","7,671.07","7,694.96","7,534.99","-","-0.69%"
"Apr 10, 2020","7,679.48","7,613.85","7,688.58","7,600.36","-","-0.41%"
"Apr 09, 2020","7,710.74","7,517.00","7,710.74","7,489.51","-","2.56%"
"Apr 08, 2020","7,518.00","7,358.20","7,518.00","7,356.76","-","0.92%"
"Apr 07, 2020","7,449.54","7,493.69","7,531.95","7,396.49","-","0.69%"
"Apr 06, 2020","7,398.71","7,254.92","7,448.32","7,230.04","-","3.07%"
"Apr 03, 2020","7,178.50","7,164.05","7,212.86","7,102.02","-","0.03%"
"Apr 02, 2020","7,176.37","7,193.61","7,258.88","7,046.73","-","1.14%"
"Apr 01, 2020","7,095.66","7,160.85","7,275.88","7,082.40","-","-3.09%"
"Mar 31, 2020","7,322.06","7,273.87","7,401.89","7,184.89","-","1.34%"
"Mar 30, 2020","7,225.42","6,915.22","7,225.42","6,915.22","-","3.22%"
"Mar 27, 2020","6,999.89","7,189.58","7,189.58","6,890.74","-","-2.45%"
"Mar 26, 2020","7,175.40","7,026.94","7,202.69","6,897.50","-","2.49%"
"Mar 25, 2020","7,000.86","6,931.57","7,123.49","6,823.82","-","3.48%"
"Mar 24, 2020","6,765.20","6,456.95","6,811.69","6,404.94","-","10.14%"
"Mar 23, 2020","6,142.14","6,142.78","6,280.78","5,961.98","-","-1.49%"
"Mar 20, 2020","6,234.90","6,325.21","6,484.08","6,169.27","-","1.19%"
"Mar 19, 2020","6,161.77","6,027.94","6,194.07","5,799.36","-","3.61%"
"Mar 18, 2020","5,947.08","6,063.84","6,202.19","5,926.22","-","-3.75%"
"Mar 17, 2020","6,178.61","6,167.90","6,256.25","5,964.13","-","-0.80%"
"Mar 16, 2020","6,228.74","6,527.65","6,560.44","6,000.28","-","-4.75%"
"Mar 13, 2020","6,539.18","6,497.95","6,793.94","6,496.21","-","-1.02%"
"Mar 12, 2020","6,606.89","7,000.22","7,017.04","6,591.75","-","-7.76%"
"Mar 11, 2020","7,162.95","7,343.62","7,393.46","7,111.34","-","-1.00%"
"Mar 10, 2020","7,235.56","6,843.13","7,571.57","6,843.13","-","0.96%"
"Mar 06, 2020","7,166.41","7,105.81","7,178.45","7,007.58","-","0.53%"
"Mar 05, 2020","7,128.68","7,157.01","7,160.15","7,031.58","-","0.54%"
"Mar 04, 2020","7,090.62","6,996.42","7,106.12","6,934.55","-","1.02%"
"Mar 03, 2020","7,018.96","7,025.90","7,053.29","6,967.56","-","1.21%"
"Mar 02, 2020","6,935.13","7,081.13","7,135.30","6,823.61","-","-0.10%"
"Feb 28, 2020","6,942.39","7,221.86","7,221.86","6,854.28","-","-5.69%"
"Feb 27, 2020","7,361.48","7,482.59","7,540.76","7,361.48","-","-1.90%"
"Feb 26, 2020","7,504.31","7,541.15","7,579.34","7,457.59","-","-0.56%"
"Feb 25, 2020","7,546.91","7,644.24","7,742.71","7,539.64","-","-1.44%"
"Feb 21, 2020","7,657.27","7,601.18","7,695.76","7,600.69","-","0.85%"
"Feb 20, 2020","7,592.91","7,596.84","7,639.97","7,568.15","-","0.46%"
"Feb 19, 2020","7,558.08","7,531.48","7,597.55","7,517.94","-","1.25%"
"Feb 18, 2020","7,464.79","7,488.17","7,512.91","7,458.57","-","-0.30%"
"Feb 17, 2020","7,487.28","7,485.43","7,502.56","7,454.75","-","0.14%"
"Feb 14, 2020","7,477.06","7,457.97","7,484.54","7,404.09","-","0.35%"
"Feb 13, 2020","7,451.15","7,493.75","7,501.85","7,436.55","-","-0.50%"
"Feb 12, 2020","7,488.25","7,458.27","7,500.97","7,402.33","-","0.33%"
"Feb 11, 2020","7,463.88","7,458.49","7,477.75","7,433.96","-","0.53%"
"Feb 10, 2020","7,424.74","7,456.61","7,485.82","7,364.83","-","-0.37%"
"Feb 07, 2020","7,452.13","7,377.13","7,454.83","7,327.00","-","0.94%"
"Feb 06, 2020","7,382.71","7,416.86","7,427.79","7,336.40","-","0.17%"
"Feb 05, 2020","7,370.03","7,351.31","7,396.94","7,301.29","-","0.76%"
"Feb 04, 2020","7,314.58","7,299.51","7,351.66","7,295.94","-","0.53%"
"Feb 03, 2020","7,275.90","7,332.50","7,378.78","7,275.90","-","-1.09%"
"Jan 31, 2020","7,356.10","7,436.47","7,466.63","7,347.98","-","-1.06%"
"Jan 30, 2020","7,435.04","7,456.31","7,485.80","7,420.70","-","-0.32%"
"Jan 29, 2020","7,458.98","7,456.05","7,492.70","7,428.47","-","0.08%"
"Jan 28, 2020","7,452.90","7,485.62","7,498.99","7,417.23","-","-0.15%"
"Jan 27, 2020","7,463.83","7,436.68","7,491.20","7,427.17","-","-0.59%"
"Jan 24, 2020","7,508.41","7,521.07","7,546.61","7,493.95","-","0.31%"
"Jan 23, 2020","7,485.20","7,464.20","7,537.92","7,464.20","-","-0.29%"
"Jan 22, 2020","7,507.10","7,591.54","7,609.63","7,497.87","-","-1.08%"
