"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,743.76","6,894.50","6,939.54","6,689.56","-","-1.11%"
"Apr 29, 2020","6,819.67","6,662.43","6,833.65","6,658.15","-","2.67%"
"Apr 28, 2020","6,642.40","6,515.54","6,743.17","6,489.32","-","2.13%"
"Apr 27, 2020","6,503.86","6,527.10","6,609.06","6,476.20","-","-0.28%"
"Apr 24, 2020","6,522.07","6,602.30","6,612.82","6,496.59","-","-1.90%"
"Apr 23, 2020","6,648.52","6,652.03","6,700.98","6,519.12","-","1.35%"
"Apr 22, 2020","6,559.71","6,221.02","6,585.71","6,221.02","-","4.52%"
"Apr 21, 2020","6,276.21","6,226.75","6,320.87","6,123.71","-","-1.69%"
"Apr 20, 2020","6,384.15","6,446.92","6,499.22","6,349.32","-","-1.42%"
"Apr 17, 2020","6,476.33","6,533.24","6,542.51","6,440.62","-","0.99%"
"Apr 16, 2020","6,412.68","6,378.89","6,532.59","6,260.20","-","0.61%"
"Apr 15, 2020","6,373.74","6,694.11","6,694.11","6,330.19","-","-5.73%"
"Apr 14, 2020","6,760.89","6,963.60","6,974.79","6,721.29","-","-1.70%"
"Apr 13, 2020","6,877.88","7,038.68","7,045.21","6,846.48","-","-2.37%"
"Apr 10, 2020","7,045.12","7,001.30","7,049.88","6,989.55","-","-1.12%"
"Apr 09, 2020","7,124.62","7,099.38","7,180.06","6,939.06","-","1.26%"
"Apr 08, 2020","7,036.04","6,908.00","7,036.04","6,879.72","-","1.02%"
"Apr 07, 2020","6,965.00","7,115.01","7,151.34","6,919.32","-","-0.63%"
"Apr 06, 2020","7,009.21","7,028.97","7,062.74","6,913.44","-","1.13%"
"Apr 03, 2020","6,930.67","6,822.15","7,053.35","6,768.86","-","2.14%"
"Apr 02, 2020","6,785.32","6,657.83","6,863.43","6,503.11","-","5.31%"
"Apr 01, 2020","6,442.89","6,318.86","6,492.06","6,311.32","-","-0.46%"
"Mar 31, 2020","6,472.72","6,318.70","6,476.58","6,262.49","-","4.96%"
"Mar 30, 2020","6,166.82","6,079.30","6,194.77","6,002.67","-","0.50%"
"Mar 27, 2020","6,136.15","6,425.82","6,447.24","6,022.59","-","-4.39%"
"Mar 26, 2020","6,417.58","6,244.70","6,497.35","6,146.87","-","1.99%"
"Mar 25, 2020","6,292.39","6,274.60","6,421.95","6,052.52","-","2.56%"
"Mar 24, 2020","6,135.10","6,087.31","6,192.09","5,961.48","-","7.13%"
"Mar 23, 2020","5,726.73","5,636.61","5,881.13","5,587.97","-","-2.72%"
"Mar 20, 2020","5,886.92","5,979.50","6,169.15","5,843.98","-","2.49%"
"Mar 19, 2020","5,743.78","5,297.61","5,775.97","5,115.70","-","10.25%"
"Mar 18, 2020","5,209.83","5,490.39","5,492.32","5,182.28","-","-6.39%"
"Mar 17, 2020","5,565.36","5,683.01","5,793.09","5,451.27","-","-2.01%"
"Mar 16, 2020","5,679.35","5,655.08","5,723.79","5,477.94","-","-1.51%"
"Mar 13, 2020","5,766.16","5,867.41","6,112.78","5,766.16","-","-1.98%"
"Mar 12, 2020","5,882.72","6,106.36","6,186.83","5,858.14","-","-7.93%"
"Mar 11, 2020","6,389.58","6,517.89","6,536.31","6,281.53","-","-0.27%"
"Mar 10, 2020","6,407.07","6,373.83","6,872.19","6,251.67","-","-11.10%"
