"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,177.86","2,195.62","2,208.44","2,159.32","-","-0.11%"
"Apr 29, 2020","2,180.17","2,153.36","2,200.43","2,144.20","-","1.66%"
"Apr 28, 2020","2,144.65","2,113.62","2,178.27","2,107.63","-","1.27%"
"Apr 27, 2020","2,117.80","2,093.55","2,119.76","2,091.30","-","1.64%"
"Apr 24, 2020","2,083.66","2,111.33","2,129.85","2,080.50","-","-1.88%"
"Apr 23, 2020","2,123.65","2,105.60","2,128.41","2,079.69","-","1.39%"
"Apr 22, 2020","2,094.58","2,042.33","2,118.53","2,040.28","-","2.12%"
"Apr 21, 2020","2,051.05","2,050.90","2,073.15","1,996.74","-","-1.34%"
"Apr 20, 2020","2,078.95","2,083.33","2,099.68","2,071.09","-","0.09%"
"Apr 17, 2020","2,077.08","2,091.40","2,105.30","2,073.29","-","0.57%"
"Apr 16, 2020","2,065.26","2,070.33","2,100.61","2,038.53","-","-0.07%"
"Apr 15, 2020","2,066.73","2,104.86","2,105.34","2,052.20","-","-2.10%"
"Apr 14, 2020","2,111.00","2,100.90","2,119.20","2,094.03","-","1.15%"
"Apr 13, 2020","2,086.92","2,104.95","2,110.07","2,062.01","-","-1.07%"
"Apr 10, 2020","2,109.55","2,082.63","2,109.55","2,082.63","-","0.09%"
"Apr 09, 2020","2,107.63","2,127.64","2,134.40","2,096.68","-","-0.87%"
"Apr 08, 2020","2,126.23","2,079.04","2,126.23","2,079.04","-","1.36%"
"Apr 07, 2020","2,097.75","2,110.93","2,126.81","2,084.75","-","0.54%"
"Apr 06, 2020","2,086.43","2,022.89","2,096.52","2,015.49","-","4.24%"
"Apr 03, 2020","2,001.59","2,013.81","2,046.86","1,992.78","-","-0.61%"
"Apr 02, 2020","2,013.79","2,016.06","2,040.48","1,999.01","-","0.63%"
"Apr 01, 2020","2,001.09","2,000.84","2,024.10","1,985.58","-","-1.05%"
"Mar 31, 2020","2,022.26","2,002.04","2,026.74","1,976.44","-","1.42%"
"Mar 30, 2020","1,994.00","1,920.46","1,995.37","1,902.15","-","2.82%"
"Mar 27, 2020","1,939.24","1,954.08","1,966.99","1,897.86","-","0.37%"
"Mar 26, 2020","1,932.04","1,876.27","1,947.68","1,843.35","-","2.73%"
"Mar 25, 2020","1,880.78","1,908.78","1,947.25","1,825.76","-","-0.23%"
"Mar 24, 2020","1,885.13","1,835.04","1,887.33","1,828.48","-","5.85%"
"Mar 23, 2020","1,780.91","1,776.85","1,857.72","1,773.97","-","-4.33%"
"Mar 20, 2020","1,861.56","1,850.58","1,911.80","1,850.58","-","2.45%"
"Mar 19, 2020","1,816.98","1,775.47","1,823.85","1,722.83","-","3.04%"
