"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,285.92","1,300.94","1,308.29","1,267.94","-","-0.41%"
"Apr 29, 2020","1,291.27","1,275.17","1,300.22","1,275.17","-","1.20%"
"Apr 28, 2020","1,275.97","1,266.60","1,286.16","1,262.60","-","0.59%"
"Apr 27, 2020","1,268.46","1,263.28","1,275.66","1,259.94","-","0.89%"
"Apr 24, 2020","1,257.27","1,267.15","1,272.89","1,252.86","-","-1.16%"
"Apr 23, 2020","1,272.05","1,281.68","1,291.35","1,266.71","-","-0.28%"
"Apr 22, 2020","1,275.57","1,252.00","1,282.28","1,252.00","-","1.34%"
"Apr 21, 2020","1,258.66","1,242.83","1,261.89","1,226.77","-","0.16%"
"Apr 20, 2020","1,256.64","1,263.38","1,268.28","1,251.95","-","-0.66%"
"Apr 17, 2020","1,264.97","1,275.41","1,277.81","1,248.19","-","0.87%"
"Apr 16, 2020","1,254.04","1,238.06","1,262.83","1,216.09","-","1.82%"
"Apr 15, 2020","1,231.66","1,274.95","1,278.70","1,230.27","-","-4.03%"
"Apr 14, 2020","1,283.41","1,305.37","1,309.45","1,280.48","-","-1.03%"
"Apr 13, 2020","1,296.73","1,327.87","1,327.87","1,281.13","-","-1.97%"
"Apr 10, 2020","1,322.77","1,300.71","1,322.77","1,300.71","-","0.63%"
"Apr 09, 2020","1,314.55","1,314.08","1,327.13","1,301.69","-","1.05%"
"Apr 08, 2020","1,300.87","1,289.09","1,304.02","1,276.13","-","0.42%"
"Apr 07, 2020","1,295.48","1,293.03","1,322.94","1,284.69","-","1.89%"
"Apr 06, 2020","1,271.45","1,251.57","1,275.95","1,241.78","-","3.16%"
"Apr 03, 2020","1,232.54","1,209.64","1,240.63","1,207.30","-","1.86%"
"Apr 02, 2020","1,210.07","1,224.82","1,236.86","1,170.42","-","1.29%"
"Apr 01, 2020","1,194.62","1,174.33","1,204.71","1,173.60","-","-0.01%"
"Mar 31, 2020","1,194.72","1,179.25","1,206.01","1,174.95","-","3.30%"
"Mar 30, 2020","1,156.59","1,138.21","1,165.51","1,113.09","-","-0.11%"
"Mar 27, 2020","1,157.81","1,209.46","1,215.93","1,141.12","-","-3.68%"
"Mar 26, 2020","1,202.09","1,195.84","1,222.23","1,164.30","-","-1.51%"
"Mar 25, 2020","1,220.56","1,218.47","1,300.15","1,151.61","-","3.28%"
"Mar 24, 2020","1,181.85","1,172.26","1,190.64","1,136.93","-","7.44%"
"Mar 23, 2020","1,099.97","1,060.74","1,135.52","1,039.32","-","-1.21%"
"Mar 20, 2020","1,113.44","1,069.06","1,170.48","1,069.06","-","7.61%"
"Mar 19, 2020","1,034.69","986.13","1,044.11","946.36","-","3.05%"
"Mar 18, 2020","1,004.05","1,080.85","1,084.97","1,003.60","-","-9.46%"
"Mar 17, 2020","1,109.00","1,146.37","1,181.11","1,088.54","-","-4.68%"
"Mar 16, 2020","1,163.40","1,191.97","1,192.52","1,102.89","-","-5.98%"
"Mar 13, 2020","1,237.36","1,186.08","1,268.42","1,181.72","-","2.95%"
"Mar 12, 2020","1,201.87","1,264.73","1,268.47","1,176.91","-","-8.99%"
"Mar 11, 2020","1,320.59","1,353.85","1,371.62","1,303.99","-","-1.98%"
"Mar 10, 2020","1,347.21","1,294.90","1,392.43","1,256.32","-","-4.32%"
"Mar 06, 2020","1,407.97","1,421.62","1,429.48","1,385.23","-","-3.34%"
"Mar 05, 2020","1,456.68","1,501.93","1,505.00","1,447.59","-","-2.27%"
"Mar 04, 2020","1,490.46","1,501.35","1,501.38","1,479.53","-","-1.13%"
"Mar 03, 2020","1,507.46","1,529.89","1,533.36","1,493.86","-","1.18%"
"Mar 02, 2020","1,489.95","1,513.63","1,565.77","1,462.78","-","1.46%"
"Feb 28, 2020","1,468.54","1,537.43","1,537.43","1,443.21","-","-6.82%"
"Feb 27, 2020","1,576.09","1,650.02","1,659.25","1,575.68","-","-5.95%"
"Feb 26, 2020","1,675.83","1,683.53","1,683.53","1,622.38","-","-1.05%"
"Feb 25, 2020","1,693.59","1,723.76","1,735.15","1,690.71","-","-3.90%"
"Feb 21, 2020","1,762.29","1,758.20","1,769.49","1,747.78","-","-0.29%"
"Feb 20, 2020","1,767.50","1,789.88","1,791.67","1,764.92","-","-0.69%"
"Feb 19, 2020","1,779.80","1,779.74","1,800.37","1,775.92","-","-0.08%"
"Feb 18, 2020","1,781.19","1,806.62","1,807.34","1,768.07","-","-1.79%"
"Feb 17, 2020","1,813.63","1,816.01","1,817.72","1,807.59","-","0.47%"
"Feb 14, 2020","1,805.21","1,807.20","1,811.94","1,793.84","-","-0.01%"
"Feb 13, 2020","1,805.34","1,802.90","1,826.31","1,792.85","-","0.07%"
"Feb 12, 2020","1,804.07","1,785.04","1,808.71","1,783.12","-","1.20%"
"Feb 11, 2020","1,782.67","1,795.65","1,801.72","1,774.02","-","-0.44%"
"Feb 10, 2020","1,790.57","1,805.61","1,824.30","1,779.27","-","-0.67%"
"Feb 07, 2020","1,802.62","1,799.71","1,804.40","1,774.00","-","0.64%"
"Feb 06, 2020","1,791.09","1,779.66","1,802.27","1,771.69","-","1.28%"
"Feb 05, 2020","1,768.37","1,717.85","1,775.88","1,715.47","-","3.32%"
"Feb 04, 2020","1,711.53","1,700.08","1,725.56","1,690.00","-","2.11%"
"Feb 03, 2020","1,676.22","1,655.42","1,684.59","1,655.42","-","0.82%"
"Jan 31, 2020","1,662.63","1,683.69","1,688.12","1,662.21","-","-0.69%"
"Jan 30, 2020","1,674.26","1,666.84","1,691.92","1,657.75","-","-0.33%"
"Jan 29, 2020","1,679.76","1,691.42","1,694.48","1,675.73","-","0.07%"
"Jan 28, 2020","1,678.58","1,694.75","1,695.60","1,659.08","-","-0.80%"
"Jan 27, 2020","1,692.06","1,700.85","1,719.48","1,664.04","-","-3.52%"
"Jan 24, 2020","1,753.87","1,757.58","1,767.99","1,752.34","-","0.05%"
"Jan 23, 2020","1,753.08","1,739.54","1,771.33","1,730.93","-","0.42%"
"Jan 22, 2020","1,745.71","1,758.63","1,771.10","1,739.51","-","-0.49%"
"Jan 21, 2020","1,754.22","1,773.54","1,773.54","1,748.57","-","-1.05%"
"Jan 20, 2020","1,772.85","1,726.92","1,776.59","1,726.92","-","3.47%"
"Jan 17, 2020","1,713.46","1,699.59","1,720.79","1,699.59","-","0.40%"
"Jan 16, 2020","1,706.62","1,707.73","1,720.32","1,703.19","-","0.05%"
"Jan 15, 2020","1,705.78","1,690.65","1,720.10","1,687.69","-","0.94%"
"Jan 14, 2020","1,689.89","1,668.02","1,711.54","1,658.78","-","1.67%"
