"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,054.49","1,073.44","1,079.33","1,052.12","-","-1.00%"
"Apr 29, 2020","1,065.17","1,036.60","1,065.88","1,030.10","-","3.54%"
"Apr 28, 2020","1,028.77","1,006.91","1,034.44","1,006.48","-","2.09%"
"Apr 27, 2020","1,007.68","1,015.11","1,022.34","999.38","-","1.08%"
"Apr 24, 2020","996.87","1,005.30","1,010.73","996.07","-","-2.23%"
"Apr 23, 2020","1,019.59","1,003.00","1,019.59","1,003.00","-","1.66%"
"Apr 22, 2020","1,002.97","1,002.13","1,005.94","993.24","-","-0.04%"
"Apr 21, 2020","1,003.34","1,013.46","1,021.14","1,003.00","-","-2.28%"
"Apr 20, 2020","1,026.76","1,043.28","1,043.36","1,012.32","-","-0.79%"
"Apr 17, 2020","1,034.90","1,033.96","1,042.28","1,026.20","-","2.36%"
"Apr 16, 2020","1,011.07","1,026.78","1,031.97","1,007.04","-","-0.52%"
"Apr 15, 2020","1,016.34","1,047.90","1,052.70","1,013.40","-","-3.66%"
"Apr 14, 2020","1,054.93","1,054.92","1,058.78","1,040.39","-","3.01%"
"Apr 09, 2020","1,024.14","1,025.08","1,036.35","1,008.66","-","1.72%"
"Apr 08, 2020","1,006.78","1,005.62","1,014.53","998.82","-","-0.45%"
"Apr 07, 2020","1,011.35","989.97","1,026.89","989.97","-","4.31%"
"Apr 06, 2020","969.57","964.38","970.72","954.29","-","4.55%"
"Apr 03, 2020","927.41","935.48","940.67","926.11","-","-0.99%"
"Apr 02, 2020","936.71","940.34","949.11","926.01","-","-0.18%"
"Apr 01, 2020","938.41","949.96","958.38","935.68","-","-3.78%"
"Mar 31, 2020","975.24","954.02","976.26","944.32","-","3.04%"
"Mar 30, 2020","946.51","955.71","958.43","911.42","-","-1.89%"
"Mar 27, 2020","964.73","982.54","983.24","944.06","-","-2.29%"
"Mar 26, 2020","987.29","943.58","987.65","934.51","-","3.26%"
"Mar 25, 2020","956.15","939.58","960.05","920.44","-","5.45%"
"Mar 24, 2020","906.74","886.37","910.46","882.30","-","6.11%"
"Mar 23, 2020","854.54","847.00","879.54","830.58","-","-2.53%"
"Mar 20, 2020","876.69","846.63","892.55","846.63","-","6.04%"
"Mar 19, 2020","826.72","844.13","855.36","815.87","-","0.36%"
"Mar 18, 2020","823.74","873.49","882.40","808.39","-","-8.77%"
"Mar 17, 2020","902.92","916.07","932.30","849.72","-","2.67%"
"Mar 16, 2020","879.48","910.60","910.60","832.15","-","-7.58%"
"Mar 13, 2020","951.58","953.42","1,020.35","935.58","-","4.45%"
"Mar 12, 2020","911.03","988.22","1,002.73","906.47","-","-13.88%"
"Mar 11, 2020","1,057.92","1,100.80","1,110.49","1,051.67","-","-2.81%"
"Mar 10, 2020","1,088.53","1,124.48","1,162.24","1,087.17","-","-2.32%"
"Mar 09, 2020","1,114.42","1,147.63","1,168.25","1,114.42","-","-9.03%"
"Mar 06, 2020","1,225.02","1,264.82","1,266.02","1,217.58","-","-4.65%"
"Mar 05, 2020","1,284.77","1,315.54","1,320.44","1,276.46","-","-1.65%"
"Mar 04, 2020","1,306.30","1,300.00","1,317.21","1,293.71","-","0.78%"
"Mar 03, 2020","1,296.19","1,290.76","1,318.93","1,288.31","-","1.83%"
"Mar 02, 2020","1,272.90","1,288.89","1,296.35","1,249.68","-","0.85%"
"Feb 28, 2020","1,262.19","1,251.36","1,268.39","1,238.54","-","-1.53%"
"Feb 27, 2020","1,281.79","1,301.44","1,304.33","1,266.18","-","-2.74%"
"Feb 26, 2020","1,317.87","1,308.60","1,325.44","1,283.42","-","-0.05%"
"Feb 25, 2020","1,318.55","1,354.68","1,357.79","1,318.44","-","-2.44%"
"Feb 24, 2020","1,351.49","1,374.39","1,374.39","1,343.63","-","-3.95%"
"Feb 21, 2020","1,407.14","1,412.94","1,412.94","1,401.99","-","-0.75%"
"Feb 20, 2020","1,417.83","1,419.37","1,424.81","1,411.75","-","-0.27%"
"Feb 19, 2020","1,421.64","1,430.38","1,430.38","1,418.46","-","0.08%"
"Feb 18, 2020","1,420.49","1,422.75","1,427.52","1,419.78","-","-0.87%"
"Feb 17, 2020","1,432.89","1,420.09","1,433.26","1,417.12","-","1.18%"
"Feb 14, 2020","1,416.17","1,415.52","1,423.10","1,414.12","-","0.14%"
"Feb 13, 2020","1,414.20","1,416.76","1,420.21","1,402.71","-","-0.55%"
"Feb 12, 2020","1,422.08","1,420.54","1,423.39","1,414.17","-","0.31%"
"Feb 11, 2020","1,417.69","1,396.62","1,417.87","1,394.50","-","2.20%"
"Feb 10, 2020","1,387.12","1,385.76","1,391.37","1,381.24","-","0.02%"
"Feb 07, 2020","1,386.80","1,386.69","1,387.24","1,374.82","-","-0.01%"
"Feb 06, 2020","1,386.95","1,400.10","1,405.43","1,385.69","-","-0.69%"
"Feb 05, 2020","1,396.62","1,373.37","1,405.73","1,368.97","-","1.64%"
"Feb 04, 2020","1,374.10","1,362.47","1,376.36","1,359.79","-","1.38%"
"Feb 03, 2020","1,355.36","1,359.44","1,362.54","1,350.34","-","-0.13%"
"Jan 31, 2020","1,357.12","1,377.54","1,379.28","1,354.11","-","-1.30%"
"Jan 30, 2020","1,374.97","1,389.31","1,390.89","1,370.49","-","-1.73%"
"Jan 29, 2020","1,399.15","1,395.32","1,402.51","1,392.36","-","0.23%"
"Jan 28, 2020","1,395.95","1,392.38","1,397.46","1,381.75","-","0.53%"
"Jan 27, 2020","1,388.64","1,404.61","1,405.85","1,386.49","-","-2.15%"
"Jan 24, 2020","1,419.18","1,417.88","1,426.39","1,417.02","-","0.80%"
"Jan 23, 2020","1,407.91","1,415.79","1,421.83","1,407.81","-","-1.66%"
"Jan 22, 2020","1,431.70","1,438.39","1,441.21","1,429.41","-","-0.26%"
"Jan 21, 2020","1,435.40","1,427.99","1,438.58","1,421.53","-","-0.03%"
"Jan 20, 2020","1,435.81","1,433.38","1,438.89","1,428.31","-","0.36%"
"Jan 17, 2020","1,430.67","1,418.85","1,434.87","1,418.85","-","1.33%"
"Jan 16, 2020","1,411.95","1,403.26","1,413.95","1,400.83","-","0.63%"
"Jan 15, 2020","1,403.17","1,403.54","1,406.56","1,398.98","-","-0.23%"
"Jan 14, 2020","1,406.45","1,398.57","1,406.45","1,388.67","-","0.62%"
"Jan 13, 2020","1,397.72","1,397.47","1,401.30","1,393.11","-","0.15%"
"Jan 10, 2020","1,395.67","1,401.33","1,402.26","1,391.99","-","-0.06%"
"Jan 09, 2020","1,396.50","1,409.78","1,409.93","1,395.31","-","-0.30%"
"Jan 08, 2020","1,400.70","1,387.55","1,400.92","1,384.54","-","0.41%"
"Jan 07, 2020","1,395.04","1,394.14","1,398.71","1,388.41","-","0.31%"
