"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,277.61","4,424.94","4,453.20","4,272.52","-","-2.35%"
"Apr 29, 2020","4,380.62","4,328.51","4,396.15","4,272.49","-","1.62%"
"Apr 28, 2020","4,310.62","4,378.84","4,393.88","4,279.96","-","-1.30%"
"Apr 27, 2020","4,367.33","4,326.09","4,370.14","4,324.12","-","3.20%"
"Apr 24, 2020","4,231.79","4,273.26","4,281.56","4,216.39","-","-1.58%"
"Apr 23, 2020","4,299.61","4,396.89","4,403.18","4,290.72","-","-1.07%"
"Apr 22, 2020","4,346.17","4,429.15","4,440.54","4,336.18","-","-1.29%"
"Apr 21, 2020","4,403.12","4,381.45","4,445.79","4,379.35","-","-0.62%"
"Apr 20, 2020","4,430.39","4,481.28","4,481.28","4,352.02","-","-0.37%"
"Apr 17, 2020","4,446.95","4,392.11","4,527.40","4,389.71","-","2.95%"
"Apr 16, 2020","4,319.73","4,483.37","4,491.22","4,297.40","-","-2.98%"
"Apr 15, 2020","4,452.21","4,498.25","4,534.08","4,393.53","-","-2.20%"
"Apr 14, 2020","4,552.28","4,446.96","4,581.51","4,446.96","-","3.54%"
"Apr 09, 2020","4,396.51","4,343.45","4,446.21","4,273.55","-","2.68%"
"Apr 08, 2020","4,281.70","4,290.21","4,318.88","4,249.17","-","-0.73%"
"Apr 07, 2020","4,313.04","4,275.76","4,387.25","4,262.47","-","2.75%"
"Apr 06, 2020","4,197.46","4,138.20","4,251.05","4,098.77","-","4.17%"
"Apr 03, 2020","4,029.59","4,049.18","4,067.15","3,992.83","-","-0.18%"
"Apr 02, 2020","4,036.67","4,111.70","4,137.54","3,980.33","-","-1.51%"
"Apr 01, 2020","4,098.70","4,186.63","4,203.92","4,092.19","-","-3.00%"
"Mar 31, 2020","4,225.27","4,158.74","4,225.35","4,114.74","-","2.83%"
"Mar 30, 2020","4,109.15","4,110.81","4,152.76","4,038.89","-","0.16%"
"Mar 27, 2020","4,102.58","4,155.37","4,170.92","4,011.99","-","-2.13%"
"Mar 26, 2020","4,191.75","4,067.31","4,191.92","3,963.53","-","2.89%"
"Mar 25, 2020","4,073.82","4,189.64","4,258.47","3,977.95","-","-0.95%"
"Mar 24, 2020","4,112.78","3,919.08","4,113.54","3,919.08","-","8.52%"
