"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","777.78","790.52","803.69","773.73","-","-0.46%"
"Apr 29, 2020","781.35","772.27","781.35","752.80","-","1.48%"
"Apr 28, 2020","769.96","777.14","777.14","758.45","-","0.03%"
"Apr 27, 2020","769.74","775.13","778.94","759.39","-","1.34%"
"Apr 24, 2020","759.58","768.04","771.49","756.48","-","-2.29%"
"Apr 23, 2020","777.40","782.58","783.65","769.44","-","1.30%"
"Apr 22, 2020","767.42","769.61","777.09","754.78","-","0.41%"
"Apr 21, 2020","764.26","791.72","794.70","763.99","-","-3.50%"
"Apr 20, 2020","791.95","820.95","821.26","780.55","-","-2.13%"
"Apr 17, 2020","809.15","824.83","824.83","807.10","-","2.25%"
"Apr 16, 2020","791.35","805.46","812.95","791.14","-","0.27%"
"Apr 15, 2020","789.21","844.17","844.17","785.06","-","-5.29%"
"Apr 14, 2020","833.26","850.58","852.27","830.69","-","1.38%"
"Apr 09, 2020","821.94","820.10","834.60","812.79","-","2.94%"
"Apr 08, 2020","798.46","794.16","799.48","778.47","-","0.90%"
"Apr 07, 2020","791.32","778.66","820.34","770.66","-","5.41%"
"Apr 06, 2020","750.73","732.96","754.00","729.62","-","7.04%"
"Apr 03, 2020","701.35","709.99","712.12","700.06","-","0.19%"
"Apr 02, 2020","700.03","736.39","736.39","697.89","-","1.21%"
"Apr 01, 2020","691.64","708.39","713.72","691.64","-","-2.97%"
"Mar 31, 2020","712.82","720.36","728.11","701.46","-","1.58%"
"Mar 30, 2020","701.70","722.64","730.06","688.44","-","-3.57%"
"Mar 27, 2020","727.70","772.53","772.53","726.52","-","-5.81%"
"Mar 26, 2020","772.58","752.73","772.73","741.12","-","3.00%"
"Mar 25, 2020","750.07","760.20","771.00","720.09","-","3.70%"
"Mar 24, 2020","723.33","702.61","723.33","686.34","-","5.97%"
"Mar 23, 2020","682.56","732.93","764.24","682.56","-","-12.67%"
"Mar 20, 2020","781.58","710.85","781.58","706.90","-","13.09%"
"Mar 19, 2020","691.09","722.89","776.53","680.24","-","-3.22%"
"Mar 18, 2020","714.09","710.49","760.93","695.15","-","-0.87%"
"Mar 17, 2020","720.38","742.09","756.10","680.27","-","1.79%"
"Mar 16, 2020","707.74","829.10","829.10","694.67","-","-18.23%"
"Mar 13, 2020","865.49","887.05","928.33","841.49","-","2.77%"
"Mar 12, 2020","842.15","933.81","933.81","840.92","-","-14.84%"
"Mar 11, 2020","988.85","1,031.47","1,038.90","984.14","-","-2.70%"
"Mar 10, 2020","1,016.29","1,060.96","1,088.84","1,013.06","-","-1.50%"
"Mar 09, 2020","1,031.79","1,030.14","1,047.54","1,007.84","-","-5.41%"
