"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","251.00","261.72","265.02","248.88","-","-4.94%"
"Apr 29, 2020","264.05","250.39","264.05","249.28","-","5.81%"
"Apr 28, 2020","249.56","235.13","252.33","235.05","-","5.39%"
"Apr 27, 2020","236.80","239.87","239.87","232.42","-","2.68%"
"Apr 24, 2020","230.61","234.01","237.35","230.59","-","-4.06%"
"Apr 23, 2020","240.37","234.84","243.46","233.79","-","3.51%"
"Apr 22, 2020","232.23","228.75","232.86","226.55","-","2.61%"
"Apr 21, 2020","226.33","231.76","231.99","226.31","-","-4.48%"
"Apr 20, 2020","236.95","241.35","241.35","230.24","-","-0.64%"
"Apr 17, 2020","238.47","248.74","248.74","237.26","-","0.39%"
"Apr 16, 2020","237.54","247.42","249.00","235.80","-","-2.16%"
"Apr 15, 2020","242.79","256.23","256.23","242.65","-","-5.43%"
"Apr 14, 2020","256.72","266.87","266.87","255.46","-","-1.88%"
"Apr 09, 2020","261.65","267.51","267.71","260.39","-","-0.48%"
"Apr 08, 2020","262.91","258.45","264.39","255.80","-","-0.39%"
"Apr 07, 2020","263.94","266.53","275.06","257.22","-","0.59%"
"Apr 06, 2020","262.39","259.27","263.25","255.29","-","6.20%"
"Apr 03, 2020","247.08","247.42","249.78","243.48","-","-0.89%"
"Apr 02, 2020","249.29","254.04","256.72","243.99","-","-0.72%"
"Apr 01, 2020","251.09","251.66","253.66","248.66","-","-3.84%"
"Mar 31, 2020","261.11","263.68","266.23","257.54","-","0.35%"
"Mar 30, 2020","260.19","266.34","267.49","254.99","-","-4.35%"
"Mar 27, 2020","272.03","280.12","281.30","267.34","-","-5.25%"
"Mar 26, 2020","287.09","276.05","290.01","274.64","-","0.41%"
"Mar 25, 2020","285.93","288.58","293.69","270.46","-","4.54%"
"Mar 24, 2020","273.50","258.85","273.50","256.56","-","10.34%"
"Mar 23, 2020","247.86","240.35","259.43","240.28","-","-1.60%"
"Mar 20, 2020","251.89","257.46","262.31","241.98","-","1.54%"
"Mar 19, 2020","248.06","250.05","253.04","242.91","-","1.76%"
"Mar 18, 2020","243.77","251.79","258.76","241.31","-","-4.68%"
"Mar 17, 2020","255.74","259.49","260.00","236.54","-","6.79%"
"Mar 16, 2020","239.47","260.10","260.97","231.89","-","-11.29%"
"Mar 13, 2020","269.96","282.17","303.47","262.97","-","0.67%"
"Mar 12, 2020","268.15","303.39","303.50","266.63","-","-15.68%"
"Mar 11, 2020","318.01","315.15","329.96","311.80","-","2.81%"
"Mar 10, 2020","309.32","320.24","334.93","306.09","-","-1.27%"
"Mar 09, 2020","313.29","335.50","335.50","309.37","-","-11.63%"
"Mar 06, 2020","354.51","355.10","359.05","348.20","-","-2.38%"
"Mar 05, 2020","363.14","383.77","383.79","360.74","-","-4.58%"
"Mar 04, 2020","380.56","379.34","384.21","372.52","-","0.96%"
"Mar 03, 2020","376.94","383.66","392.74","375.14","-","-0.22%"
"Mar 02, 2020","377.77","392.25","392.25","367.28","-","-1.62%"
"Feb 28, 2020","384.00","387.06","388.42","376.59","-","-3.29%"
"Feb 27, 2020","397.07","406.00","407.89","391.53","-","-3.64%"
"Feb 26, 2020","412.06","409.15","415.97","401.76","-","0.46%"
"Feb 25, 2020","410.17","424.92","424.92","409.38","-","-3.03%"
"Feb 24, 2020","422.97","427.66","429.32","420.55","-","-3.86%"
"Feb 21, 2020","439.95","440.81","443.26","436.40","-","-0.87%"
"Feb 20, 2020","443.81","449.97","452.85","443.81","-","-1.57%"
"Feb 19, 2020","450.89","451.62","453.85","448.18","-","0.45%"
"Feb 18, 2020","448.89","453.90","455.49","448.55","-","-1.25%"
"Feb 17, 2020","454.59","454.21","456.12","452.62","-","0.37%"
"Feb 14, 2020","452.93","456.85","457.14","452.93","-","-0.72%"
"Feb 13, 2020","456.21","453.24","456.23","448.80","-","-0.39%"
