"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,397.98","1,423.63","1,426.07","1,391.97","-","-1.23%"
"Apr 29, 2020","1,415.36","1,355.24","1,417.90","1,355.01","-","3.32%"
"Apr 28, 2020","1,369.83","1,342.31","1,369.83","1,335.08","-","1.64%"
"Apr 27, 2020","1,347.69","1,352.85","1,353.81","1,330.67","-","1.55%"
"Apr 24, 2020","1,327.15","1,327.21","1,346.94","1,315.79","-","-1.23%"
"Apr 23, 2020","1,343.69","1,351.80","1,363.97","1,343.69","-","-0.54%"
"Apr 22, 2020","1,350.92","1,328.43","1,350.93","1,325.17","-","2.48%"
"Apr 21, 2020","1,318.18","1,334.99","1,346.34","1,318.18","-","-2.35%"
"Apr 20, 2020","1,349.92","1,354.62","1,354.62","1,331.27","-","-0.18%"
"Apr 17, 2020","1,352.39","1,350.64","1,371.81","1,340.85","-","1.21%"
"Apr 16, 2020","1,336.22","1,353.44","1,354.23","1,332.36","-","-0.07%"
"Apr 15, 2020","1,337.12","1,365.03","1,373.04","1,333.19","-","-2.68%"
"Apr 14, 2020","1,373.88","1,407.97","1,407.97","1,363.58","-","-0.64%"
"Apr 09, 2020","1,382.78","1,364.09","1,392.49","1,344.27","-","2.14%"
"Apr 08, 2020","1,353.85","1,363.30","1,366.06","1,336.70","-","-1.25%"
"Apr 07, 2020","1,371.04","1,383.61","1,392.11","1,358.26","-","0.47%"
"Apr 06, 2020","1,364.66","1,398.02","1,398.20","1,363.32","-","0.24%"
"Apr 03, 2020","1,361.44","1,358.68","1,370.81","1,343.31","-","0.73%"
"Apr 02, 2020","1,351.53","1,347.05","1,364.94","1,305.22","-","1.13%"
"Apr 01, 2020","1,336.48","1,339.64","1,358.40","1,329.36","-","-2.28%"
"Mar 31, 2020","1,367.68","1,342.12","1,367.68","1,321.15","-","3.05%"
"Mar 30, 2020","1,327.20","1,333.53","1,344.94","1,291.50","-","-0.19%"
"Mar 27, 2020","1,329.71","1,337.82","1,351.97","1,307.62","-","-2.35%"
"Mar 26, 2020","1,361.75","1,315.40","1,361.75","1,310.41","-","1.39%"
"Mar 25, 2020","1,343.03","1,354.37","1,361.79","1,266.98","-","2.79%"
"Mar 24, 2020","1,306.59","1,253.53","1,306.59","1,248.83","-","5.63%"
"Mar 23, 2020","1,236.95","1,242.00","1,282.61","1,220.88","-","-3.43%"
"Mar 20, 2020","1,280.84","1,343.05","1,369.05","1,280.84","-","-1.10%"
"Mar 19, 2020","1,295.12","1,279.70","1,302.68","1,254.17","-","2.04%"
"Mar 18, 2020","1,269.21","1,299.78","1,304.85","1,236.22","-","-2.87%"
"Mar 17, 2020","1,306.75","1,278.15","1,328.54","1,244.93","-","7.28%"
"Mar 16, 2020","1,218.09","1,221.56","1,232.68","1,155.87","-","-4.60%"
"Mar 13, 2020","1,276.82","1,257.50","1,378.34","1,241.74","-","5.18%"
"Mar 12, 2020","1,213.90","1,349.16","1,363.14","1,207.22","-","-14.31%"
"Mar 11, 2020","1,416.54","1,453.44","1,460.71","1,401.88","-","0.50%"
"Mar 10, 2020","1,409.53","1,487.18","1,517.43","1,409.53","-","-4.33%"
"Mar 09, 2020","1,473.36","1,514.25","1,542.16","1,463.41","-","-8.03%"
"Mar 06, 2020","1,602.07","1,654.40","1,654.98","1,592.65","-","-4.37%"
"Mar 05, 2020","1,675.26","1,704.97","1,707.43","1,661.88","-","-1.49%"
"Mar 04, 2020","1,700.53","1,658.10","1,700.53","1,646.53","-","2.63%"
"Mar 03, 2020","1,656.93","1,660.52","1,683.26","1,651.37","-","0.90%"
"Mar 02, 2020","1,642.17","1,631.76","1,646.44","1,586.62","-","2.62%"
"Feb 28, 2020","1,600.27","1,613.14","1,620.71","1,574.68","-","-3.67%"
"Feb 27, 2020","1,661.29","1,704.23","1,722.94","1,652.33","-","-3.54%"
"Feb 26, 2020","1,722.26","1,671.20","1,726.73","1,655.29","-","2.83%"
"Feb 25, 2020","1,674.83","1,711.88","1,726.75","1,674.83","-","-2.55%"
"Feb 24, 2020","1,718.58","1,735.35","1,749.74","1,711.83","-","-3.07%"
"Feb 21, 2020","1,772.96","1,761.93","1,784.09","1,760.35","-","0.34%"
"Feb 20, 2020","1,766.95","1,782.05","1,793.84","1,766.95","-","-1.19%"
"Feb 19, 2020","1,788.31","1,770.71","1,801.43","1,763.81","-","0.94%"
"Feb 18, 2020","1,771.74","1,758.44","1,776.31","1,756.31","-","0.24%"
"Feb 17, 2020","1,767.57","1,747.75","1,768.03","1,744.03","-","1.09%"
"Feb 14, 2020","1,748.53","1,717.87","1,748.53","1,717.87","-","1.79%"
"Feb 13, 2020","1,717.75","1,704.59","1,718.05","1,697.58","-","0.70%"
"Feb 12, 2020","1,705.84","1,714.30","1,724.53","1,705.65","-","-0.28%"
"Feb 11, 2020","1,710.64","1,698.92","1,711.42","1,690.97","-","1.03%"
"Feb 10, 2020","1,693.22","1,685.69","1,693.25","1,680.90","-","0.32%"
"Feb 07, 2020","1,687.85","1,691.24","1,708.87","1,686.85","-","-0.58%"
"Feb 06, 2020","1,697.66","1,682.24","1,697.67","1,676.15","-","1.06%"
"Feb 05, 2020","1,679.78","1,647.48","1,681.18","1,639.79","-","1.98%"
"Feb 04, 2020","1,647.12","1,641.59","1,649.93","1,638.53","-","0.66%"
"Feb 03, 2020","1,636.36","1,641.86","1,648.40","1,635.70","-","-0.17%"
"Jan 31, 2020","1,639.07","1,650.22","1,652.07","1,630.58","-","-0.42%"
"Jan 30, 2020","1,645.92","1,639.92","1,661.18","1,639.10","-","-0.14%"
"Jan 29, 2020","1,648.27","1,647.15","1,652.61","1,641.46","-","0.28%"
"Jan 28, 2020","1,643.66","1,636.12","1,644.60","1,635.00","-","0.75%"
"Jan 27, 2020","1,631.36","1,637.68","1,648.16","1,631.36","-","-1.32%"
"Jan 24, 2020","1,653.18","1,636.16","1,654.28","1,636.16","-","1.27%"
"Jan 23, 2020","1,632.47","1,613.51","1,634.39","1,610.92","-","0.92%"
"Jan 22, 2020","1,617.52","1,617.44","1,624.76","1,614.11","-","-0.01%"
