"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","667.66","668.70","672.90","659.85","-","0.48%"
"Apr 29, 2020","664.47","657.60","664.47","651.64","-","1.16%"
"Apr 28, 2020","656.88","655.56","663.51","654.81","-","0.15%"
"Apr 27, 2020","655.92","666.85","667.84","655.07","-","0.59%"
"Apr 24, 2020","652.07","645.88","660.41","640.57","-","-0.53%"
"Apr 23, 2020","655.55","659.27","662.64","649.34","-","-0.32%"
"Apr 22, 2020","657.64","653.85","661.40","650.66","-","1.71%"
"Apr 21, 2020","646.58","668.69","669.63","646.18","-","-4.23%"
"Apr 20, 2020","675.14","686.91","686.91","664.66","-","-0.26%"
"Apr 17, 2020","676.89","689.07","695.19","673.50","-","1.08%"
"Apr 16, 2020","669.65","678.53","681.05","666.52","-","0.15%"
"Apr 15, 2020","668.67","701.43","706.04","665.27","-","-4.96%"
"Apr 14, 2020","703.53","710.78","713.62","698.34","-","1.17%"
"Apr 09, 2020","695.41","694.22","697.99","678.11","-","1.43%"
"Apr 08, 2020","685.60","682.06","685.60","674.81","-","-0.62%"
"Apr 07, 2020","689.87","685.69","697.76","673.82","-","3.72%"
"Apr 06, 2020","665.10","646.05","666.49","640.62","-","4.99%"
"Apr 03, 2020","633.51","620.01","634.65","615.45","-","1.24%"
"Apr 02, 2020","625.74","623.05","626.83","599.13","-","0.40%"
"Apr 01, 2020","623.26","626.03","634.74","619.43","-","-2.38%"
"Mar 31, 2020","638.46","651.86","662.96","633.96","-","-0.36%"
"Mar 30, 2020","640.76","646.88","649.60","621.77","-","-0.96%"
"Mar 27, 2020","646.94","665.43","668.65","634.81","-","-4.23%"
"Mar 26, 2020","675.48","667.81","675.48","655.00","-","-1.39%"
"Mar 25, 2020","684.98","675.09","684.98","649.17","-","5.22%"
"Mar 24, 2020","651.01","632.29","651.01","621.13","-","6.91%"
"Mar 23, 2020","608.94","620.50","629.91","600.95","-","-2.74%"
"Mar 20, 2020","626.07","687.15","698.49","617.68","-","-4.64%"
"Mar 19, 2020","656.56","631.70","658.12","610.14","-","5.69%"
"Mar 18, 2020","621.22","633.69","664.25","600.26","-","-3.72%"
"Mar 17, 2020","645.19","622.76","650.27","584.22","-","9.27%"
"Mar 16, 2020","590.43","606.70","608.91","556.04","-","-6.65%"
"Mar 13, 2020","632.50","614.56","663.36","614.15","-","6.34%"
"Mar 12, 2020","594.78","654.55","657.85","592.51","-","-13.93%"
"Mar 11, 2020","691.01","709.55","720.00","684.82","-","-1.63%"
"Mar 10, 2020","702.48","741.53","754.22","700.53","-","-4.03%"
"Mar 09, 2020","731.97","737.14","752.11","723.51","-","-6.49%"
"Mar 06, 2020","782.77","799.56","802.27","776.96","-","-3.85%"
"Mar 05, 2020","814.13","835.88","836.69","810.23","-","-2.13%"
"Mar 04, 2020","831.88","834.93","841.27","822.93","-","-0.35%"
"Mar 03, 2020","834.78","839.79","851.65","832.27","-","0.54%"
"Mar 02, 2020","830.33","849.28","851.53","820.64","-","0.13%"
