"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,736.8","2,774.3","2,776.6","2,720.6","-","-4.15%"
"Apr 29, 2020","2,855.4","2,785.6","2,897.0","2,768.2","-","5.87%"
"Apr 28, 2020","2,697.1","2,708.0","2,738.9","2,667.9","-","2.71%"
"Apr 27, 2020","2,625.9","2,497.2","2,645.2","2,490.0","-","6.44%"
"Apr 24, 2020","2,467.0","2,437.0","2,485.2","2,409.6","-","2.08%"
"Apr 23, 2020","2,416.8","2,395.9","2,457.0","2,393.9","-","1.36%"
"Apr 22, 2020","2,384.3","2,442.4","2,449.1","2,371.5","-","-0.12%"
"Apr 21, 2020","2,387.3","2,358.5","2,413.2","2,342.9","-","-2.06%"
"Apr 20, 2020","2,437.5","2,389.9","2,486.8","2,378.2","-","-0.90%"
"Apr 17, 2020","2,459.7","2,376.6","2,470.9","2,376.6","-","7.71%"
"Apr 16, 2020","2,283.7","2,359.9","2,360.4","2,243.3","-","-3.32%"
"Apr 15, 2020","2,362.2","2,416.8","2,416.8","2,356.9","-","-6.27%"
"Apr 14, 2020","2,520.3","2,615.7","2,622.8","2,485.5","-","-1.23%"
"Apr 13, 2020","2,551.6","2,694.7","2,695.4","2,534.9","-","-5.58%"
"Apr 09, 2020","2,702.3","2,582.2","2,706.5","2,580.2","-","7.60%"
"Apr 08, 2020","2,511.4","2,452.5","2,519.8","2,416.8","-","4.18%"
"Apr 07, 2020","2,410.7","2,482.7","2,521.1","2,392.6","-","1.22%"
"Apr 06, 2020","2,381.7","2,334.0","2,385.6","2,323.5","-","7.11%"
"Apr 03, 2020","2,223.6","2,316.1","2,330.4","2,193.9","-","-4.67%"
"Apr 02, 2020","2,332.7","2,267.0","2,368.1","2,267.0","-","2.01%"
"Apr 01, 2020","2,286.7","2,330.8","2,340.3","2,270.1","-","-6.40%"
"Mar 31, 2020","2,442.9","2,437.5","2,473.6","2,388.8","-","-0.66%"
"Mar 30, 2020","2,459.2","2,429.8","2,462.0","2,385.2","-","1.06%"
"Mar 27, 2020","2,433.3","2,436.6","2,506.5","2,421.0","-","-4.29%"
"Mar 26, 2020","2,542.4","2,368.2","2,546.6","2,355.9","-","8.40%"
"Mar 25, 2020","2,345.4","2,367.4","2,411.7","2,274.5","-","-0.06%"
"Mar 24, 2020","2,346.8","2,249.6","2,346.8","2,240.7","-","9.83%"
"Mar 23, 2020","2,136.7","2,266.1","2,267.6","2,069.0","-","-5.73%"
"Mar 20, 2020","2,266.5","2,441.5","2,462.0","2,250.8","-","-7.20%"
"Mar 19, 2020","2,442.4","2,280.8","2,476.1","2,218.6","-","5.64%"
"Mar 18, 2020","2,312.0","2,423.2","2,455.9","2,281.1","-","-10.19%"
"Mar 17, 2020","2,574.4","2,397.9","2,574.4","2,325.1","-","9.32%"
"Mar 16, 2020","2,355.0","2,510.8","2,510.8","2,343.0","-","-11.76%"
"Mar 13, 2020","2,668.8","2,591.5","2,668.8","2,484.0","-","9.73%"
"Mar 12, 2020","2,432.1","2,475.3","2,596.1","2,398.6","-","-8.60%"
"Mar 11, 2020","2,660.9","2,759.3","2,786.6","2,638.8","-","-6.45%"
"Mar 10, 2020","2,844.3","2,824.8","2,860.3","2,699.5","-","4.45%"
"Mar 09, 2020","2,723.1","2,893.6","2,906.9","2,718.3","-","-13.09%"
"Mar 06, 2020","3,133.2","3,123.2","3,197.7","3,075.3","-","-3.24%"
"Mar 05, 2020","3,238.0","3,301.7","3,306.1","3,203.1","-","-4.67%"
"Mar 04, 2020","3,396.5","3,370.1","3,396.5","3,303.7","-","1.79%"
"Mar 03, 2020","3,336.7","3,439.1","3,468.2","3,313.2","-","-3.37%"
"Mar 02, 2020","3,453.0","3,309.5","3,453.0","3,288.7","-","4.39%"
"Feb 28, 2020","3,307.7","3,321.8","3,362.4","3,248.9","-","-3.19%"
"Feb 27, 2020","3,416.7","3,479.9","3,550.8","3,416.7","-","-3.56%"
"Feb 26, 2020","3,542.9","3,603.3","3,619.7","3,541.6","-","-1.04%"
"Feb 25, 2020","3,580.3","3,708.9","3,708.9","3,576.6","-","-3.32%"
"Feb 24, 2020","3,703.1","3,705.1","3,720.4","3,682.7","-","-2.72%"
"Feb 21, 2020","3,806.8","3,834.9","3,836.0","3,791.7","-","-1.07%"
"Feb 20, 2020","3,847.9","3,807.9","3,853.5","3,807.8","-","0.80%"
"Feb 19, 2020","3,817.5","3,813.1","3,828.6","3,812.9","-","0.37%"
"Feb 18, 2020","3,803.4","3,826.7","3,835.3","3,787.5","-","-0.99%"
"Feb 14, 2020","3,841.4","3,864.9","3,865.2","3,836.0","-","-0.63%"
"Feb 13, 2020","3,865.7","3,827.4","3,865.7","3,824.8","-","0.53%"
"Feb 12, 2020","3,845.3","3,860.1","3,867.0","3,834.9","-","0.24%"
"Feb 11, 2020","3,836.2","3,830.5","3,860.5","3,830.5","-","0.49%"
"Feb 10, 2020","3,817.6","3,800.5","3,817.6","3,796.3","-","0.09%"
"Feb 07, 2020","3,814.0","3,834.8","3,836.1","3,811.6","-","-0.97%"
"Feb 06, 2020","3,851.2","3,905.4","3,909.6","3,851.2","-","-0.94%"
"Feb 05, 2020","3,887.9","3,852.3","3,892.2","3,852.3","-","2.04%"
"Feb 04, 2020","3,810.1","3,816.7","3,830.1","3,808.4","-","1.11%"
"Feb 03, 2020","3,768.4","3,748.8","3,781.1","3,746.6","-","1.23%"
"Jan 31, 2020","3,722.5","3,769.6","3,772.7","3,718.2","-","-2.03%"
"Jan 30, 2020","3,799.6","3,735.2","3,799.6","3,728.7","-","1.09%"
"Jan 29, 2020","3,758.5","3,802.3","3,812.6","3,758.1","-","-1.12%"
"Jan 28, 2020","3,801.2","3,812.3","3,825.3","3,796.7","-","0.48%"
"Jan 27, 2020","3,783.1","3,770.8","3,803.4","3,762.8","-","-1.22%"
"Jan 24, 2020","3,829.9","3,888.7","3,894.2","3,803.7","-","-1.42%"
"Jan 23, 2020","3,885.1","3,874.5","3,893.8","3,841.3","-","0.34%"
"Jan 22, 2020","3,872.1","3,869.7","3,881.2","3,861.4","-","-0.02%"
"Jan 21, 2020","3,873.0","3,902.8","3,906.3","3,871.4","-","-1.17%"
"Jan 17, 2020","3,918.7","3,941.7","3,943.0","3,912.0","-","-0.06%"
"Jan 16, 2020","3,921.0","3,891.7","3,924.4","3,891.7","-","1.31%"
"Jan 15, 2020","3,870.2","3,881.1","3,890.6","3,854.3","-","-0.80%"
"Jan 14, 2020","3,901.6","3,898.4","3,922.1","3,888.8","-","-0.08%"
"Jan 13, 2020","3,904.8","3,888.2","3,904.8","3,873.9","-","0.57%"
"Jan 10, 2020","3,882.5","3,912.9","3,912.9","3,877.2","-","-0.86%"
"Jan 09, 2020","3,916.0","3,927.0","3,931.0","3,910.2","-","0.18%"
"Jan 08, 2020","3,908.8","3,882.6","3,919.7","3,882.3","-","0.68%"
"Jan 07, 2020","3,882.3","3,902.0","3,903.4","3,872.6","-","-0.85%"
"Jan 06, 2020","3,915.7","3,906.8","3,921.1","3,881.6","-","-0.65%"
"Jan 03, 2020","3,941.4","3,924.0","3,949.7","3,908.7","-","-0.76%"
"Jan 02, 2020","3,971.7","3,986.3","3,986.4","3,940.9","-","0.07%"
"Dec 31, 2019","3,968.8","3,961.6","3,980.6","3,961.5","-","0.05%"
"Dec 30, 2019","3,966.8","3,980.2","3,983.5","3,961.7","-","-0.03%"
"Dec 27, 2019","3,967.8","3,990.8","3,991.7","3,963.7","-","-0.52%"
"Dec 26, 2019","3,988.4","3,989.6","3,995.2","3,980.4","-","0.06%"
"Dec 24, 2019","3,986.2","3,986.3","3,986.3","3,973.6","-","0.10%"
"Dec 23, 2019","3,982.1","4,010.5","4,010.5","3,973.8","-","-0.59%"
"Dec 20, 2019","4,005.6","4,004.6","4,019.5","3,997.6","-","0.19%"
"Dec 19, 2019","3,997.9","4,001.1","4,001.3","3,988.7","-","-0.04%"
"Dec 18, 2019","3,999.3","4,018.3","4,018.9","3,998.3","-","-0.32%"
"Dec 17, 2019","4,012.0","3,979.4","4,015.2","3,976.1","-","0.89%"
"Dec 16, 2019","3,976.8","3,975.0","3,999.0","3,974.1","-","0.83%"
"Dec 13, 2019","3,944.1","3,955.8","3,977.4","3,920.5","-","-0.54%"
"Dec 12, 2019","3,965.6","3,883.2","3,971.5","3,881.5","-","2.35%"
"Dec 11, 2019","3,874.7","3,882.5","3,888.5","3,864.4","-","-0.01%"
"Dec 10, 2019","3,875.2","3,862.3","3,879.5","3,856.1","-","0.35%"
"Dec 09, 2019","3,861.7","3,857.5","3,875.1","3,856.0","-","-0.06%"
"Dec 06, 2019","3,864.2","3,863.1","3,886.0","3,861.4","-","1.13%"
"Dec 05, 2019","3,821.1","3,824.4","3,832.5","3,815.8","-","0.34%"
"Dec 04, 2019","3,808.0","3,787.5","3,824.3","3,785.4","-","0.95%"
"Dec 03, 2019","3,772.0","3,773.8","3,773.8","3,744.8","-","-1.11%"
"Dec 02, 2019","3,814.2","3,855.5","3,866.5","3,811.3","-","-0.66%"
"Nov 29, 2019","3,839.7","3,847.8","3,863.7","3,836.7","-","-0.55%"
"Nov 27, 2019","3,860.9","3,852.4","3,867.3","3,846.8","-","0.55%"
"Nov 26, 2019","3,839.7","3,845.9","3,854.8","3,837.6","-","-0.45%"
"Nov 25, 2019","3,856.9","3,821.6","3,865.5","3,816.0","-","1.11%"
"Nov 22, 2019","3,814.7","3,811.2","3,826.0","3,803.9","-","0.43%"
"Nov 21, 2019","3,798.4","3,820.1","3,820.4","3,782.4","-","-0.09%"
