"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,900.1","3,942.5","3,948.4","3,883.4","-","-1.26%"
"Apr 29, 2020","3,949.9","3,995.6","3,995.6","3,924.4","-","0.80%"
"Apr 28, 2020","3,918.4","4,038.8","4,038.8","3,905.9","-","-2.18%"
"Apr 27, 2020","4,005.8","4,012.7","4,034.5","3,972.7","-","1.11%"
"Apr 24, 2020","3,961.7","3,896.3","3,965.3","3,867.5","-","2.23%"
"Apr 23, 2020","3,875.3","3,891.5","3,977.6","3,862.2","-","-0.08%"
"Apr 22, 2020","3,878.3","3,880.6","3,893.0","3,829.2","-","0.85%"
"Apr 21, 2020","3,845.7","3,917.3","3,941.9","3,829.2","-","-3.17%"
"Apr 20, 2020","3,971.7","3,882.3","4,033.3","3,881.6","-","1.46%"
"Apr 17, 2020","3,914.5","3,878.2","3,915.5","3,823.0","-","4.48%"
"Apr 16, 2020","3,746.8","3,677.2","3,748.9","3,664.2","-","3.00%"
"Apr 15, 2020","3,637.5","3,659.4","3,673.4","3,617.9","-","-2.33%"
"Apr 14, 2020","3,724.3","3,662.7","3,728.8","3,657.8","-","3.54%"
"Apr 13, 2020","3,597.0","3,578.6","3,601.0","3,541.3","-","0.51%"
"Apr 09, 2020","3,578.7","3,563.6","3,585.2","3,534.9","-","0.89%"
"Apr 08, 2020","3,547.3","3,470.3","3,556.9","3,435.7","-","2.92%"
"Apr 07, 2020","3,446.5","3,574.7","3,578.1","3,437.1","-","-1.89%"
"Apr 06, 2020","3,512.8","3,444.8","3,517.3","3,426.3","-","5.11%"
"Apr 03, 2020","3,342.0","3,362.4","3,403.0","3,314.5","-","-1.19%"
"Apr 02, 2020","3,382.4","3,233.7","3,385.4","3,230.8","-","3.84%"
"Apr 01, 2020","3,257.2","3,301.9","3,347.7","3,234.7","-","-3.98%"
"Mar 31, 2020","3,392.3","3,386.7","3,425.1","3,347.6","-","-0.93%"
"Mar 30, 2020","3,424.2","3,337.7","3,424.7","3,331.1","-","4.14%"
"Mar 27, 2020","3,288.0","3,289.8","3,373.4","3,274.4","-","-2.38%"
"Mar 26, 2020","3,368.3","3,210.8","3,368.3","3,210.8","-","5.22%"
"Mar 25, 2020","3,201.1","3,214.8","3,300.4","3,190.7","-","-0.99%"
"Mar 24, 2020","3,233.1","3,170.3","3,235.7","3,141.2","-","5.78%"
"Mar 23, 2020","3,056.6","3,114.5","3,127.2","2,958.9","-","-0.91%"
"Mar 20, 2020","3,084.6","3,202.5","3,289.6","3,077.4","-","-2.82%"
"Mar 19, 2020","3,174.2","3,088.6","3,230.0","3,070.1","-","2.66%"
"Mar 18, 2020","3,091.9","3,021.2","3,191.2","2,951.2","-","-2.40%"
"Mar 17, 2020","3,167.8","3,031.2","3,231.8","2,980.9","-","6.95%"
"Mar 16, 2020","2,961.9","3,111.8","3,177.2","2,947.8","-","-9.66%"
"Mar 13, 2020","3,278.7","3,214.2","3,278.7","2,995.8","-","7.06%"
"Mar 12, 2020","3,062.5","3,129.9","3,230.1","3,058.2","-","-8.80%"
"Mar 11, 2020","3,358.0","3,463.2","3,508.9","3,324.2","-","-4.89%"
"Mar 10, 2020","3,530.8","3,545.9","3,550.3","3,357.8","-","2.13%"
"Mar 09, 2020","3,457.0","3,492.6","3,582.4","3,449.8","-","-6.84%"
"Mar 06, 2020","3,710.9","3,656.6","3,721.9","3,642.2","-","-1.23%"
"Mar 05, 2020","3,757.0","3,731.3","3,825.6","3,723.6","-","-1.70%"
"Mar 04, 2020","3,822.1","3,717.5","3,822.2","3,699.1","-","4.55%"
"Mar 03, 2020","3,655.6","3,720.6","3,784.8","3,605.2","-","-2.49%"
