"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5,988.91","5,999.60","6,014.72","5,935.60","-","0.32%"
"Apr 29, 2020","5,970.10","5,863.63","5,998.68","5,846.52","-","4.82%"
"Apr 28, 2020","5,695.64","5,868.86","5,871.09","5,689.30","-","-1.98%"
"Apr 27, 2020","5,810.91","5,837.26","5,857.07","5,783.48","-","0.36%"
"Apr 24, 2020","5,790.04","5,687.90","5,790.04","5,645.92","-","1.91%"
"Apr 23, 2020","5,681.52","5,715.55","5,780.18","5,670.54","-","-0.42%"
"Apr 22, 2020","5,705.38","5,623.97","5,734.83","5,612.88","-","4.01%"
"Apr 21, 2020","5,485.48","5,650.59","5,664.93","5,447.37","-","-4.01%"
"Apr 20, 2020","5,714.86","5,730.06","5,800.77","5,713.87","-","-1.55%"
"Apr 17, 2020","5,804.72","5,842.85","5,845.24","5,725.34","-","0.68%"
"Apr 16, 2020","5,765.54","5,745.24","5,778.27","5,671.65","-","1.63%"
"Apr 15, 2020","5,672.94","5,644.12","5,722.05","5,596.44","-","-1.35%"
"Apr 14, 2020","5,750.44","5,622.33","5,763.62","5,610.13","-","4.41%"
"Apr 13, 2020","5,507.48","5,443.65","5,509.98","5,388.88","-","0.80%"
"Apr 09, 2020","5,463.72","5,520.78","5,553.69","5,418.20","-","-0.15%"
"Apr 08, 2020","5,471.85","5,421.13","5,489.11","5,361.55","-","2.35%"
"Apr 07, 2020","5,345.97","5,530.39","5,538.30","5,340.57","-","-0.60%"
"Apr 06, 2020","5,378.28","5,178.97","5,400.41","5,140.56","-","8.32%"
"Apr 03, 2020","4,965.12","5,043.79","5,074.18","4,906.91","-","-1.66%"
"Apr 02, 2020","5,048.76","4,938.08","5,054.66","4,914.77","-","1.74%"
"Apr 01, 2020","4,962.55","5,032.66","5,131.37","4,923.76","-","-4.68%"
"Mar 31, 2020","5,206.09","5,237.71","5,362.05","5,167.07","-","-0.77%"
"Mar 30, 2020","5,246.48","5,091.29","5,255.80","5,075.50","-","4.37%"
"Mar 27, 2020","5,026.80","5,086.29","5,186.07","5,021.95","-","-4.35%"
