"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,123.2","4,151.2","4,165.7","4,102.0","-","-2.60%"
"Apr 29, 2020","4,233.2","4,219.6","4,280.8","4,202.0","-","2.67%"
"Apr 28, 2020","4,123.1","4,190.6","4,220.9","4,115.1","-","0.79%"
"Apr 27, 2020","4,090.9","3,958.7","4,102.9","3,955.8","-","4.55%"
"Apr 24, 2020","3,912.9","3,896.7","3,927.9","3,848.3","-","1.34%"
"Apr 23, 2020","3,861.4","3,865.5","3,927.3","3,848.6","-","0.19%"
"Apr 22, 2020","3,853.9","3,902.6","3,908.3","3,849.3","-","0.84%"
"Apr 21, 2020","3,821.8","3,819.8","3,872.1","3,794.7","-","-2.75%"
"Apr 20, 2020","3,929.7","3,922.7","3,990.7","3,889.5","-","-1.79%"
"Apr 17, 2020","4,001.5","3,958.6","4,012.9","3,941.2","-","4.28%"
"Apr 16, 2020","3,837.4","3,855.9","3,862.5","3,782.7","-","-0.45%"
"Apr 15, 2020","3,854.9","3,890.9","3,906.4","3,838.3","-","-3.83%"
"Apr 14, 2020","4,008.2","4,041.4","4,064.5","3,969.8","-","1.50%"
"Apr 13, 2020","3,949.1","4,114.7","4,115.2","3,920.8","-","-4.49%"
"Apr 09, 2020","4,134.9","4,032.7","4,153.1","4,032.1","-","4.86%"
"Apr 08, 2020","3,943.4","3,820.8","3,963.1","3,773.7","-","4.64%"
"Apr 07, 2020","3,768.6","3,945.0","3,947.2","3,764.1","-","-0.18%"
"Apr 06, 2020","3,775.2","3,697.8","3,790.4","3,682.8","-","6.91%"
"Apr 03, 2020","3,531.4","3,583.2","3,618.0","3,484.2","-","-1.92%"
"Apr 02, 2020","3,600.6","3,497.5","3,635.1","3,496.0","-","2.13%"
"Apr 01, 2020","3,525.7","3,541.3","3,558.9","3,484.2","-","-5.08%"
"Mar 31, 2020","3,714.3","3,778.0","3,785.9","3,669.5","-","-2.41%"
"Mar 30, 2020","3,806.2","3,726.0","3,818.0","3,651.1","-","2.56%"
"Mar 27, 2020","3,711.4","3,649.6","3,816.9","3,632.1","-","-2.63%"
"Mar 26, 2020","3,811.7","3,577.5","3,828.8","3,577.1","-","7.69%"
"Mar 25, 2020","3,539.6","3,473.4","3,657.9","3,410.6","-","2.50%"
"Mar 24, 2020","3,453.4","3,266.4","3,461.5","3,263.7","-","11.23%"
"Mar 23, 2020","3,104.8","3,307.1","3,307.1","3,042.4","-","-6.60%"
"Mar 20, 2020","3,324.1","3,505.2","3,554.6","3,292.7","-","-5.20%"
"Mar 19, 2020","3,506.5","3,394.3","3,569.2","3,258.6","-","2.25%"
"Mar 18, 2020","3,429.4","3,505.7","3,579.2","3,347.8","-","-8.16%"
"Mar 17, 2020","3,734.0","3,558.8","3,735.9","3,427.1","-","7.48%"
"Mar 16, 2020","3,474.1","3,721.7","3,750.4","3,472.5","-","-13.73%"
"Mar 13, 2020","4,026.9","3,878.5","4,031.8","3,696.2","-","10.16%"
"Mar 12, 2020","3,655.4","3,746.6","3,912.4","3,651.8","-","-9.93%"
"Mar 11, 2020","4,058.2","4,171.4","4,209.9","4,013.1","-","-5.69%"
