"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","922.7","931.2","934.1","919.3","-","-1.15%"
"Apr 29, 2020","933.5","937.0","940.5","925.0","-","1.76%"
"Apr 28, 2020","917.3","943.8","944.1","914.0","-","-1.96%"
"Apr 27, 2020","935.7","934.3","940.2","926.9","-","1.42%"
"Apr 24, 2020","922.6","910.9","923.9","904.3","-","1.91%"
"Apr 23, 2020","905.3","906.7","925.4","902.7","-","0.26%"
"Apr 22, 2020","902.9","902.3","906.2","892.0","-","1.24%"
"Apr 21, 2020","891.8","906.4","911.5","887.6","-","-3.01%"
"Apr 20, 2020","919.6","902.9","933.9","902.7","-","0.95%"
"Apr 17, 2020","910.9","903.3","911.5","890.0","-","4.07%"
"Apr 16, 2020","875.3","863.1","875.7","858.5","-","2.44%"
"Apr 15, 2020","854.4","855.1","861.8","848.1","-","-1.94%"
"Apr 14, 2020","871.3","858.1","873.1","857.1","-","3.30%"
"Apr 13, 2020","843.5","842.6","844.4","830.7","-","-0.02%"
"Apr 09, 2020","843.6","838.3","843.7","832.1","-","1.29%"
"Apr 08, 2020","832.9","812.3","835.0","804.0","-","3.31%"
"Apr 07, 2020","806.2","836.6","837.9","803.8","-","-1.72%"
"Apr 06, 2020","820.3","803.7","821.5","801.3","-","5.46%"
"Apr 03, 2020","777.8","784.0","792.7","771.2","-","-1.37%"
"Apr 02, 2020","788.5","756.7","789.4","756.7","-","3.41%"
"Apr 01, 2020","762.5","774.5","783.0","757.5","-","-4.54%"
"Mar 31, 2020","798.8","800.3","807.8","788.9","-","-1.07%"
"Mar 30, 2020","807.4","787.2","807.9","784.3","-","4.04%"
"Mar 27, 2020","776.0","773.5","795.4","770.9","-","-2.25%"
"Mar 26, 2020","793.8","757.8","793.8","757.8","-","5.35%"
"Mar 25, 2020","753.5","752.3","775.8","746.8","-","-0.14%"
"Mar 24, 2020","754.6","733.6","754.6","732.1","-","7.05%"
"Mar 23, 2020","704.9","717.7","720.5","683.0","-","-1.30%"
"Mar 20, 2020","714.2","740.7","759.4","711.9","-","-2.70%"
"Mar 19, 2020","734.1","713.7","746.1","706.8","-","2.57%"
"Mar 18, 2020","715.7","704.6","736.4","682.5","-","-3.17%"
"Mar 17, 2020","739.1","711.9","749.0","694.2","-","6.16%"
"Mar 16, 2020","696.2","739.2","746.8","694.2","-","-10.81%"
"Mar 13, 2020","780.6","768.5","780.6","717.4","-","6.28%"
"Mar 12, 2020","734.5","751.0","775.2","733.6","-","-8.81%"
"Mar 11, 2020","805.5","829.8","837.6","796.5","-","-4.93%"
"Mar 10, 2020","847.3","848.7","849.6","806.9","-","2.42%"
"Mar 09, 2020","827.3","833.4","853.8","825.1","-","-6.74%"
"Mar 06, 2020","887.1","873.8","889.0","869.9","-","-1.21%"
"Mar 05, 2020","898.0","895.0","913.6","889.6","-","-1.90%"
"Mar 04, 2020","915.4","891.6","915.4","887.4","-","4.46%"
"Mar 03, 2020","876.3","893.2","908.3","864.4","-","-2.48%"
"Mar 02, 2020","898.6","868.1","898.6","862.5","-","4.05%"
"Feb 28, 2020","863.6","840.1","863.9","835.9","-","-0.30%"
"Feb 27, 2020","866.2","887.3","897.5","866.0","-","-3.28%"
"Feb 26, 2020","895.6","895.0","907.3","889.2","-","0.73%"
"Feb 25, 2020","889.1","921.7","922.6","886.0","-","-2.89%"
"Feb 24, 2020","915.6","920.3","921.1","906.9","-","-2.69%"
"Feb 21, 2020","940.9","943.3","944.2","935.6","-","-0.42%"
"Feb 20, 2020","944.9","947.0","947.1","931.5","-","-0.41%"
"Feb 19, 2020","948.8","943.2","951.1","943.0","-","0.89%"
"Feb 18, 2020","940.4","939.0","940.4","933.1","-","0.25%"
"Feb 14, 2020","938.1","936.7","938.7","931.4","-","0.58%"
"Feb 13, 2020","932.7","933.9","937.0","931.7","-","-0.51%"
"Feb 12, 2020","937.5","938.0","938.8","932.4","-","0.21%"
"Feb 11, 2020","935.5","937.2","940.3","933.6","-","0.25%"
"Feb 10, 2020","933.2","923.3","933.2","922.8","-","0.88%"
"Feb 07, 2020","925.1","931.0","931.3","922.4","-","-0.80%"
"Feb 06, 2020","932.6","934.1","934.4","925.8","-","0.58%"
"Feb 05, 2020","927.2","918.4","936.5","917.1","-","1.93%"
"Feb 04, 2020","909.6","903.5","911.5","903.5","-","2.04%"
"Feb 03, 2020","891.4","889.2","894.5","888.1","-","1.41%"
"Jan 31, 2020","879.0","890.4","890.8","872.0","-","-1.77%"
"Jan 30, 2020","894.8","897.8","900.4","887.9","-","-1.08%"
"Jan 29, 2020","904.6","906.8","909.9","903.7","-","0.00%"
"Jan 28, 2020","904.6","902.4","907.0","899.4","-","1.06%"
"Jan 27, 2020","895.1","887.0","899.5","884.7","-","-0.74%"
"Jan 24, 2020","901.8","924.7","925.0","898.7","-","-2.18%"
"Jan 23, 2020","921.9","926.1","926.1","915.5","-","-0.60%"
"Jan 22, 2020","927.5","930.1","933.7","926.9","-","0.16%"
"Jan 21, 2020","926.0","931.6","933.9","925.1","-","-0.73%"
"Jan 17, 2020","932.8","940.3","940.3","930.4","-","-0.40%"
"Jan 16, 2020","936.5","935.1","938.7","931.4","-","0.68%"
"Jan 15, 2020","930.2","927.0","935.0","926.9","-","0.40%"
"Jan 14, 2020","926.5","913.0","929.9","910.4","-","1.29%"
"Jan 13, 2020","914.7","920.5","920.5","907.5","-","-0.83%"
"Jan 10, 2020","922.4","927.0","930.1","921.6","-","0.00%"
"Jan 09, 2020","922.4","921.7","926.1","919.9","-","0.71%"
"Jan 08, 2020","915.9","908.9","920.1","907.6","-","0.77%"
"Jan 07, 2020","908.9","909.3","911.8","901.5","-","-0.14%"
"Jan 06, 2020","910.2","896.3","910.2","893.8","-","0.91%"
"Jan 03, 2020","902.0","897.3","906.8","896.5","-","-0.98%"
"Jan 02, 2020","910.9","919.4","919.4","904.4","-","-0.38%"
"Dec 31, 2019","914.4","908.4","915.4","907.7","-","0.44%"
"Dec 30, 2019","910.4","920.2","921.2","908.6","-","-1.00%"
"Dec 27, 2019","919.6","928.4","928.4","917.2","-","-0.69%"
"Dec 26, 2019","926.0","930.7","931.2","924.4","-","-0.47%"
