"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,831.3","6,823.0","6,855.4","6,763.7","-","-0.12%"
"Apr 29, 2020","6,839.8","6,757.6","6,873.5","6,719.2","-","2.60%"
"Apr 28, 2020","6,666.4","6,798.1","6,804.2","6,644.7","-","-0.92%"
"Apr 27, 2020","6,728.0","6,703.8","6,752.6","6,689.3","-","1.43%"
"Apr 24, 2020","6,633.3","6,591.2","6,648.6","6,532.4","-","1.31%"
"Apr 23, 2020","6,547.7","6,568.1","6,641.4","6,529.3","-","0.35%"
"Apr 22, 2020","6,524.6","6,505.8","6,555.9","6,470.2","-","2.03%"
"Apr 21, 2020","6,395.0","6,540.8","6,562.9","6,349.8","-","-3.02%"
"Apr 20, 2020","6,594.3","6,595.2","6,692.4","6,591.1","-","-0.75%"
"Apr 17, 2020","6,644.3","6,649.8","6,666.4","6,547.5","-","0.96%"
"Apr 16, 2020","6,581.2","6,510.3","6,639.3","6,469.0","-","2.02%"
"Apr 15, 2020","6,450.9","6,394.0","6,503.9","6,379.9","-","-0.88%"
"Apr 14, 2020","6,508.4","6,367.9","6,520.1","6,353.6","-","4.08%"
"Apr 13, 2020","6,253.5","6,154.5","6,271.9","6,123.7","-","1.32%"
"Apr 09, 2020","6,171.8","6,150.3","6,213.6","6,109.2","-","1.23%"
"Apr 08, 2020","6,097.0","6,000.6","6,112.4","5,960.9","-","2.39%"
"Apr 07, 2020","5,954.8","6,078.3","6,119.2","5,946.6","-","0.48%"
"Apr 06, 2020","5,926.2","5,745.5","5,940.1","5,720.3","-","6.69%"
"Apr 03, 2020","5,554.6","5,624.6","5,642.8","5,486.3","-","-1.24%"
"Apr 02, 2020","5,624.5","5,528.4","5,674.6","5,513.0","-","1.17%"
"Apr 01, 2020","5,559.6","5,635.1","5,693.7","5,513.6","-","-3.91%"
"Mar 31, 2020","5,785.7","5,806.2","5,903.0","5,761.5","-","-0.98%"
"Mar 30, 2020","5,842.7","5,730.1","5,849.6","5,685.9","-","2.85%"
