"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","7,495.2","7,568.4","7,623.8","7,479.6","-","-2.76%"
"Apr 29, 2020","7,707.9","7,679.2","7,784.2","7,609.7","-","2.64%"
"Apr 28, 2020","7,509.7","7,634.6","7,651.6","7,468.1","-","-0.40%"
"Apr 27, 2020","7,540.1","7,416.0","7,562.3","7,409.3","-","2.75%"
"Apr 24, 2020","7,338.4","7,388.2","7,391.6","7,238.6","-","-0.13%"
"Apr 23, 2020","7,347.8","7,487.4","7,539.2","7,329.3","-","-1.92%"
"Apr 22, 2020","7,491.6","7,624.7","7,636.0","7,479.6","-","0.49%"
"Apr 21, 2020","7,455.5","7,491.2","7,623.8","7,447.0","-","-3.28%"
"Apr 20, 2020","7,708.3","7,728.5","7,786.0","7,616.4","-","-2.12%"
"Apr 17, 2020","7,875.0","7,824.6","7,897.9","7,754.9","-","3.88%"
"Apr 16, 2020","7,581.2","7,589.3","7,595.3","7,429.2","-","0.06%"
"Apr 15, 2020","7,576.8","7,779.2","7,812.4","7,568.5","-","-5.44%"
"Apr 14, 2020","8,012.4","7,983.4","8,083.8","7,937.0","-","2.43%"
"Apr 13, 2020","7,822.2","8,007.2","8,007.2","7,752.7","-","-2.92%"
"Apr 09, 2020","8,057.1","7,863.2","8,059.2","7,859.9","-","4.60%"
"Apr 08, 2020","7,703.1","7,470.3","7,751.7","7,394.7","-","3.39%"
"Apr 07, 2020","7,450.8","7,690.6","7,728.5","7,442.7","-","0.65%"
"Apr 06, 2020","7,402.6","7,166.8","7,429.3","7,145.8","-","7.64%"
"Apr 03, 2020","6,877.2","7,009.0","7,093.0","6,772.4","-","-2.77%"
"Apr 02, 2020","7,073.1","6,960.1","7,221.9","6,949.4","-","0.38%"
"Apr 01, 2020","7,046.3","7,179.0","7,258.0","6,946.5","-","-6.08%"
"Mar 31, 2020","7,502.3","7,704.2","7,718.0","7,430.9","-","-3.81%"
"Mar 30, 2020","7,799.2","7,465.4","7,822.7","7,339.4","-","4.68%"
"Mar 27, 2020","7,450.5","7,364.9","7,707.2","7,332.0","-","-2.94%"
"Mar 26, 2020","7,676.5","7,110.0","7,688.9","7,081.1","-","8.49%"
"Mar 25, 2020","7,076.0","7,134.9","7,322.8","6,930.0","-","-0.07%"
"Mar 24, 2020","7,081.0","6,642.2","7,081.0","6,633.6","-","11.63%"
"Mar 23, 2020","6,343.1","6,649.6","6,657.2","6,234.3","-","-5.15%"
"Mar 20, 2020","6,687.8","6,906.9","7,007.7","6,610.6","-","-3.63%"
"Mar 19, 2020","6,940.0","6,801.1","7,066.9","6,689.9","-","0.33%"
