"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","877.5","876.3","884.4","869.2","-","0.00%"
"Apr 29, 2020","877.5","863.6","882.3","858.8","-","3.57%"
"Apr 28, 2020","847.3","872.7","872.8","846.7","-","-2.13%"
"Apr 27, 2020","865.7","868.9","871.5","863.8","-","0.80%"
"Apr 24, 2020","858.8","854.7","859.8","844.9","-","0.98%"
"Apr 23, 2020","850.5","853.1","861.5","846.0","-","-0.03%"
"Apr 22, 2020","850.7","845.5","855.1","840.5","-","2.89%"
"Apr 21, 2020","826.8","846.5","848.5","815.8","-","-3.09%"
"Apr 20, 2020","853.1","847.3","864.3","847.3","-","0.26%"
"Apr 17, 2020","850.9","857.8","858.6","841.0","-","0.12%"
"Apr 16, 2020","849.9","843.0","855.0","837.5","-","2.05%"
"Apr 15, 2020","832.8","817.0","839.1","812.9","-","0.39%"
"Apr 14, 2020","829.6","817.2","836.1","816.0","-","3.43%"
"Apr 13, 2020","802.0","788.1","803.6","784.0","-","1.58%"
"Apr 09, 2020","789.5","791.6","798.8","782.3","-","0.69%"
"Apr 08, 2020","784.1","778.0","785.8","771.2","-","1.68%"
"Apr 07, 2020","771.2","789.0","791.1","769.3","-","0.44%"
"Apr 06, 2020","767.8","744.6","769.3","740.0","-","6.97%"
"Apr 03, 2020","717.8","725.5","730.0","708.6","-","-1.26%"
"Apr 02, 2020","727.0","717.0","735.2","715.1","-","0.60%"
"Apr 01, 2020","722.6","732.3","740.4","717.2","-","-3.89%"
"Mar 31, 2020","751.9","748.9","767.6","746.3","-","0.11%"
"Mar 30, 2020","751.1","736.9","752.2","730.5","-","2.65%"
"Mar 27, 2020","731.7","736.0","747.8","728.0","-","-3.49%"
"Mar 26, 2020","758.2","733.6","758.6","732.9","-","4.26%"
"Mar 25, 2020","727.2","729.5","755.1","719.4","-","-0.32%"
"Mar 24, 2020","729.5","715.0","730.7","711.7","-","6.37%"
"Mar 23, 2020","685.8","678.5","696.0","661.0","-","1.11%"
"Mar 20, 2020","678.3","705.0","717.9","677.0","-","-1.79%"
"Mar 19, 2020","690.7","672.5","709.5","663.4","-","2.72%"
"Mar 18, 2020","672.4","666.5","689.3","645.3","-","-4.15%"
"Mar 17, 2020","701.5","681.0","713.1","655.9","-","4.98%"
"Mar 16, 2020","668.2","720.0","720.0","665.7","-","-10.92%"
"Mar 13, 2020","750.1","738.2","750.1","701.2","-","6.53%"
"Mar 12, 2020","704.1","727.4","739.9","703.3","-","-8.84%"
"Mar 11, 2020","772.4","794.8","796.6","762.8","-","-4.75%"
"Mar 10, 2020","810.9","798.4","811.1","776.5","-","4.43%"
"Mar 09, 2020","776.5","782.0","801.1","769.7","-","-6.22%"
"Mar 06, 2020","828.0","827.7","833.7","810.1","-","-2.31%"
"Mar 05, 2020","847.6","849.8","863.7","841.1","-","-2.24%"
"Mar 04, 2020","867.0","850.1","867.2","846.6","-","3.50%"
"Mar 03, 2020","837.7","860.5","870.5","827.9","-","-2.49%"
"Mar 02, 2020","859.1","844.0","859.2","828.0","-","2.98%"
"Feb 28, 2020","834.2","810.9","835.0","808.5","-","0.37%"
"Feb 27, 2020","831.1","844.5","861.2","830.9","-","-3.66%"
"Feb 26, 2020","862.7","864.0","880.0","856.8","-","0.38%"
"Feb 25, 2020","859.4","887.4","890.9","856.3","-","-2.31%"
"Feb 24, 2020","879.7","884.0","886.1","871.2","-","-3.98%"
"Feb 21, 2020","916.2","928.7","929.5","912.8","-","-1.87%"
"Feb 20, 2020","933.7","938.8","943.6","922.1","-","-0.66%"
"Feb 19, 2020","939.9","937.9","942.9","936.7","-","0.56%"
"Feb 18, 2020","934.7","928.9","936.2","928.0","-","0.42%"
"Feb 14, 2020","930.8","932.2","934.1","928.1","-","0.28%"
"Feb 13, 2020","928.2","923.2","932.4","920.4","-","-0.09%"
"Feb 12, 2020","929.0","919.1","929.8","919.1","-","1.95%"
"Feb 11, 2020","911.2","912.3","920.2","909.2","-","0.21%"
"Feb 10, 2020","909.3","902.1","909.3","900.5","-","0.56%"
"Feb 07, 2020","904.2","906.7","909.9","901.2","-","-0.91%"
"Feb 06, 2020","912.5","907.7","916.2","904.9","-","1.29%"
"Feb 05, 2020","900.9","918.2","918.2","897.3","-","-1.13%"
"Feb 04, 2020","911.2","896.2","912.3","896.1","-","2.66%"
"Feb 03, 2020","887.6","876.7","890.0","876.7","-","1.99%"
"Jan 31, 2020","870.3","886.0","886.2","868.0","-","-1.39%"
"Jan 30, 2020","882.6","874.4","882.7","870.2","-","-0.59%"
"Jan 29, 2020","887.8","891.2","894.2","884.2","-","-0.03%"
"Jan 28, 2020","888.1","880.1","890.4","876.8","-","1.52%"
"Jan 27, 2020","874.8","870.4","879.7","865.6","-","-2.06%"
"Jan 24, 2020","893.2","906.7","909.1","887.0","-","-1.15%"
"Jan 23, 2020","903.6","898.4","904.8","893.5","-","0.24%"
"Jan 22, 2020","901.4","906.1","911.5","900.7","-","-0.27%"
"Jan 21, 2020","903.8","902.6","904.8","898.3","-","-0.83%"
"Jan 17, 2020","911.4","910.1","911.5","906.6","-","0.43%"
"Jan 16, 2020","907.5","908.4","908.4","902.6","-","0.59%"
"Jan 15, 2020","902.2","901.3","907.8","899.7","-","0.13%"
"Jan 14, 2020","901.0","907.1","907.4","898.0","-","-0.69%"
"Jan 13, 2020","907.3","897.9","908.7","897.8","-","1.62%"
"Jan 10, 2020","892.8","896.0","896.8","890.0","-","0.11%"
"Jan 09, 2020","891.8","889.5","893.4","887.2","-","1.07%"
"Jan 08, 2020","882.4","875.6","888.1","874.8","-","0.71%"
"Jan 07, 2020","876.2","873.5","878.3","870.0","-","0.42%"
"Jan 06, 2020","872.5","858.4","872.6","857.4","-","0.91%"
"Jan 03, 2020","864.6","858.9","868.4","858.9","-","-0.69%"
"Jan 02, 2020","870.6","853.8","870.6","853.8","-","3.07%"
"Dec 31, 2019","844.7","840.3","845.1","839.5","-","0.12%"
"Dec 30, 2019","843.7","854.4","854.4","842.4","-","-1.26%"
"Dec 27, 2019","854.5","859.5","859.9","852.6","-","-0.28%"
"Dec 26, 2019","856.9","851.0","857.5","850.8","-","0.93%"
"Dec 24, 2019","849.0","850.1","850.7","847.4","-","-0.02%"
"Dec 23, 2019","849.2","849.4","851.3","847.2","-","0.22%"
"Dec 20, 2019","847.3","844.8","848.6","841.9","-","0.61%"
"Dec 19, 2019","842.2","834.0","842.6","834.0","-","1.13%"
"Dec 18, 2019","832.8","831.0","835.5","830.8","-","0.47%"
"Dec 17, 2019","828.9","828.2","829.6","825.8","-","0.34%"
"Dec 16, 2019","826.1","820.3","828.2","820.2","-","1.23%"
"Dec 13, 2019","816.1","815.2","820.4","813.4","-","0.28%"
"Dec 12, 2019","813.8","812.5","820.3","810.2","-","0.10%"
"Dec 11, 2019","813.0","810.0","813.3","808.2","-","0.64%"
"Dec 10, 2019","807.8","810.8","812.5","806.3","-","-0.36%"
"Dec 09, 2019","810.7","813.5","819.9","810.5","-","-0.53%"
"Dec 06, 2019","815.0","815.1","817.1","814.3","-","0.64%"
"Dec 05, 2019","809.8","808.6","812.2","806.8","-","0.37%"
"Dec 04, 2019","806.8","811.1","813.1","806.7","-","0.09%"
"Dec 03, 2019","806.1","798.9","806.6","793.1","-","-0.38%"
"Dec 02, 2019","809.2","821.6","821.6","802.1","-","-1.56%"
"Nov 29, 2019","822.0","823.3","825.2","821.2","-","-0.54%"
"Nov 27, 2019","826.5","822.2","826.5","820.9","-","0.92%"
"Nov 26, 2019","819.0","815.8","819.3","813.7","-","0.50%"
"Nov 25, 2019","814.9","807.1","815.1","807.0","-","1.37%"
"Nov 22, 2019","803.9","800.6","804.0","796.9","-","0.59%"
"Nov 21, 2019","799.2","796.5","801.1","795.9","-","0.38%"
"Nov 20, 2019","796.2","795.1","801.1","789.8","-","-0.35%"
"Nov 19, 2019","799.0","800.4","801.3","794.6","-","0.15%"
"Nov 18, 2019","797.8","794.6","801.1","791.7","-","0.40%"
"Nov 15, 2019","794.6","792.6","795.6","790.8","-","0.94%"
"Nov 14, 2019","787.2","783.1","787.4","782.2","-","0.27%"
"Nov 13, 2019","785.1","788.9","789.5","782.2","-","-0.86%"
"Nov 12, 2019","791.9","790.8","793.9","788.9","-","0.28%"
"Nov 11, 2019","789.7","785.8","790.4","782.9","-","-0.10%"
"Nov 08, 2019","790.5","789.2","792.9","787.3","-","0.37%"
"Nov 07, 2019","787.6","790.2","795.0","785.4","-","-0.10%"
"Nov 06, 2019","788.4","789.8","791.7","785.2","-","-0.35%"
"Nov 05, 2019","791.2","795.6","797.2","789.1","-","-0.50%"
"Nov 04, 2019","795.2","791.9","798.2","791.9","-","1.18%"
"Nov 01, 2019","785.9","791.1","791.5","781.4","-","0.01%"
"Oct 31, 2019","785.8","791.7","793.1","782.7","-","-0.78%"
"Oct 30, 2019","792.0","788.0","792.8","785.2","-","0.65%"
"Oct 29, 2019","786.9","792.2","792.4","784.4","-","-1.02%"
"Oct 28, 2019","795.0","789.2","798.2","789.2","-","1.00%"
"Oct 25, 2019","787.1","776.8","790.1","776.8","-","0.73%"
"Oct 24, 2019","781.4","783.0","783.0","775.0","-","-0.18%"
"Oct 23, 2019","782.8","775.3","783.7","774.7","-","0.62%"
"Oct 22, 2019","778.0","792.1","793.7","777.2","-","-1.73%"
"Oct 21, 2019","791.7","784.1","792.3","784.1","-","1.55%"
"Oct 18, 2019","779.6","798.4","799.2","776.0","-","-2.51%"
"Oct 17, 2019","799.7","805.0","805.7","798.6","-","0.34%"
"Oct 16, 2019","797.0","796.0","798.4","792.4","-","-0.13%"
"Oct 15, 2019","798.0","787.0","799.8","786.5","-","1.58%"
"Oct 14, 2019","785.6","786.7","788.4","783.9","-","-0.18%"
"Oct 11, 2019","787.0","784.3","794.5","784.3","-","1.61%"
"Oct 10, 2019","774.5","768.0","777.6","767.9","-","0.78%"
"Oct 09, 2019","768.5","765.6","771.0","762.9","-","1.08%"
"Oct 08, 2019","760.3","771.2","771.3","760.2","-","-2.25%"
"Oct 07, 2019","777.8","778.0","783.5","774.5","-","-0.27%"
"Oct 04, 2019","779.9","775.5","780.5","771.9","-","0.92%"
"Oct 03, 2019","772.8","761.9","773.1","751.0","-","1.54%"
"Oct 02, 2019","761.1","763.7","764.0","757.3","-","-1.16%"
"Oct 01, 2019","770.0","777.2","780.6","768.9","-","-0.66%"
"Sep 30, 2019","775.1","772.1","777.1","769.0","-","0.70%"
"Sep 27, 2019","769.7","790.1","791.0","762.3","-","-2.30%"
"Sep 26, 2019","787.8","791.7","792.4","782.2","-","-0.58%"
"Sep 25, 2019","792.4","778.8","794.0","773.7","-","1.62%"
"Sep 24, 2019","779.8","800.8","802.6","776.8","-","-2.40%"
"Sep 23, 2019","799.0","804.4","804.9","797.0","-","-1.00%"
"Sep 20, 2019","807.1","813.2","817.3","801.5","-","-0.70%"
"Sep 19, 2019","812.8","813.5","820.1","811.4","-","0.00%"
"Sep 18, 2019","812.8","815.7","816.6","803.2","-","-0.47%"
"Sep 17, 2019","816.6","809.3","816.7","807.8","-","0.78%"
"Sep 16, 2019","810.3","807.3","810.7","805.6","-","-0.42%"
"Sep 13, 2019","813.7","815.0","817.6","812.3","-","-0.05%"
"Sep 12, 2019","814.1","814.2","820.4","812.3","-","0.51%"
"Sep 11, 2019","810.0","803.1","812.5","801.6","-","0.91%"
"Sep 10, 2019","802.7","803.1","804.1","794.8","-","-0.77%"
"Sep 09, 2019","808.9","814.9","816.5","803.3","-","-0.36%"
"Sep 06, 2019","811.8","815.9","816.6","811.2","-","-0.53%"
"Sep 05, 2019","816.1","806.6","816.5","806.6","-","1.92%"
"Sep 04, 2019","800.7","798.1","802.3","797.8","-","1.28%"
"Sep 03, 2019","790.6","796.2","801.4","788.2","-","-1.32%"
"Aug 30, 2019","801.2","805.3","806.2","793.9","-","-0.04%"
"Aug 29, 2019","801.5","798.1","804.1","797.5","-","1.55%"
"Aug 28, 2019","789.3","784.4","791.5","779.8","-","0.27%"
"Aug 27, 2019","787.2","793.9","797.7","782.6","-","-0.18%"
"Aug 26, 2019","788.6","787.7","789.1","782.9","-","1.13%"
"Aug 23, 2019","779.8","796.0","803.9","778.1","-","-2.72%"
"Aug 22, 2019","801.6","809.9","810.3","795.1","-","-0.95%"
"Aug 21, 2019","809.3","812.0","813.9","807.3","-","0.50%"
"Aug 20, 2019","805.3","809.0","809.9","803.9","-","-0.57%"
"Aug 19, 2019","809.9","808.1","813.4","805.9","-","1.52%"
"Aug 16, 2019","797.8","788.7","799.0","788.4","-","1.93%"
"Aug 15, 2019","782.7","786.1","787.8","776.0","-","0.50%"
"Aug 14, 2019","778.8","791.9","791.9","776.4","-","-3.25%"
"Aug 13, 2019","805.0","787.4","809.8","787.4","-","2.30%"
"Aug 12, 2019","786.9","790.4","792.7","783.3","-","-1.51%"
"Aug 09, 2019","799.0","806.3","807.9","794.7","-","-1.39%"
"Aug 08, 2019","810.3","796.4","810.5","793.4","-","2.97%"
"Aug 07, 2019","786.9","776.9","788.6","769.7","-","0.56%"
"Aug 06, 2019","782.5","779.6","785.5","775.2","-","1.43%"
"Aug 05, 2019","771.5","789.1","789.5","763.9","-","-4.42%"
"Aug 02, 2019","807.2","815.5","815.6","801.5","-","-1.63%"
"Aug 01, 2019","820.6","831.5","845.4","815.9","-","-1.08%"
"Jul 31, 2019","829.6","836.3","840.5","820.6","-","-0.92%"
"Jul 30, 2019","837.3","839.6","840.9","836.0","-","-1.05%"
"Jul 29, 2019","846.2","853.8","854.1","839.8","-","-0.99%"
"Jul 26, 2019","854.7","849.1","856.0","849.1","-","1.58%"
"Jul 25, 2019","841.4","847.7","848.2","838.8","-","-0.78%"
"Jul 24, 2019","848.0","834.0","848.4","833.8","-","1.42%"
"Jul 23, 2019","836.1","834.4","836.2","828.2","-","0.70%"
"Jul 22, 2019","830.3","827.6","831.9","825.0","-","0.62%"
"Jul 19, 2019","825.2","835.2","837.5","825.2","-","-0.75%"
"Jul 18, 2019","831.4","830.1","834.0","825.3","-","-0.89%"
"Jul 17, 2019","838.9","842.6","845.6","838.8","-","-0.45%"
"Jul 16, 2019","842.7","847.1","848.1","841.4","-","-0.52%"
"Jul 15, 2019","847.1","845.8","847.8","843.0","-","0.32%"
"Jul 12, 2019","844.4","841.5","844.8","839.8","-","0.52%"
"Jul 11, 2019","840.0","843.2","845.2","836.8","-","-0.20%"
"Jul 10, 2019","841.7","843.2","847.1","836.0","-","0.43%"
"Jul 09, 2019","838.1","826.2","838.7","826.0","-","1.20%"
"Jul 08, 2019","828.2","833.6","833.6","826.7","-","-1.22%"
"Jul 05, 2019","838.4","833.1","839.3","829.4","-","-0.02%"
"Jul 03, 2019","838.6","834.9","838.6","833.2","-","0.62%"
"Jul 02, 2019","833.4","827.7","833.5","826.7","-","0.65%"
"Jul 01, 2019","828.0","828.6","834.9","826.2","-","1.47%"
"Jun 28, 2019","816.0","815.8","816.6","810.5","-","0.26%"
"Jun 27, 2019","813.9","809.3","816.3","808.9","-","0.98%"
"Jun 26, 2019","806.0","805.6","813.5","805.2","-","0.65%"
"Jun 25, 2019","800.8","819.1","819.2","799.2","-","-2.23%"
"Jun 24, 2019","819.1","821.8","823.5","817.7","-","-0.17%"
"Jun 21, 2019","820.5","819.7","825.6","818.0","-","-0.17%"
"Jun 20, 2019","821.9","828.2","830.7","816.3","-","0.55%"
"Jun 19, 2019","817.4","813.8","818.0","807.5","-","0.64%"
"Jun 18, 2019","812.2","810.0","821.8","809.7","-","1.41%"
"Jun 17, 2019","800.9","796.1","802.9","795.8","-","1.10%"
"Jun 14, 2019","792.2","797.4","797.4","789.6","-","-0.78%"
"Jun 13, 2019","798.4","798.1","799.1","795.2","-","0.45%"
"Jun 12, 2019","794.8","795.6","798.1","789.8","-","-0.38%"
"Jun 11, 2019","797.8","804.2","807.8","795.1","-","0.40%"
"Jun 10, 2019","794.6","793.4","806.9","793.2","-","1.11%"
"Jun 07, 2019","785.9","775.0","789.3","775.0","-","1.76%"
"Jun 06, 2019","772.3","768.0","774.0","764.3","-","0.53%"
"Jun 05, 2019","768.2","768.7","769.0","755.7","-","0.41%"
"Jun 04, 2019","765.1","748.9","765.2","747.4","-","3.10%"
"Jun 03, 2019","742.1","759.8","762.0","736.7","-","-2.89%"
"May 31, 2019","764.2","765.7","770.2","762.4","-","-1.48%"
"May 30, 2019","775.7","775.3","779.0","772.4","-","0.28%"
"May 29, 2019","773.5","776.6","777.3","768.0","-","-1.07%"
"May 28, 2019","781.9","782.8","790.5","780.3","-","0.12%"
"May 24, 2019","781.0","786.4","789.3","780.5","-","0.09%"
"May 23, 2019","780.3","786.1","786.4","775.5","-","-2.03%"
"May 22, 2019","796.5","796.3","803.8","796.0","-","-0.23%"
"May 21, 2019","798.3","794.0","800.7","793.8","-","1.32%"
"May 20, 2019","787.9","792.9","793.5","783.9","-","-1.92%"
"May 17, 2019","803.3","808.0","814.9","802.2","-","-2.30%"
"May 16, 2019","822.2","814.5","828.1","813.9","-","1.26%"
"May 15, 2019","812.0","795.3","815.2","794.2","-","1.73%"
"May 14, 2019","798.2","793.5","803.0","788.3","-","1.38%"
"May 13, 2019","787.3","797.4","799.5","785.1","-","-3.67%"
"May 10, 2019","817.3","821.2","822.5","801.3","-","-0.13%"
"May 09, 2019","818.4","812.3","821.6","801.3","-","-0.51%"
"May 08, 2019","822.6","823.6","828.0","818.2","-","-0.52%"
"May 07, 2019","826.9","841.5","843.0","819.7","-","-2.44%"
"May 06, 2019","847.6","838.9","849.7","836.1","-","-1.19%"
"May 03, 2019","857.8","850.4","857.9","845.8","-","1.79%"
"May 02, 2019","842.7","844.0","849.0","833.5","-","-0.30%"
"May 01, 2019","845.2","851.7","857.1","845.1","-","-0.29%"
"Apr 30, 2019","847.7","846.4","852.2","842.3","-","-0.85%"
"Apr 29, 2019","855.0","851.3","856.5","849.9","-","0.49%"
"Apr 26, 2019","850.8","846.7","851.2","842.0","-","0.72%"
"Apr 25, 2019","844.7","848.8","849.2","838.3","-","0.27%"
"Apr 24, 2019","842.4","849.3","850.3","842.3","-","-0.67%"
"Apr 23, 2019","848.1","832.4","849.3","832.4","-","1.90%"
"Apr 22, 2019","832.3","822.4","832.5","820.9","-","0.86%"
"Apr 18, 2019","825.2","824.6","825.8","819.0","-","-0.02%"
"Apr 17, 2019","825.4","832.3","834.1","823.2","-","-0.34%"
"Apr 16, 2019","828.2","829.2","831.2","826.3","-","0.38%"
"Apr 15, 2019","825.1","827.8","828.4","817.3","-","-0.42%"
"Apr 12, 2019","828.6","830.4","832.1","826.2","-","0.24%"
"Apr 11, 2019","826.6","828.2","828.4","824.6","-","-0.22%"
"Apr 10, 2019","828.4","828.1","828.8","823.5","-","0.12%"
"Apr 09, 2019","827.4","825.0","830.6","824.3","-","-0.05%"
"Apr 08, 2019","827.8","824.1","828.0","820.1","-","0.17%"
"Apr 05, 2019","826.4","824.1","827.8","823.3","-","0.69%"
"Apr 04, 2019","820.7","822.7","826.8","813.1","-","-0.15%"
"Apr 03, 2019","821.9","822.1","828.7","819.4","-","0.61%"
"Apr 02, 2019","816.9","813.9","817.6","812.3","-","0.29%"
"Apr 01, 2019","814.5","809.9","816.2","807.6","-","1.62%"
