"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","369.6","375.8","376.1","369.1","-","-2.53%"
"Apr 29, 2020","379.2","378.0","380.8","375.8","-","1.67%"
"Apr 28, 2020","373.0","383.5","383.6","372.7","-","-1.49%"
"Apr 27, 2020","378.6","375.8","379.6","375.4","-","1.47%"
"Apr 24, 2020","373.1","372.3","374.0","369.7","-","0.98%"
"Apr 23, 2020","369.5","368.6","374.4","367.8","-","0.79%"
"Apr 22, 2020","366.6","364.5","368.6","361.1","-","3.01%"
"Apr 21, 2020","355.9","365.5","366.4","353.5","-","-3.92%"
"Apr 20, 2020","370.4","366.4","376.5","366.4","-","-0.35%"
"Apr 17, 2020","371.8","373.1","373.5","367.4","-","1.75%"
"Apr 16, 2020","365.4","364.2","366.1","358.7","-","0.65%"
"Apr 15, 2020","363.0","364.0","366.2","359.9","-","-2.07%"
"Apr 14, 2020","370.7","363.7","371.2","362.8","-","3.49%"
"Apr 13, 2020","358.2","356.9","359.3","353.6","-","0.12%"
"Apr 09, 2020","357.7","361.7","361.9","354.3","-","-0.14%"
"Apr 08, 2020","358.3","354.6","359.7","352.3","-","2.17%"
"Apr 07, 2020","350.6","361.7","362.2","350.3","-","-1.04%"
"Apr 06, 2020","354.3","344.2","355.9","340.5","-","5.46%"
"Apr 03, 2020","336.0","342.1","343.8","332.0","-","-1.61%"
"Apr 02, 2020","341.5","332.2","343.6","330.3","-","1.44%"
"Apr 01, 2020","336.6","335.4","342.0","333.7","-","-2.18%"
"Mar 31, 2020","344.1","346.9","350.3","341.3","-","-1.49%"
"Mar 30, 2020","349.3","344.4","349.9","341.6","-","2.52%"
"Mar 27, 2020","340.7","342.0","349.4","338.1","-","-3.23%"
"Mar 26, 2020","352.1","332.6","353.8","330.0","-","6.75%"
"Mar 25, 2020","329.9","333.5","344.0","328.8","-","-0.67%"
"Mar 24, 2020","332.1","321.7","332.3","314.5","-","7.53%"
"Mar 23, 2020","308.8","308.2","316.0","298.1","-","0.35%"
"Mar 20, 2020","307.8","324.4","327.3","306.1","-","-4.45%"
"Mar 19, 2020","322.1","309.4","330.1","305.5","-","3.94%"
"Mar 18, 2020","309.9","294.8","315.1","292.1","-","-0.45%"
"Mar 17, 2020","311.3","303.8","317.2","295.8","-","4.39%"
"Mar 16, 2020","298.2","299.2","319.1","289.7","-","-10.02%"
"Mar 13, 2020","331.4","314.6","331.6","299.8","-","10.43%"
"Mar 12, 2020","300.1","309.7","320.7","300.1","-","-10.04%"
"Mar 11, 2020","333.6","341.1","343.9","327.7","-","-4.66%"
"Mar 10, 2020","349.9","344.5","350.1","332.6","-","4.79%"
"Mar 09, 2020","333.9","330.3","348.3","329.6","-","-6.34%"
"Mar 06, 2020","356.5","349.0","358.2","347.6","-","-1.25%"
"Mar 05, 2020","361.0","363.3","367.7","358.4","-","-3.45%"
"Mar 04, 2020","373.9","366.7","374.2","362.2","-","3.60%"
"Mar 03, 2020","360.9","370.3","376.4","357.5","-","-2.72%"
"Mar 02, 2020","371.0","363.1","371.0","353.0","-","3.00%"
"Feb 28, 2020","360.2","352.8","363.3","350.9","-","-0.83%"
"Feb 27, 2020","363.2","370.6","376.5","363.1","-","-3.76%"
"Feb 26, 2020","377.4","381.4","385.8","375.9","-","-0.87%"
"Feb 25, 2020","380.7","391.8","391.8","377.2","-","-2.36%"
"Feb 24, 2020","389.9","392.8","396.4","389.9","-","-3.68%"
"Feb 21, 2020","404.8","408.2","408.7","402.0","-","-1.15%"
"Feb 20, 2020","409.5","406.0","410.3","403.1","-","0.42%"
"Feb 19, 2020","407.8","409.2","410.3","405.9","-","0.17%"
"Feb 18, 2020","407.1","404.1","407.2","403.5","-","0.47%"
"Feb 14, 2020","405.2","405.8","406.0","402.6","-","-0.37%"
"Feb 13, 2020","406.7","405.4","408.7","402.8","-","-3.03%"
"Feb 12, 2020","419.4","415.7","420.1","415.6","-","1.40%"
"Feb 11, 2020","413.6","412.6","416.5","411.7","-","2.96%"
"Feb 10, 2020","401.7","398.2","401.8","396.7","-","0.96%"
"Feb 07, 2020","397.9","398.7","400.5","395.9","-","-0.30%"
"Feb 06, 2020","399.1","398.6","400.0","397.4","-","0.50%"
"Feb 05, 2020","397.1","396.9","398.8","395.4","-","1.25%"
"Feb 04, 2020","392.2","390.3","392.6","388.1","-","2.24%"
"Feb 03, 2020","383.6","382.4","385.6","381.4","-","1.21%"
"Jan 31, 2020","379.0","385.6","385.7","378.3","-","-2.22%"
"Jan 30, 2020","387.6","383.4","387.8","381.8","-","0.26%"
"Jan 29, 2020","386.6","392.8","393.1","386.0","-","-1.45%"
"Jan 28, 2020","392.3","390.6","394.0","390.3","-","0.67%"
"Jan 27, 2020","389.7","391.7","392.7","388.6","-","-2.31%"
"Jan 24, 2020","398.9","403.1","403.4","396.9","-","-0.50%"
"Jan 23, 2020","400.9","400.8","401.7","397.5","-","-0.17%"
"Jan 22, 2020","401.6","403.4","404.8","401.4","-","0.30%"
"Jan 21, 2020","400.4","400.4","402.9","399.7","-","-0.30%"
"Jan 17, 2020","401.6","403.9","404.9","400.6","-","-0.02%"
"Jan 16, 2020","401.7","396.7","401.8","396.3","-","1.93%"
"Jan 15, 2020","394.1","392.1","395.7","392.1","-","0.56%"
