"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,150.6","4,192.0","4,203.5","4,142.6","-","-2.89%"
"Apr 29, 2020","4,274.3","4,257.8","4,299.8","4,229.2","-","3.10%"
"Apr 28, 2020","4,145.6","4,142.5","4,184.6","4,086.8","-","1.67%"
"Apr 27, 2020","4,077.5","4,018.8","4,108.4","4,015.1","-","2.60%"
"Apr 24, 2020","3,974.0","3,927.2","3,980.1","3,871.8","-","2.29%"
"Apr 23, 2020","3,885.0","3,888.8","3,953.5","3,865.9","-","1.65%"
"Apr 22, 2020","3,822.0","3,861.3","3,873.5","3,780.6","-","0.44%"
"Apr 21, 2020","3,805.1","3,793.0","3,877.6","3,786.1","-","-1.95%"
"Apr 20, 2020","3,880.8","3,941.8","3,973.6","3,851.6","-","-3.44%"
"Apr 17, 2020","4,019.2","4,045.4","4,055.1","3,974.6","-","2.88%"
"Apr 16, 2020","3,906.6","3,901.8","3,916.8","3,823.0","-","-0.30%"
"Apr 15, 2020","3,918.5","3,918.1","3,930.0","3,850.1","-","-1.15%"
"Apr 14, 2020","3,964.2","3,976.1","4,031.2","3,948.2","-","1.86%"
"Apr 13, 2020","3,891.7","4,046.7","4,047.4","3,858.2","-","-4.02%"
"Apr 09, 2020","4,054.9","4,065.0","4,132.5","3,983.3","-","1.80%"
"Apr 08, 2020","3,983.2","3,917.8","4,001.2","3,903.8","-","2.63%"
"Apr 07, 2020","3,881.1","3,998.5","4,063.8","3,863.6","-","1.56%"
"Apr 06, 2020","3,821.6","3,715.4","3,838.8","3,686.4","-","7.77%"
"Apr 03, 2020","3,545.9","3,588.7","3,631.8","3,504.1","-","-1.21%"
"Apr 02, 2020","3,589.5","3,519.1","3,597.5","3,487.0","-","1.17%"
"Apr 01, 2020","3,548.0","3,594.3","3,650.4","3,514.1","-","-5.50%"
"Mar 31, 2020","3,754.7","3,776.8","3,812.7","3,712.9","-","-0.51%"
"Mar 30, 2020","3,774.0","3,701.5","3,797.9","3,638.7","-","1.41%"
"Mar 27, 2020","3,721.6","3,763.0","3,823.5","3,704.2","-","-5.41%"
"Mar 26, 2020","3,934.5","3,883.5","3,962.5","3,825.3","-","2.66%"
"Mar 25, 2020","3,832.5","3,787.8","4,029.5","3,661.0","-","4.23%"
"Mar 24, 2020","3,676.8","3,456.1","3,685.1","3,449.1","-","13.72%"
"Mar 23, 2020","3,233.2","3,276.3","3,331.7","3,164.1","-","-1.32%"
"Mar 20, 2020","3,276.6","3,421.6","3,559.5","3,256.4","-","-3.37%"
"Mar 19, 2020","3,390.8","3,322.5","3,476.4","3,212.1","-","1.46%"
"Mar 18, 2020","3,342.1","3,408.9","3,482.0","3,181.1","-","-7.79%"
"Mar 17, 2020","3,624.4","3,480.9","3,668.5","3,362.4","-","6.16%"
"Mar 16, 2020","3,414.2","3,732.2","3,732.2","3,336.6","-","-11.42%"
"Mar 13, 2020","3,854.4","3,815.8","3,871.5","3,610.9","-","6.99%"
"Mar 12, 2020","3,602.6","3,686.1","3,831.9","3,601.0","-","-9.99%"
"Mar 11, 2020","4,002.4","4,084.0","4,147.3","3,974.8","-","-5.44%"
"Mar 10, 2020","4,232.8","4,163.0","4,232.8","3,989.4","-","5.88%"
"Mar 09, 2020","3,997.8","4,102.2","4,167.9","3,970.9","-","-8.63%"
"Mar 06, 2020","4,375.3","4,231.3","4,440.1","4,226.0","-","-0.57%"
"Mar 05, 2020","4,400.5","4,512.0","4,527.5","4,385.9","-","-5.74%"
"Mar 04, 2020","4,668.7","4,546.2","4,677.1","4,497.8","-","3.76%"
"Mar 03, 2020","4,499.6","4,640.9","4,741.7","4,479.1","-","-2.72%"
"Mar 02, 2020","4,625.5","4,596.3","4,626.0","4,465.2","-","0.62%"
"Feb 28, 2020","4,597.1","4,567.9","4,640.2","4,517.0","-","-2.26%"
"Feb 27, 2020","4,703.2","4,736.8","4,912.4","4,688.2","-","-3.76%"
"Feb 26, 2020","4,887.0","5,008.0","5,030.2","4,873.8","-","-1.82%"
"Feb 25, 2020","4,977.4","5,192.3","5,195.5","4,973.0","-","-3.84%"
"Feb 24, 2020","5,176.0","5,207.1","5,209.2","5,134.2","-","-3.80%"
"Feb 21, 2020","5,380.5","5,397.1","5,406.1","5,347.8","-","-1.07%"
"Feb 20, 2020","5,438.6","5,414.0","5,460.1","5,398.7","-","0.44%"
"Feb 19, 2020","5,414.9","5,403.6","5,426.3","5,392.6","-","0.53%"
"Feb 18, 2020","5,386.1","5,367.9","5,405.1","5,354.5","-","0.06%"
"Feb 14, 2020","5,382.7","5,432.7","5,449.0","5,373.3","-","-1.07%"
"Feb 13, 2020","5,440.9","5,411.1","5,444.2","5,398.3","-","-0.14%"
"Feb 12, 2020","5,448.4","5,407.6","5,458.0","5,395.1","-","1.35%"
"Feb 11, 2020","5,375.8","5,373.2","5,414.7","5,369.1","-","0.50%"
"Feb 10, 2020","5,349.3","5,324.5","5,349.3","5,317.8","-","0.07%"
"Feb 07, 2020","5,345.8","5,358.5","5,373.5","5,337.8","-","-0.35%"
"Feb 06, 2020","5,364.8","5,377.9","5,399.4","5,348.9","-","0.01%"
"Feb 05, 2020","5,364.1","5,361.5","5,373.4","5,327.7","-","1.30%"
"Feb 04, 2020","5,295.1","5,272.0","5,308.1","5,272.0","-","1.99%"
"Feb 03, 2020","5,191.7","5,201.2","5,231.1","5,178.9","-","1.03%"
"Jan 31, 2020","5,138.6","5,236.9","5,243.0","5,123.8","-","-2.44%"
"Jan 30, 2020","5,267.1","5,173.0","5,270.9","5,173.0","-","0.73%"
"Jan 29, 2020","5,228.9","5,238.4","5,293.6","5,228.6","-","-0.15%"
"Jan 28, 2020","5,236.7","5,233.8","5,261.7","5,213.9","-","0.56%"
"Jan 27, 2020","5,207.4","5,217.0","5,245.5","5,194.5","-","-2.55%"
"Jan 24, 2020","5,343.5","5,406.4","5,407.0","5,296.5","-","-1.12%"
"Jan 23, 2020","5,403.9","5,298.0","5,411.1","5,244.5","-","1.71%"
"Jan 22, 2020","5,313.0","5,364.1","5,383.3","5,312.0","-","-0.59%"
"Jan 21, 2020","5,344.4","5,421.0","5,442.6","5,325.4","-","-2.25%"
"Jan 17, 2020","5,467.5","5,466.9","5,522.1","5,438.7","-","-0.96%"
"Jan 16, 2020","5,520.6","5,475.6","5,524.2","5,474.3","-","1.66%"
"Jan 15, 2020","5,430.5","5,404.9","5,462.8","5,398.1","-","0.50%"
"Jan 14, 2020","5,403.6","5,383.6","5,442.3","5,382.9","-","0.59%"
"Jan 13, 2020","5,371.8","5,332.7","5,373.3","5,323.9","-","0.68%"
"Jan 10, 2020","5,335.4","5,349.4","5,356.4","5,321.1","-","0.11%"
"Jan 09, 2020","5,329.5","5,311.7","5,335.4","5,306.1","-","0.70%"
"Jan 08, 2020","5,292.4","5,267.0","5,326.5","5,259.4","-","0.60%"
"Jan 07, 2020","5,260.8","5,235.4","5,282.1","5,222.5","-","0.47%"
"Jan 06, 2020","5,236.3","5,224.9","5,241.0","5,190.0","-","-0.80%"
"Jan 03, 2020","5,278.4","5,245.9","5,280.3","5,219.0","-","-1.13%"
