"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","1,575.81","1,575.99","1,581.43","1,572.21","-","-1.10%"
"Apr 23, 2020","1,593.37","1,574.89","1,597.81","1,567.27","-","1.39%"
"Apr 22, 2020","1,571.48","1,567.89","1,571.48","1,560.68","-","0.42%"
"Apr 21, 2020","1,564.96","1,574.15","1,574.77","1,557.49","-","-0.81%"
"Apr 20, 2020","1,577.79","1,565.80","1,578.04","1,559.64","-","1.26%"
"Apr 17, 2020","1,558.17","1,552.25","1,558.17","1,543.17","-","2.12%"
"Apr 16, 2020","1,525.85","1,516.05","1,532.76","1,507.78","-","1.30%"
"Apr 15, 2020","1,506.27","1,528.40","1,530.76","1,501.88","-","-1.04%"
"Apr 14, 2020","1,522.14","1,508.41","1,522.71","1,500.58","-","2.29%"
"Apr 08, 2020","1,488.03","1,493.59","1,493.59","1,473.69","-","-0.56%"
"Apr 07, 2020","1,496.34","1,508.91","1,515.08","1,491.95","-","0.87%"
"Apr 06, 2020","1,483.39","1,496.51","1,497.51","1,472.95","-","1.25%"
"Apr 03, 2020","1,465.03","1,445.79","1,465.03","1,438.11","-","1.10%"
"Apr 02, 2020","1,449.08","1,459.48","1,462.55","1,426.19","-","-0.69%"
"Apr 01, 2020","1,459.16","1,447.16","1,459.16","1,432.24","-","-0.31%"
"Mar 31, 2020","1,463.68","1,471.77","1,487.09","1,455.23","-","2.02%"
"Mar 30, 2020","1,434.69","1,405.61","1,435.47","1,378.06","-","2.94%"
"Mar 27, 2020","1,393.77","1,390.30","1,402.20","1,380.96","-","-0.58%"
"Mar 26, 2020","1,401.95","1,358.09","1,401.95","1,352.62","-","3.38%"
"Mar 25, 2020","1,356.12","1,365.64","1,390.11","1,336.60","-","2.79%"
"Mar 24, 2020","1,319.26","1,319.19","1,328.80","1,299.30","-","3.44%"
"Mar 23, 2020","1,275.44","1,276.91","1,312.15","1,267.15","-","-3.70%"
"Mar 20, 2020","1,324.46","1,356.23","1,364.44","1,318.29","-","1.26%"
"Mar 19, 2020","1,307.98","1,304.07","1,318.05","1,292.90","-","0.29%"
"Mar 18, 2020","1,304.14","1,316.68","1,325.59","1,284.10","-","-2.50%"
"Mar 17, 2020","1,337.64","1,341.03","1,350.83","1,284.25","-","2.03%"
"Mar 16, 2020","1,311.05","1,287.84","1,322.61","1,233.84","-","-2.12%"
"Mar 13, 2020","1,339.42","1,354.60","1,437.47","1,327.94","-","1.21%"
"Mar 12, 2020","1,323.41","1,349.39","1,385.86","1,323.41","-","-8.10%"
"Mar 11, 2020","1,440.10","1,483.54","1,490.07","1,434.83","-","-2.00%"
"Mar 10, 2020","1,469.47","1,500.47","1,536.91","1,461.26","-","-1.55%"
"Mar 09, 2020","1,492.60","1,479.86","1,520.29","1,468.12","-","-5.14%"
"Mar 06, 2020","1,573.48","1,594.73","1,598.71","1,554.88","-","-2.89%"
"Mar 05, 2020","1,620.26","1,652.49","1,660.33","1,616.46","-","-0.87%"
"Mar 04, 2020","1,634.45","1,618.09","1,643.71","1,609.44","-","0.98%"
"Mar 03, 2020","1,618.62","1,604.17","1,627.50","1,594.24","-","3.04%"
"Mar 02, 2020","1,570.82","1,584.55","1,606.73","1,553.07","-","1.19%"
"Feb 28, 2020","1,552.35","1,549.42","1,570.84","1,534.48","-","-2.62%"
"Feb 27, 2020","1,594.05","1,619.92","1,630.20","1,581.45","-","-2.82%"
"Feb 26, 2020","1,640.27","1,621.42","1,644.93","1,566.93","-","-0.01%"
"Feb 25, 2020","1,640.50","1,670.24","1,684.92","1,633.38","-","-1.78%"
"Feb 24, 2020","1,670.17","1,718.42","1,718.42","1,667.29","-","-3.81%"
"Feb 21, 2020","1,736.28","1,738.78","1,744.40","1,732.58","-","-0.77%"
"Feb 20, 2020","1,749.75","1,756.95","1,770.00","1,745.15","-","-0.37%"
"Feb 19, 2020","1,756.16","1,749.65","1,758.69","1,745.43","-","0.76%"
"Feb 18, 2020","1,742.84","1,722.02","1,743.69","1,716.08","-","0.71%"
"Feb 17, 2020","1,730.61","1,735.61","1,735.86","1,722.23","-","0.00%"
"Feb 14, 2020","1,730.59","1,722.25","1,733.07","1,722.25","-","0.86%"
"Feb 13, 2020","1,715.81","1,718.96","1,722.48","1,707.92","-","-0.22%"
"Feb 12, 2020","1,719.66","1,716.90","1,721.69","1,709.23","-","-0.22%"
"Feb 11, 2020","1,723.41","1,717.80","1,723.41","1,709.55","-","1.11%"
"Feb 10, 2020","1,704.43","1,707.46","1,707.46","1,694.45","-","-0.34%"
"Feb 07, 2020","1,710.31","1,712.04","1,719.11","1,704.42","-","-0.37%"
"Feb 06, 2020","1,716.63","1,704.05","1,716.63","1,698.17","-","0.87%"
"Feb 05, 2020","1,701.78","1,664.50","1,704.76","1,657.41","-","2.40%"
"Feb 04, 2020","1,661.91","1,650.46","1,664.10","1,646.71","-","1.00%"
"Feb 03, 2020","1,645.38","1,643.53","1,647.21","1,636.14","-","0.05%"
"Jan 31, 2020","1,644.48","1,648.77","1,654.15","1,643.38","-","0.34%"
"Jan 30, 2020","1,638.83","1,648.56","1,657.31","1,638.83","-","-1.42%"
