"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,549.87","6,708.29","6,708.32","6,494.62","-","-2.40%"
"Apr 29, 2020","6,711.01","6,668.27","6,758.21","6,646.41","-","0.67%"
"Apr 28, 2020","6,666.55","6,477.81","6,723.24","6,476.98","-","2.95%"
"Apr 27, 2020","6,475.81","6,207.85","6,509.95","6,207.85","-","4.32%"
"Apr 24, 2020","6,207.45","6,696.55","6,696.55","6,000.89","-","-7.34%"
"Apr 23, 2020","6,698.86","6,846.90","6,939.76","6,610.39","-","-2.13%"
"Apr 22, 2020","6,844.55","6,677.71","6,851.44","6,644.70","-","2.51%"
"Apr 20, 2020","6,676.64","6,634.70","6,740.53","6,449.13","-","0.65%"
"Apr 17, 2020","6,633.55","6,610.69","6,719.88","6,561.14","-","0.37%"
"Apr 16, 2020","6,608.79","6,649.57","6,759.92","6,547.42","-","-0.59%"
"Apr 15, 2020","6,647.81","6,692.52","6,739.79","6,512.43","-","-0.69%"
"Apr 14, 2020","6,693.71","6,512.31","6,758.54","6,512.31","-","2.81%"
"Apr 13, 2020","6,510.81","6,445.80","6,510.81","6,268.84","-","1.01%"
"Apr 09, 2020","6,445.41","6,292.81","6,519.12","6,292.81","-","2.44%"
"Apr 08, 2020","6,291.71","6,115.85","6,334.13","5,993.22","-","2.88%"
"Apr 07, 2020","6,115.76","6,015.58","6,465.41","6,015.58","-","1.74%"
"Apr 06, 2020","6,011.08","5,769.47","6,145.10","5,769.47","-","4.22%"
"Apr 03, 2020","5,767.60","5,911.02","5,914.71","5,666.37","-","-2.44%"
"Apr 02, 2020","5,912.04","5,918.88","6,023.24","5,801.42","-","-0.11%"
"Apr 01, 2020","5,918.68","6,184.50","6,184.50","5,815.48","-","-4.34%"
"Mar 31, 2020","6,187.34","6,247.58","6,366.91","6,071.94","-","-0.96%"
"Mar 30, 2020","6,247.52","6,090.10","6,300.85","6,081.22","-","2.60%"
"Mar 27, 2020","6,089.13","6,348.77","6,348.77","6,040.70","-","-4.15%"
"Mar 26, 2020","6,352.55","5,830.31","6,385.21","5,830.25","-","9.01%"
"Mar 25, 2020","5,827.55","5,548.12","5,865.23","5,448.98","-","5.06%"
"Mar 24, 2020","5,546.82","5,352.01","5,722.53","5,352.01","-","3.74%"
"Mar 23, 2020","5,347.10","5,736.69","5,743.41","5,130.95","-","-6.79%"
"Mar 20, 2020","5,736.69","5,928.02","6,237.60","5,643.12","-","-3.21%"
"Mar 19, 2020","5,927.22","5,957.05","6,078.83","5,513.14","-","-0.59%"
"Mar 18, 2020","5,962.40","6,776.11","6,776.11","5,563.82","-","-12.07%"
"Mar 17, 2020","6,780.96","6,545.23","6,903.64","6,476.44","-","3.62%"
"Mar 16, 2020","6,543.94","7,213.74","7,213.74","6,293.84","-","-9.55%"
"Mar 13, 2020","7,234.53","6,525.59","7,234.53","6,474.23","-","10.99%"
"Mar 12, 2020","6,517.92","7,538.56","7,538.73","6,209.72","-","-13.58%"
"Mar 11, 2020","7,542.52","8,028.36","8,028.36","7,110.60","-","-6.07%"
