"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","814.22","865.12","865.12","809.64","-","-5.94%"
"Apr 29, 2020","865.67","840.78","870.61","840.78","-","2.99%"
"Apr 28, 2020","840.56","782.57","840.56","782.57","-","7.49%"
"Apr 27, 2020","781.97","755.92","786.66","754.71","-","3.48%"
"Apr 24, 2020","755.69","845.43","845.43","728.87","-","-10.67%"
"Apr 23, 2020","845.94","854.08","881.94","832.88","-","-0.90%"
"Apr 22, 2020","853.61","805.63","855.39","805.25","-","5.91%"
"Apr 20, 2020","806.00","770.46","808.71","749.48","-","4.46%"
"Apr 17, 2020","771.61","749.73","785.01","749.73","-","2.97%"
"Apr 16, 2020","749.36","750.29","767.46","738.22","-","-0.09%"
"Apr 15, 2020","750.02","766.02","766.02","742.11","-","-2.31%"
"Apr 14, 2020","767.72","763.69","785.48","760.22","-","0.60%"
"Apr 13, 2020","763.15","764.12","767.38","732.75","-","-0.13%"
"Apr 09, 2020","764.12","775.36","801.25","753.12","-","-1.27%"
"Apr 08, 2020","773.92","738.72","776.35","731.39","-","4.77%"
"Apr 07, 2020","738.72","720.05","790.41","720.05","-","2.62%"
"Apr 06, 2020","719.84","680.75","750.96","680.75","-","5.89%"
"Apr 03, 2020","679.80","699.13","700.14","649.57","-","-2.80%"
"Apr 02, 2020","699.36","705.30","718.10","682.45","-","-0.82%"
"Apr 01, 2020","705.14","755.97","755.97","694.08","-","-6.91%"
"Mar 31, 2020","757.48","827.86","830.50","755.84","-","-8.47%"
"Mar 30, 2020","827.62","842.29","859.98","820.09","-","-1.73%"
"Mar 27, 2020","842.16","898.40","898.43","832.80","-","-6.45%"
"Mar 26, 2020","900.18","831.82","924.11","831.81","-","8.10%"
"Mar 25, 2020","832.73","761.05","861.86","751.61","-","9.58%"
"Mar 24, 2020","759.94","658.80","766.88","658.80","-","15.46%"
"Mar 23, 2020","658.18","707.35","710.74","640.87","-","-6.86%"
"Mar 20, 2020","706.68","734.99","787.46","701.07","-","-3.78%"
"Mar 19, 2020","734.41","660.01","751.70","595.44","-","11.20%"
"Mar 18, 2020","660.46","796.83","796.83","617.56","-","-17.66%"
"Mar 17, 2020","802.12","786.02","836.85","773.22","-","2.05%"
"Mar 16, 2020","786.01","953.48","953.48","784.08","-","-17.69%"
"Mar 13, 2020","954.89","886.02","994.29","866.75","-","8.98%"
"Mar 12, 2020","876.21","1,042.29","1,042.29","839.26","-","-16.41%"
"Mar 11, 2020","1,048.18","1,133.40","1,133.40","978.11","-","-7.51%"
"Mar 10, 2020","1,133.30","1,063.44","1,139.68","1,063.44","-","6.71%"
"Mar 09, 2020","1,062.03","1,199.19","1,199.19","1,062.03","-","-11.54%"
"Mar 06, 2020","1,200.64","1,248.47","1,248.47","1,171.49","-","-3.91%"
"Mar 05, 2020","1,249.49","1,351.17","1,351.17","1,222.33","-","-7.53%"
"Mar 04, 2020","1,351.26","1,313.86","1,354.04","1,313.86","-","2.93%"
"Mar 03, 2020","1,312.79","1,325.73","1,370.58","1,305.98","-","-0.97%"
"Mar 02, 2020","1,325.64","1,289.36","1,339.32","1,284.60","-","2.78%"
"Feb 28, 2020","1,289.77","1,283.73","1,289.77","1,228.18","-","0.43%"
"Feb 27, 2020","1,284.21","1,331.50","1,331.50","1,273.40","-","-3.62%"
"Feb 26, 2020","1,332.44","1,428.53","1,428.53","1,322.06","-","-6.80%"
"Feb 21, 2020","1,429.73","1,425.00","1,431.10","1,404.15","-","0.32%"
"Feb 20, 2020","1,425.22","1,437.08","1,439.09","1,413.92","-","-0.82%"
"Feb 19, 2020","1,437.03","1,416.99","1,444.81","1,414.08","-","1.42%"
"Feb 18, 2020","1,416.93","1,414.51","1,417.72","1,398.35","-","0.14%"
"Feb 17, 2020","1,414.91","1,415.92","1,421.95","1,407.21","-","-0.06%"
"Feb 14, 2020","1,415.69","1,430.06","1,431.54","1,408.38","-","-0.97%"
"Feb 13, 2020","1,429.58","1,438.20","1,438.85","1,409.62","-","-0.66%"
"Feb 12, 2020","1,439.14","1,417.73","1,449.16","1,414.51","-","1.53%"
"Feb 11, 2020","1,417.45","1,373.90","1,421.73","1,372.68","-","3.25%"
"Feb 10, 2020","1,372.83","1,418.12","1,422.88","1,362.49","-","-3.19%"
"Feb 07, 2020","1,418.12","1,443.94","1,444.41","1,413.56","-","-1.79%"
"Feb 06, 2020","1,444.00","1,483.65","1,492.18","1,435.95","-","-2.61%"
"Feb 05, 2020","1,482.69","1,485.62","1,511.03","1,480.66","-","-0.14%"
"Feb 04, 2020","1,484.74","1,470.70","1,509.63","1,470.70","-","1.05%"
"Feb 03, 2020","1,469.37","1,442.41","1,483.73","1,441.13","-","1.87%"
"Jan 31, 2020","1,442.44","1,464.49","1,464.49","1,438.84","-","-1.56%"
"Jan 30, 2020","1,465.24","1,482.15","1,482.15","1,420.29","-","-1.19%"
"Jan 29, 2020","1,482.83","1,473.53","1,498.81","1,473.53","-","0.66%"
"Jan 28, 2020","1,473.15","1,451.41","1,480.20","1,451.41","-","1.50%"
"Jan 27, 2020","1,451.39","1,501.83","1,501.83","1,446.85","-","-3.43%"
"Jan 24, 2020","1,502.97","1,526.84","1,527.90","1,497.69","-","-1.52%"
"Jan 23, 2020","1,526.20","1,503.05","1,526.20","1,484.60","-","1.55%"
"Jan 22, 2020","1,502.91","1,494.06","1,509.42","1,483.14","-","0.64%"
"Jan 21, 2020","1,493.32","1,508.43","1,508.53","1,487.99","-","-1.00%"
"Jan 20, 2020","1,508.43","1,491.49","1,508.43","1,483.88","-","1.16%"
"Jan 17, 2020","1,491.15","1,475.91","1,491.15","1,462.63","-","1.03%"
"Jan 16, 2020","1,475.91","1,481.96","1,488.70","1,462.62","-","-0.41%"
"Jan 15, 2020","1,481.96","1,488.55","1,490.03","1,467.41","-","-0.44%"
"Jan 14, 2020","1,488.55","1,465.84","1,488.55","1,460.26","-","1.55%"
"Jan 13, 2020","1,465.81","1,440.78","1,465.84","1,440.64","-","1.75%"
"Jan 10, 2020","1,440.56","1,436.64","1,450.13","1,432.53","-","0.29%"
"Jan 09, 2020","1,436.41","1,433.53","1,441.72","1,428.81","-","0.21%"
"Jan 08, 2020","1,433.36","1,449.31","1,449.89","1,428.05","-","-1.10%"
"Jan 07, 2020","1,449.30","1,435.99","1,450.05","1,423.26","-","0.95%"
"Jan 06, 2020","1,435.64","1,443.61","1,443.61","1,420.59","-","-0.55%"
"Jan 03, 2020","1,443.65","1,418.59","1,445.42","1,399.88","-","1.59%"
"Jan 02, 2020","1,421.04","1,389.11","1,421.23","1,387.17","-","2.32%"
"Dec 30, 2019","1,388.86","1,386.81","1,393.48","1,379.25","-","0.15%"
"Dec 27, 2019","1,386.81","1,385.83","1,393.30","1,375.67","-","0.09%"
"Dec 26, 2019","1,385.61","1,361.37","1,385.61","1,361.37","-","1.78%"
"Dec 23, 2019","1,361.37","1,343.12","1,361.37","1,340.25","-","1.46%"
"Dec 20, 2019","1,341.83","1,351.47","1,352.24","1,335.54","-","-0.66%"
"Dec 19, 2019","1,350.79","1,337.33","1,354.06","1,327.36","-","1.02%"
"Dec 18, 2019","1,337.13","1,327.93","1,340.22","1,322.35","-","0.73%"
"Dec 17, 2019","1,327.43","1,339.65","1,343.10","1,316.98","-","-0.90%"
"Dec 16, 2019","1,339.46","1,324.37","1,342.57","1,322.79","-","1.16%"
"Dec 13, 2019","1,324.14","1,296.56","1,324.14","1,295.05","-","2.13%"
"Dec 12, 2019","1,296.53","1,273.80","1,297.12","1,272.78","-","1.81%"
"Dec 11, 2019","1,273.51","1,261.73","1,273.72","1,258.28","-","0.93%"
"Dec 10, 2019","1,261.73","1,253.66","1,261.73","1,245.14","-","0.66%"
"Dec 09, 2019","1,253.48","1,253.66","1,254.93","1,245.73","-","-0.01%"
"Dec 06, 2019","1,253.66","1,229.98","1,253.76","1,229.98","-","1.91%"
"Dec 05, 2019","1,230.19","1,223.38","1,231.98","1,213.70","-","0.55%"
"Dec 04, 2019","1,223.45","1,214.86","1,223.69","1,211.28","-","0.70%"
"Dec 03, 2019","1,214.99","1,193.73","1,214.99","1,190.80","-","1.80%"
"Dec 02, 2019","1,193.54","1,183.42","1,193.82","1,182.39","-","0.92%"
