"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","10,721.78","10,575.52","10,751.75","10,575.52","15.97B","1.97%"
"Apr 29, 2020","10,514.17","10,461.00","10,586.57","10,449.37","11.86B","0.12%"
"Apr 28, 2020","10,501.15","10,477.76","10,547.75","10,194.15","15.90B","0.47%"
"Apr 27, 2020","10,452.17","10,449.13","10,531.39","10,367.29","12.36B","0.28%"
"Apr 24, 2020","10,423.46","10,565.09","10,577.03","10,388.66","13.53B","-1.33%"
"Apr 23, 2020","10,564.05","10,657.40","10,667.01","10,557.94","14.21B","-0.50%"
"Apr 22, 2020","10,617.19","10,424.45","10,617.19","10,409.85","12.97B","1.05%"
"Apr 21, 2020","10,506.86","10,577.72","10,577.72","10,394.44","14.64B","-1.08%"
"Apr 20, 2020","10,621.50","10,553.55","10,621.50","10,523.59","14.21B","0.89%"
"Apr 17, 2020","10,527.99","10,562.90","10,624.54","10,507.80","17.12B","0.55%"
"Apr 16, 2020","10,470.79","10,361.77","10,489.13","10,346.11","13.83B","0.51%"
"Apr 15, 2020","10,417.37","10,468.46","10,528.74","10,404.51","15.48B","-0.56%"
"Apr 14, 2020","10,475.71","10,300.96","10,475.71","10,276.37","13.84B","2.47%"
"Apr 13, 2020","10,223.16","10,225.53","10,295.17","10,173.12","11.45B","-0.73%"
"Apr 10, 2020","10,298.41","10,459.70","10,509.00","10,265.88","14.49B","-1.57%"
"Apr 09, 2020","10,463.05","10,453.86","10,485.30","10,401.17","13.87B","0.74%"
"Apr 08, 2020","10,386.54","10,372.76","10,426.40","10,344.44","15.38B","-0.41%"
"Apr 07, 2020","10,428.91","10,312.71","10,441.74","10,296.72","17.06B","3.15%"
"Apr 03, 2020","10,110.11","10,155.56","10,212.91","10,069.64","13.22B","-0.68%"
"Apr 02, 2020","10,179.20","9,910.38","10,179.20","9,896.65","14.45B","2.28%"
"Apr 01, 2020","9,951.84","9,967.12","10,127.10","9,927.92","14.88B","-0.11%"
"Mar 31, 2020","9,962.30","10,008.03","10,047.98","9,925.68","13.18B","0.58%"
"Mar 30, 2020","9,904.95","9,953.04","9,985.38","9,791.02","15.03B","-2.03%"
"Mar 27, 2020","10,109.91","10,300.62","10,310.53","10,105.72","14.23B","-0.45%"
"Mar 26, 2020","10,155.36","10,161.94","10,281.57","10,112.62","15.55B","-0.84%"
"Mar 25, 2020","10,241.08","10,171.46","10,255.58","10,111.36","18.09B","3.22%"
"Mar 24, 2020","9,921.68","9,900.22","9,945.92","9,634.97","16.92B","2.37%"
"Mar 23, 2020","9,691.53","9,828.90","9,929.96","9,659.35","16.35B","-4.52%"
"Mar 20, 2020","10,150.13","10,150.78","10,174.51","9,964.29","15.84B","1.30%"
"Mar 19, 2020","10,019.86","10,023.12","10,101.80","9,719.49","19.33B","-0.10%"
"Mar 18, 2020","10,029.57","10,294.96","10,479.78","10,029.57","19.75B","-1.70%"
"Mar 17, 2020","10,202.75","10,337.92","10,449.33","9,885.86","19.58B","-0.49%"
"Mar 16, 2020","10,253.28","10,867.66","10,867.66","10,217.93","22.62B","-5.33%"
