"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,19.66626,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,20.29235,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,21.20102,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,20.45466,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,21.40903,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,24.5331,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,23.13632,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,23.09573,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,22.41782,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,21.88827,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,22.90995,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,21.94789,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,21.35606,,
"XTIMVA01","Imports in goods (value)","ZAF","South Africa","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,19.84499,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-10","Oct-2016","USD","US Dollar","9","Billions",,,34.60911,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-11","Nov-2016","USD","US Dollar","9","Billions",,,34.01952,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-12","Dec-2016","USD","US Dollar","9","Billions",,,33.58208,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-01","Jan-2017","USD","US Dollar","9","Billions",,,34.33037,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-02","Feb-2017","USD","US Dollar","9","Billions",,,35.55342,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-03","Mar-2017","USD","US Dollar","9","Billions",,,35.80645,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-04","Apr-2017","USD","US Dollar","9","Billions",,,35.09869,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-05","May-2017","USD","US Dollar","9","Billions",,,37.55959,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-06","Jun-2017","USD","US Dollar","9","Billions",,,37.35797,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-07","Jul-2017","USD","US Dollar","9","Billions",,,38.80492,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-08","Aug-2017","USD","US Dollar","9","Billions",,,39.71797,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-09","Sep-2017","USD","US Dollar","9","Billions",,,39.30452,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-10","Oct-2017","USD","US Dollar","9","Billions",,,39.27918,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-11","Nov-2017","USD","US Dollar","9","Billions",,,40.7874,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-12","Dec-2017","USD","US Dollar","9","Billions",,,41.26703,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-01","Jan-2018","USD","US Dollar","9","Billions",,,42.44622,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-02","Feb-2018","USD","US Dollar","9","Billions",,,42.32257,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-03","Mar-2018","USD","US Dollar","9","Billions",,,42.79808,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-04","Apr-2018","USD","US Dollar","9","Billions",,,43.16949,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-05","May-2018","USD","US Dollar","9","Billions",,,41.04071,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-06","Jun-2018","USD","US Dollar","9","Billions",,,41.90301,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-07","Jul-2018","USD","US Dollar","9","Billions",,,41.96367,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-08","Aug-2018","USD","US Dollar","9","Billions",,,41.66121,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-09","Sep-2018","USD","US Dollar","9","Billions",,,42.34375,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-10","Oct-2018","USD","US Dollar","9","Billions",,,42.41277,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-11","Nov-2018","USD","US Dollar","9","Billions",,,41.13632,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-12","Dec-2018","USD","US Dollar","9","Billions",,,41.84681,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-01","Jan-2019","USD","US Dollar","9","Billions",,,40.2797,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-02","Feb-2019","USD","US Dollar","9","Billions",,,40.09245,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-03","Mar-2019","USD","US Dollar","9","Billions",,,40.21716,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-04","Apr-2019","USD","US Dollar","9","Billions",,,40.05177,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-05","May-2019","USD","US Dollar","9","Billions",,,39.96716,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-06","Jun-2019","USD","US Dollar","9","Billions",,,39.92132,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-07","Jul-2019","USD","US Dollar","9","Billions",,,39.53525,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-08","Aug-2019","USD","US Dollar","9","Billions",,,39.48265,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-09","Sep-2019","USD","US Dollar","9","Billions",,,39.60466,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-10","Oct-2019","USD","US Dollar","9","Billions",,,38.75611,,
"XTIMVA01","Imports in goods (value)","ITA","Italy","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-11","Nov-2019","USD","US Dollar","9","Billions",,,38.77852,,
