Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles, Ebola,Meningitis,MERS,day
0,0.0,59,0,0.0,0,Ebola,0,0,1
1,0.0,60,0,0.0,0,Ebola,0,0,2
5,0.0,77,0,1.0,0,Ebola,2,0,3
12,0.0,77,0,1.0,1,Ebola,3,0,4
21,0.0,77,0,2.0,1,Ebola,6,0,5
33,0.0,77,0,2.0,1,Ebola,9,0,6
47,0.0,77,0,3.0,2,Ebola,13,0,7
64,0.0,82,0,4.0,3,Ebola,18,0,8
84,0.0,88,0,4.0,4,Ebola,24,0,9
106,0.0,90,0,9.0,5,Ebola,30,0,10
131,1.0,93,0,10.0,6,Ebola,37,0,11
159,1.0,96,0,10.0,7,Ebola,45,0,12
189,1.0,99,0,11.0,8,Ebola,53,0,13
222,1.0,102,0,14.0,10,Ebola,62,0,14
257,1.0,106,0,17.0,11,Ebola,72,0,15
295,2.0,110,0,17.0,13,Ebola,82,1,16
336,2.0,115,0,49.0,15,Ebola,93,1,17
379,2.0,117,0,53.0,17,Ebola,105,1,18
425,2.0,120,0,53.0,19,Ebola,117,1,19
474,3.0,123,0,54.0,21,Ebola,130,1,20
525,6.0,126,0,56.0,23,Ebola,144,1,21
579,9.0,129,0,58.0,26,Ebola,158,1,22
635,17.0,132,0,62.0,28,Ebola,172,1,23
694,25.0,135,0,78.0,31,Ebola,187,1,24
756,41.0,136,0,79.0,33,Ebola,203,1,25
820,56.0,138,0,84.0,36,Ebola,219,1,26
887,80.0,140,0,89.0,39,Ebola,235,1,27
957,106.0,142,1,93.0,42,Ebola,252,1,28
1029,132.0,144,1,98.0,45,Ebola,269,1,29
1104,170.0,147,2,103.0,49,Ebola,287,1,30
1181,213.0,148,2,106.0,52,Ebola,305,1,31
1261,259.0,149,3,111.0,56,Ebola,323,1,32
1344,304.0,151,3,116.0,59,Ebola,342,1,33
1440,362.0,152,4,119.0,63,Ebola,361,1,34
1534,426.0,154,4,131.0,67,Ebola,380,1,35
1626,492.0,155,4,144.0,71,Ebola,399,1,36
1716,565.0,157,5,154.0,75,Ebola,419,1,37
1804,638.0,158,5,159.0,79,Ebola,439,1,38
1891,725.0,160,6,165.0,84,Ebola,459,1,39
1975,813.0,162,6,182.0,88,Ebola,479,1,40
2057,910.0,164,7,182.0,93,Ebola,499,1,41
2138,1018.0,166,7,199.0,97,Ebola,520,1,42
2216,1115.0,166,9,217.0,102,Ebola,540,1,43
2293,1261.0,166,15,229.0,107,Ebola,560,1,44
2367,1383.0,166,25,251.0,112,Ebola,580,1,45
2440,1526.0,166,39,263.0,117,Ebola,601,1,46
2510,1669.0,167,57,274.0,122,Ebola,621,1,47
2578,1775.0,167,79,293.0,128,Ebola,641,1,48
2644,1873.0,167,106,307.0,133,Ebola,661,1,49
2708,2009.0,167,136,321.0,139,Ebola,681,1,50
2770,2126.0,168,170,353.0,145,Ebola,701,1,51
2830,2247.0,169,208,372.0,151,Ebola,720,1,52
2888,2360.0,171,251,391.0,156,Ebola,739,1,53
2943,2460.0,173,297,417.0,163,Ebola,758,1,54
2996,2618.0,174,347,435.0,169,Ebola,777,1,55
3047,2699.0,176,401,448.0,175,Ebola,795,1,56
3095,2763.0,178,460,461.0,181,Ebola,813,1,57
3141,2800.0,179,522,478.0,188,Ebola,831,1,58
3185,2858.0,181,589,495.0,195,Ebola,848,1,59
3226,2923.0,183,659,506.0,201,Ebola,865,1,60
3265,2977.0,184,734,514.0,208,Ebola,881,1,61
3301,3050.0,185,812,526.0,215,Ebola,897,1,62
3334,3117.0,186,895,539.0,222,Ebola,913,1,63
3365,3202.0,187,955,552.0,230,Ebola,928,1,64
3393,3285.0,200,967,573.0,237,Ebola,942,1,65
3419,3387.0,201,1028,587.0,244,Ebola,956,1,66
3441,3494.0,203,1040,598.0,252,Ebola,970,1,67
3460,3599.0,204,1040,611.0,260,Ebola,983,1,68
3476,3827.0,206,1070,623.0,268,Ebola,995,1,69
3488,4025.0,208,1100,633.0,276,Ebola,1007,1,70
3496,4296.0,215,1112,643.0,284,Ebola,1018,1,71
3500,4628.0,223,1148,662.0,292,Ebola,1028,1,72
3513,4981.0,231,1173,666.0,300,Ebola,1038,1,73
3526,5429.0,235,1197,682.0,308,Ebola,1047,1,74
3539,5833.0,239,1261,689.0,317,Ebola,1055,1,75
3551,6519.0,244,1326,696.0,326,Ebola,1063,1,76
3564,7161.0,248,1390,710.0,334,Ebola,1070,1,77
3577,7978.0,253,1402,725.0,343,Ebola,1076,1,78
3590,8951.0,270,1414,735.0,352,Ebola,1082,1,79
3603,10030.0,279,1463,745.0,361,Ebola,1087,1,80
3616,11386.0,289,1511,750.0,370,Ebola,1091,1,81
3629,13011.0,298,1567,754.0,380,Ebola,1094,1,82
3642,14640.0,308,1624,764.0,389,Ebola,1097,1,83
3654,16514.0,317,1680,767.0,399,Ebola,1098,1,84
3667,18895.0,327,1692,770.0,408,Ebola,1100,1,85
3680,21283.0,337,1704,772.0,418,Ebola,1100,1,86
3693,24074.0,337,1729,772.0,428,Ebola,1100,1,87
