"screen_name","content","mentions"
"@DeItaone","*DHS TOP CYBERSECURITY OFFICIAL BRYAN WARE RESIGNS: CYBERSCOOP",""
"@XI_Research","Our customers enjoy the benefit of developing and testing defenses prior to public notice of critical vulnerabiliti… https://t.co/h0wcOjNSkR",""
"@snlyngaas","Scoop --&gt; Senior DHS cybersecurity official Bryan Ware to step down - CyberScoop https://t.co/ZGboDdejYX",""
"@FrenReport","As an infosec expert, this whole thread is really triggering my autism https://t.co/f0VOoSO7qr",""
"@JeffElder","Ransomware is hitting automakers and other big factories. Power grids and oil wells may be next. Meet the startup t… https://t.co/RDcsuvcPT9",""
"@StaySafeOnline","Today, for National Cybersecurity Career Awareness Week, we'll focus on #educational events encouraging #students t… https://t.co/hpmfWH2Olp",""
"@kot_hacker","This are the 10 most sort after IT Certifications of 2020\n\n10. Information Technology Infrastructure Library (ITIL)… https://t.co/rsOHPEzu9J",""
"@wef","As we switch to cleaner energy, there are three dangers we must not overlook https://t.co/40fXyl1Be0 #CleanEnergy… https://t.co/RmsPCVIOOr",""
"@RRalstonAgile","$112,000\nThe average salary for a cybersecurity professional in North America, according to trade association ISC2'… https://t.co/01h2CSao14",""
"@SANSJen","What if you could get @hacks4pancakes AND @DavidJBianco to give you career advice?  You can! For free:\nhttps://t.co/ajxDYpu4Za","@hacks4pancakes|@DavidJBianco"
"@hackthebox_eu","#HackTheBox proudly presents #HTBAcademy 🎓\nIt's time to #HackYourBrain! 😎  \n#CyberSecurity courses for everybody, f… https://t.co/7Ilb0aIYv1",""
"@zbig001","Entrepreneurs, support @ElastosInfo.\nMake plans to port your IT solutions to its sandboxed environment.\n\nMake #BTC… https://t.co/yiizODUkxD","@ElastosInfo"
"@logicbomb_1","""Tale of 3 vulnerabilities to account takeover.""\nTried my hands on bug hunting after around 8 months. Blog is on it… https://t.co/A9UvevpotP",""
"@kramse","We should steal this for information security\n\nCheese in Depth security!\n\n#infosec https://t.co/Sun4XpRUFj",""
"@KimZetter","Wow.\n“anyone who can be shown to have contributed to the [ransomware] hack may also be prosecuted...In the Düsseldo… https://t.co/F5m7BK7qdg",""
"@_staaldraad","Today's Postgresql release fixes a vuln that I found;  CVE-2020-25695.\n\nA vulnerability in the “security restricted… https://t.co/dHp5Jt1BHb",""
"@malwrhunterteam","f94fbc387e32abb67244f5130becb5f50d8094726eaf592fd71ba94c4efd17b1\nYes, ""PUSSY.TXT"" will be a great ransomware note n… https://t.co/PCR2SNnVYw",""
"@ANI","The breadth of our partnership is covered by several Dialogue Mechanisms cutting across various sectors like defens… https://t.co/khPToaa5go",""
"@bychanelstitt","Cybersecurity industry in Detroit is growing and mentors are starting with young people https://t.co/UXb7NXklSS @freep","@freep"
"@_zSecurity_","Hacking Grandpa Machine - Hack The Box Series\nhttps://t.co/a8PCNFYq3x\n#htb #HackTheBox #ctf #EthicalHacking… https://t.co/DpJdNOBp4w",""
"@KimZetter","A lot of people were quick to assume that ransomware caused the death when this first came out, but it was always a… https://t.co/nkbuvRT4Te",""
"@businessinsider","Meet Dragos, the $423 million startup fighting off the cyber attacks that are increasingly hitting power grids, oil… https://t.co/beiKHsnWA6",""
"@LindsayPGorman","The #TikTok deadline is today with no resolution in sight. In today's @WashPost, Sen. @MarkWarner and I look forwar… https://t.co/76DrYSSRcc","@WashPost|@MarkWarner"
"@CyberNews_com","Never-before-seen #ransomware strain #Pay2Key is actively targeting organizations. Researchers at Check Point trace… https://t.co/lBr8K8psLj",""
"@freep","Cybersecurity industry in Detroit is growing and mentors are starting with young people https://t.co/jqNhStwPth",""
"@Bank_Security","A 'Hackers For Hire' operation has been discovered using a strain of previously undocumented malware to target Sout… https://t.co/SQ0weorcF1",""
"@digitalcloudgal","📌 Q: What is cloud sprawl?\n\nA: Cloud sprawl is the uncontrolled proliferation of cloud instances, services or provi… https://t.co/Gb1AsLxz6u",""
"@harshbothra_","I just published a write-up on ""Evading Filters to perform the Arbitrary URL Redirection Attack""… https://t.co/1L8IIKNi5q",""
"@HowellONeill","Ransomware was not responsible for the death of that German hospital patient, police say: “The delay was of no rele… https://t.co/29dhmi6hPi",""
"@h_okumura","RDTログイン画面に2日で13850回のアクセスがあったとか，Emotet，ランサムウェアとか。全部想定内。最後に https://t.co/lm8LCLWREp を薦めていた",""
"@hackenclub","Are you curious about what Haсken lived and what the team was up to last month? We have prepared our monthly report… https://t.co/vKWnJS9ce0",""
"@IntezerLabs","[1/2] \n🆕 Another FUD sample of #AgeLocker, a Linux Ransomware. \nShares code with the sample reported on Tuesday.\n\ne… https://t.co/VKeeusV92e",""
"@TheDFIRReport","Cryptominers Exploiting WebLogic RCE CVE-2020-14882\n\nhttps://t.co/VKlQGZHpMA\n\nIOCS @ https://t.co/YGWPPyWn2R &amp;… https://t.co/RwoA8BYhxj",""
